event_id,source_id,target_id,event_type,context,amount,label,timestamp
E000303,A0035,A0035,session,bank_session,0,normal,2025-09-01T00:04:00
E000784,A0234,A0234,relationship_change,bank_session,0,normal,2025-09-01T01:04:00
T001094,A0009,A0070,payment,bank_transfer,173461,normal,2025-09-01T04:28:00
E000487,A0110,A0110,attempt,bank_session,0,normal,2025-09-01T06:59:00
E001067,A0196,A0196,login,bank_session,0,normal,2025-09-01T07:28:00
T001137,A0022,A0255,payment,bank_transfer,61515,normal,2025-09-01T08:04:00
T000720,A0169,A0202,payment,bank_transfer,154638,normal,2025-09-01T08:05:00
T000249,A0098,A0010,payment,bank_transfer,181405,normal,2025-09-01T09:00:00
E000132,A0124,A0124,attempt,bank_session,0,normal,2025-09-01T09:04:00
T000750,A0155,A0180,payment,bank_transfer,113782,normal,2025-09-01T09:59:00
E000584,A0100,A0100,relationship_change,bank_session,0,normal,2025-09-01T12:15:00
E000294,A0207,A0207,attempt,bank_session,0,normal,2025-09-01T13:00:00
T000125,A0101,A0127,transfer,bank_transfer,43470,normal,2025-09-01T13:55:00
E000987,A0162,A0162,login,bank_session,0,normal,2025-09-01T14:48:00
E000736,A0036,A0036,login,bank_session,0,normal,2025-09-01T15:02:00
T000395,A0097,A0003,payment,bank_transfer,189899,normal,2025-09-01T15:32:00
E000625,A0184,A0184,session,bank_session,0,normal,2025-09-01T17:15:00
T001382,A0176,A0221,transfer,bank_transfer,160522,normal,2025-09-01T17:32:00
T000479,A0065,A0226,p2p,bank_transfer,194606,normal,2025-09-01T17:55:00
T000469,A0147,A0242,payment,bank_transfer,144272,normal,2025-09-01T18:10:00
T000435,A0236,A0162,p2p,bank_transfer,184672,normal,2025-09-01T18:23:00
E001095,A0011,A0011,login,bank_session,0,normal,2025-09-01T18:56:00
E000409,A0226,A0226,attempt,bank_session,0,normal,2025-09-01T19:22:00
E000320,A0142,A0142,session,bank_session,0,normal,2025-09-01T19:55:00
T000126,A0120,A0179,transfer,bank_transfer,170708,normal,2025-09-01T20:57:00
E000041,A0083,A0083,attempt,bank_session,0,normal,2025-09-01T23:44:00
E000181,A0164,A0164,relationship_change,bank_session,0,normal,2025-09-01T23:48:00
T001186,A0030,A0190,p2p,bank_transfer,139929,normal,2025-09-02T00:07:00
T001209,A0201,A0087,payment,bank_transfer,24338,normal,2025-09-02T00:29:00
T000175,A0046,A0173,transfer,bank_transfer,121081,normal,2025-09-02T00:53:00
E000664,A0233,A0233,attempt,bank_session,0,normal,2025-09-02T01:18:00
T000673,A0148,A0065,p2p,bank_transfer,39200,normal,2025-09-02T01:20:00
T000098,A0256,A0037,transfer,bank_transfer,142487,normal,2025-09-02T02:21:00
E000662,A0208,A0208,session,bank_session,0,normal,2025-09-02T02:42:00
T000484,A0129,A0197,p2p,bank_transfer,221121,normal,2025-09-02T03:33:00
T000861,A0244,A0189,payment,bank_transfer,51001,normal,2025-09-02T03:55:00
E000935,A0043,A0043,login,bank_session,0,normal,2025-09-02T04:14:00
E000215,A0109,A0109,session,bank_session,0,normal,2025-09-02T04:40:00
E000255,A0235,A0235,relationship_change,bank_session,0,normal,2025-09-02T05:37:00
T001397,A0058,A0050,payment,bank_transfer,179360,normal,2025-09-02T05:50:00
E001162,A0188,A0188,attempt,bank_session,0,normal,2025-09-02T06:28:00
E000106,A0163,A0163,session,bank_session,0,normal,2025-09-02T06:59:00
E000373,A0024,A0024,session,bank_session,0,normal,2025-09-02T08:32:00
T000638,A0081,A0142,payment,bank_transfer,34005,normal,2025-09-02T09:19:00
T000994,A0098,A0058,payment,bank_transfer,217901,normal,2025-09-02T10:42:00
E000114,A0187,A0187,relationship_change,bank_session,0,normal,2025-09-02T11:22:00
E001164,A0049,A0049,attempt,bank_session,0,normal,2025-09-02T11:48:00
E000906,A0114,A0114,session,bank_session,0,normal,2025-09-02T12:31:00
E000025,A0105,A0105,relationship_change,bank_session,0,normal,2025-09-02T13:28:00
E000677,A0214,A0214,attempt,bank_session,0,normal,2025-09-02T14:16:00
E000366,A0195,A0195,attempt,bank_session,0,normal,2025-09-02T15:31:00
T000550,A0248,A0073,transfer,bank_transfer,186208,normal,2025-09-02T16:10:00
T000898,A0233,A0093,payment,bank_transfer,234921,normal,2025-09-02T16:38:00
T000361,A0040,A0039,payment,bank_transfer,237860,normal,2025-09-02T16:41:00
E000838,A0200,A0200,login,bank_session,0,normal,2025-09-02T17:13:00
E000806,A0141,A0141,session,bank_session,0,normal,2025-09-02T18:33:00
T000999,A0228,A0250,transfer,bank_transfer,127598,normal,2025-09-02T18:52:00
T001323,A0095,A0209,transfer,bank_transfer,217088,normal,2025-09-02T19:08:00
T001100,A0228,A0005,transfer,bank_transfer,62070,normal,2025-09-02T19:12:00
E001069,A0038,A0038,attempt,bank_session,0,normal,2025-09-02T19:14:00
T000908,A0022,A0250,p2p,bank_transfer,209057,normal,2025-09-02T19:29:00
E000515,A0019,A0019,login,bank_session,0,normal,2025-09-02T19:45:00
T000223,A0138,A0211,payment,bank_transfer,138553,normal,2025-09-02T19:48:00
E000999,A0132,A0132,login,bank_session,0,normal,2025-09-02T20:33:00
E000968,A0125,A0125,attempt,bank_session,0,normal,2025-09-02T21:22:00
E001075,A0189,A0189,attempt,bank_session,0,normal,2025-09-02T21:44:00
E000509,A0011,A0011,attempt,bank_session,0,normal,2025-09-02T22:07:00
T001380,A0068,A0057,p2p,bank_transfer,32279,normal,2025-09-02T22:12:00
T001228,A0258,A0007,payment,bank_transfer,64976,normal,2025-09-02T22:20:00
E000820,A0150,A0150,session,bank_session,0,normal,2025-09-02T23:44:00
T000255,A0115,A0068,payment,bank_transfer,59362,normal,2025-09-02T23:52:00
E000350,A0170,A0170,session,bank_session,0,normal,2025-09-03T01:14:00
T000812,A0114,A0144,p2p,bank_transfer,55305,normal,2025-09-03T01:15:00
E000725,A0210,A0210,relationship_change,bank_session,0,normal,2025-09-03T01:52:00
T000934,A0194,A0115,payment,bank_transfer,9435,normal,2025-09-03T02:10:00
T001107,A0141,A0099,payment,bank_transfer,226210,normal,2025-09-03T02:30:00
T001178,A0154,A0168,payment,bank_transfer,157866,normal,2025-09-03T02:46:00
T001071,A0206,A0024,transfer,bank_transfer,132836,normal,2025-09-03T02:49:00
E001089,A0227,A0227,session,bank_session,0,normal,2025-09-03T04:04:00
E000450,A0221,A0221,session,bank_session,0,normal,2025-09-03T04:16:00
E000944,A0093,A0093,relationship_change,bank_session,0,normal,2025-09-03T04:44:00
E001160,A0215,A0215,session,bank_session,0,normal,2025-09-03T05:28:00
T000038,A0257,A0078,transfer,bank_transfer,94431,normal,2025-09-03T05:39:00
T001163,A0163,A0140,p2p,bank_transfer,104236,normal,2025-09-03T05:59:00
T000805,A0084,A0156,transfer,bank_transfer,35847,normal,2025-09-03T06:26:00
E000144,A0196,A0196,session,bank_session,0,normal,2025-09-03T07:14:00
T000728,A0072,A0019,payment,bank_transfer,54618,normal,2025-09-03T07:24:00
E000142,A0048,A0048,attempt,bank_session,0,normal,2025-09-03T08:00:00
E000943,A0222,A0222,session,bank_session,0,normal,2025-09-03T08:00:00
E000472,A0251,A0251,relationship_change,bank_session,0,normal,2025-09-03T08:18:00
E000751,A0148,A0148,session,bank_session,0,normal,2025-09-03T08:40:00
T001124,A0052,A0175,transfer,bank_transfer,174635,normal,2025-09-03T08:44:00
T000155,A0199,A0139,transfer,bank_transfer,51137,normal,2025-09-03T08:56:00
T000572,A0119,A0120,transfer,bank_transfer,64532,normal,2025-09-03T08:58:00
E000844,A0052,A0052,login,bank_session,0,normal,2025-09-03T09:17:00
E000133,A0008,A0008,session,bank_session,0,normal,2025-09-03T09:20:00
E000365,A0029,A0029,session,bank_session,0,normal,2025-09-03T09:34:00
E000965,A0141,A0141,attempt,bank_session,0,normal,2025-09-03T09:34:00
T000870,A0035,A0257,p2p,bank_transfer,181761,normal,2025-09-03T10:26:00
T000095,A0128,A0147,payment,bank_transfer,208202,normal,2025-09-03T10:35:00
T000824,A0253,A0238,p2p,bank_transfer,62856,normal,2025-09-03T10:37:00
E000983,A0130,A0130,attempt,bank_session,0,normal,2025-09-03T12:14:00
E000143,A0079,A0079,login,bank_session,0,normal,2025-09-03T12:46:00
E000316,A0076,A0076,relationship_change,bank_session,0,normal,2025-09-03T13:06:00
T001057,A0156,A0151,p2p,bank_transfer,131382,normal,2025-09-03T13:07:00
