device_id,customer_id,device_hash,channel,risk_hint
DEV_000000,CUST_000854,dh_261848330312,mobile_app,new_channel
DEV_000001,CUST_003828,dh_445259467065,web,new_device
DEV_000002,CUST_003553,dh_905780551110,call_center,new_device
DEV_000003,CUST_002529,dh_393144207485,mobile_app,normal
DEV_000004,CUST_001713,dh_487530730410,api,new_channel
DEV_000005,CUST_004597,dh_676462102102,api,normal
DEV_000006,CUST_000284,dh_510159301455,api,device_reset
DEV_000007,CUST_004191,dh_632991272279,web,new_channel
DEV_000008,CUST_003835,dh_499617845123,mobile_app,device_reset
DEV_000009,CUST_003512,dh_467194619590,mobile_app,device_reset
DEV_000010,CUST_003240,dh_610363814748,web,normal
DEV_000011,CUST_002972,dh_693416760132,web,normal
DEV_000012,CUST_002501,dh_715140320996,mobile_app,normal
DEV_000013,CUST_000848,dh_51471111310,mobile_app,device_reset
DEV_000014,CUST_000048,dh_665948752080,mobile_app,new_device
DEV_000015,CUST_000254,dh_92754968832,api,new_device
DEV_000016,CUST_002339,dh_89414519516,mobile_app,normal
DEV_000017,CUST_003380,dh_900885133499,api,normal
DEV_000018,CUST_003029,dh_772500494623,api,device_reset
DEV_000019,CUST_003919,dh_209577648652,mobile_app,device_reset
DEV_000020,CUST_002010,dh_124461639488,api,normal
DEV_000021,CUST_001791,dh_305585380517,call_center,new_channel
DEV_000022,CUST_004526,dh_439208054390,call_center,normal
DEV_000023,CUST_004294,dh_635751269124,mobile_app,normal
DEV_000024,CUST_000612,dh_399677175295,call_center,device_reset
DEV_000025,CUST_000863,dh_161771956669,call_center,normal
DEV_000026,CUST_002898,dh_589732685091,mobile_app,new_device
DEV_000027,CUST_001602,dh_295184875492,web,device_reset
DEV_000028,CUST_000758,dh_913189867791,call_center,new_channel
DEV_000029,CUST_002443,dh_379122870679,web,normal
DEV_000030,CUST_001403,dh_824002101667,api,device_reset
DEV_000031,CUST_002349,dh_324971724785,call_center,device_reset
DEV_000032,CUST_001064,dh_368981122337,mobile_app,normal
DEV_000033,CUST_002983,dh_20414360341,mobile_app,device_reset
DEV_000034,CUST_004972,dh_502033381672,api,new_device
DEV_000035,CUST_003373,dh_172648145901,mobile_app,new_device
DEV_000036,CUST_002871,dh_259800890528,call_center,device_reset
DEV_000037,CUST_003637,dh_432296528489,web,normal
DEV_000038,CUST_004973,dh_350140258883,call_center,new_device
DEV_000039,CUST_004135,dh_833115372992,api,new_device
DEV_000040,CUST_003949,dh_262334164210,web,device_reset
DEV_000041,CUST_002508,dh_666619636553,api,new_device
DEV_000042,CUST_004223,dh_891857842286,call_center,new_device
DEV_000043,CUST_002308,dh_938958531566,web,normal
DEV_000044,CUST_000795,dh_904890104268,call_center,device_reset
DEV_000045,CUST_004713,dh_78912000221,api,normal
DEV_000046,CUST_000113,dh_242025150147,api,normal
DEV_000047,CUST_004978,dh_43583212699,api,normal
DEV_000048,CUST_000513,dh_495819881211,web,new_channel
DEV_000049,CUST_004871,dh_494670683590,api,normal
DEV_000050,CUST_000658,dh_594917494599,web,device_reset
DEV_000051,CUST_001825,dh_425905807594,mobile_app,normal
DEV_000052,CUST_001005,dh_353840630442,call_center,normal
DEV_000053,CUST_004195,dh_119376588635,web,new_device
DEV_000054,CUST_002398,dh_740025411272,mobile_app,new_channel
DEV_000055,CUST_000961,dh_499445575772,mobile_app,normal
DEV_000056,CUST_000935,dh_720491609747,web,device_reset
DEV_000057,CUST_004077,dh_819721705354,web,normal
DEV_000058,CUST_001571,dh_939668826133,web,new_device
DEV_000059,CUST_000242,dh_861496818776,api,normal
DEV_000060,CUST_000431,dh_840293408342,api,device_reset
DEV_000061,CUST_004373,dh_139286645080,mobile_app,new_device
DEV_000062,CUST_004767,dh_609466612877,mobile_app,device_reset
DEV_000063,CUST_000423,dh_645018001068,call_center,new_channel
DEV_000064,CUST_003105,dh_826787313575,web,new_channel
DEV_000065,CUST_003596,dh_660200343557,mobile_app,new_device
DEV_000066,CUST_003503,dh_968168686286,mobile_app,normal
DEV_000067,CUST_004064,dh_407257032778,mobile_app,normal
DEV_000068,CUST_001320,dh_378831538880,call_center,new_channel
DEV_000069,CUST_000893,dh_754505022271,web,device_reset
DEV_000070,CUST_004908,dh_470288451893,web,new_channel
