device_id,customer_id,device_hash,channel,risk_hint
D0001,A0056,dh_691240615118,mobile_app,normal
D0002,A0024,dh_846270141185,web,new_channel
D0003,A0058,dh_928610322841,web,normal
D0004,A0071,dh_897967559237,web,normal
D0005,A0018,dh_894615583164,mobile_app,normal
D0006,A0066,dh_33410860267,mobile_app,normal
D0007,A0019,dh_730280937344,mobile_app,new_channel
D0008,A0035,dh_67960051124,mobile_app,new_channel
D0009,A0067,dh_603672106356,mobile_app,normal
D0010,A0078,dh_566898713099,mobile_app,normal
D0011,A0014,dh_884362929399,web,new_channel
D0012,A0175,dh_559657780879,web,normal
D0013,A0089,dh_633439437952,web,normal
D0014,A0012,dh_291534371764,mobile_app,normal
D0015,A0192,dh_453327198728,web,normal
D0016,A0222,dh_320692171020,web,normal
D0017,A0075,dh_610704300445,mobile_app,normal
D0018,A0003,dh_646187779685,mobile_app,normal
D0019,A0125,dh_298863241116,web,normal
D0020,A0065,dh_28093837404,mobile_app,normal
D0021,A0002,dh_108307736042,mobile_app,new_channel
D0022,A0170,dh_667230531047,mobile_app,normal
D0023,A0072,dh_893936424949,mobile_app,normal
D0024,A0151,dh_294820760437,mobile_app,new_channel
D0025,A0061,dh_723213010506,mobile_app,normal
D0026,A0145,dh_401423539504,web,normal
D0027,A0055,dh_615175395739,web,normal
D0028,A0039,dh_166665509653,web,normal
D0029,A0170,dh_717061514775,web,normal
D0030,A0009,dh_742560582922,mobile_app,new_channel
D0031,A0067,dh_951895082094,mobile_app,normal
D0032,A0167,dh_802732870500,mobile_app,normal
D0033,A0226,dh_704891673474,mobile_app,normal
D0034,A0014,dh_650210988214,mobile_app,normal
D0035,A0203,dh_419759311247,mobile_app,normal
D0036,A0016,dh_933950007820,mobile_app,normal
D0037,A0068,dh_562632067087,mobile_app,normal
D0038,A0097,dh_644932132957,mobile_app,normal
D0039,A0027,dh_348013145229,web,normal
D0040,A0122,dh_630114549340,mobile_app,normal
D0041,A0009,dh_602216111254,mobile_app,normal
D0042,A0168,dh_6897334074,mobile_app,new_channel
D0043,A0026,dh_317897547880,mobile_app,new_channel
D0044,A0106,dh_606234005872,web,new_channel
D0045,A0080,dh_771230368061,mobile_app,normal
D0046,A0174,dh_703569985212,web,normal
D0047,A0259,dh_313396822416,web,normal
D0048,A0037,dh_749412417394,mobile_app,normal
D0049,A0085,dh_314789526058,web,normal
D0050,A0224,dh_370477028670,mobile_app,normal
D0051,A0032,dh_552279768918,web,normal
D0052,A0021,dh_403334565580,mobile_app,normal
D0053,A0037,dh_360831297997,mobile_app,normal
D0054,A0008,dh_70116471736,mobile_app,normal
D0055,A0027,dh_406553561882,mobile_app,normal
D0056,A0046,dh_614913925025,mobile_app,normal
D0057,A0119,dh_313879340256,mobile_app,normal
D0058,A0121,dh_386003391756,mobile_app,normal
D0059,A0010,dh_896048228259,mobile_app,normal
D0060,A0015,dh_164282599091,web,new_channel
D0061,A0085,dh_80134142832,mobile_app,normal
D0062,A0010,dh_551530338504,web,normal
D0063,A0152,dh_467387194849,web,new_channel
D0064,A0054,dh_863590813826,mobile_app,normal
D0065,A0165,dh_24420741137,mobile_app,normal
D0066,A0114,dh_414723301957,web,normal
D0067,A0033,dh_203217365660,mobile_app,normal
D0068,A0068,dh_280439128263,web,normal
D0069,A0029,dh_728463234482,mobile_app,normal
D0070,A0074,dh_810708241224,mobile_app,normal
D0071,A0163,dh_19974126794,web,normal
D0072,A0065,dh_146955429120,mobile_app,new_channel
D0073,A0041,dh_737667746032,web,new_channel
D0074,A0244,dh_729082389304,mobile_app,new_channel
D0075,A0097,dh_543646166614,mobile_app,new_channel
D0076,A0130,dh_975627015105,web,normal
D0077,A0033,dh_967975472088,web,normal
D0078,A0059,dh_197288848118,mobile_app,new_channel
D0079,A0238,dh_628184452029,mobile_app,normal
D0080,A0047,dh_327311610026,mobile_app,normal
D0081,A0245,dh_976984216967,web,new_channel
D0082,A0209,dh_370739663490,mobile_app,normal
D0083,A0017,dh_291900893189,mobile_app,new_channel
D0084,A0051,dh_793971943087,web,new_channel
D0085,A0169,dh_95686547885,mobile_app,normal
D0086,A0032,dh_808426444622,mobile_app,normal
D0087,A0002,dh_274563191388,mobile_app,normal
D0088,A0003,dh_920173909039,mobile_app,normal
D0089,A0005,dh_579701218382,mobile_app,normal
D0090,A0024,dh_322570066414,mobile_app,new_channel
D0091,A0255,dh_872291401155,mobile_app,normal
D0092,A0135,dh_765093959163,mobile_app,new_channel
D0093,A0001,dh_518590607274,mobile_app,normal
D0094,A0090,dh_336476941471,mobile_app,normal
D0095,A0062,dh_734375237493,mobile_app,normal
D0096,A0092,dh_469907744522,mobile_app,normal
D0097,A0231,dh_671602729351,mobile_app,normal
D0098,A0060,dh_990175053536,mobile_app,new_channel
D0099,A0239,dh_939688775813,mobile_app,normal
D0100,A0017,dh_695575541681,web,normal
D0101,A0033,dh_467703488884,mobile_app,new_channel
D0102,A0006,dh_867757723061,web,new_channel
D0103,A0004,dh_785616074926,web,normal
D0104,A0126,dh_129545342207,mobile_app,normal
D0105,A0095,dh_87241126185,mobile_app,new_channel
D0106,A0029,dh_790513412685,mobile_app,new_channel
D0107,A0036,dh_867452175590,mobile_app,normal
D0108,A0110,dh_813112662588,mobile_app,normal
