signal_id,entity_id,signal_type,severity,source,timestamp
SIG_000000,CUST_000737,new_channel,0.628,marketplace,2026-01-01T00:00:00
SIG_000001,CUST_000296,shared_signal_detected,0.605,marketplace,2026-01-01T01:00:00
SIG_000002,CUST_000339,device_reset,0.32,bank,2026-01-01T02:00:00
SIG_000003,CUST_000783,new_channel,0.306,wallet,2026-01-01T03:00:00
SIG_000004,CUST_000639,sim_swap_hint,0.759,telco,2026-01-01T04:00:00
SIG_000005,CUST_000484,identity_shift,0.904,wallet,2026-01-01T05:00:00
SIG_000006,EXT_0022,unknown_relationship,0.347,bank,2026-01-01T06:00:00
SIG_000007,CUST_000459,new_channel,0.977,wallet,2026-01-01T07:00:00
SIG_000008,CUST_000663,unknown_relationship,0.795,wallet,2026-01-01T08:00:00
SIG_000009,CUST_000407,identity_shift,0.409,bank,2026-01-01T09:00:00
SIG_000010,CUST_000262,device_reset,0.882,telco,2026-01-01T10:00:00
SIG_000011,CUST_000381,device_reset,0.708,telco,2026-01-01T11:00:00
SIG_000012,CUST_000632,device_reset,0.959,wallet,2026-01-01T12:00:00
SIG_000013,CUST_000640,unknown_relationship,0.377,telco,2026-01-01T13:00:00
SIG_000014,CUST_000522,device_reset,0.349,wallet,2026-01-01T14:00:00
SIG_000015,CUST_000344,identity_shift,0.42,bank,2026-01-01T15:00:00
SIG_000016,CUST_000561,identity_shift,0.85,telco,2026-01-01T16:00:00
SIG_000017,CUST_000050,new_channel,0.516,marketplace,2026-01-01T17:00:00
SIG_000018,EXT_0022,new_channel,0.5,wallet,2026-01-01T18:00:00
SIG_000019,CUST_000396,shared_signal_detected,0.308,bank,2026-01-01T19:00:00
SIG_000020,CUST_000661,shared_signal_detected,0.937,bank,2026-01-01T20:00:00
SIG_000021,CUST_000119,identity_shift,0.337,wallet,2026-01-01T21:00:00
SIG_000022,CUST_000733,shared_signal_detected,0.696,wallet,2026-01-01T22:00:00
SIG_000023,CUST_000455,sim_swap_hint,0.469,marketplace,2026-01-01T23:00:00
SIG_000024,CUST_000356,shared_signal_detected,0.753,bank,2026-01-02T00:00:00
SIG_000025,CUST_000274,shared_signal_detected,0.962,telco,2026-01-02T01:00:00
SIG_000026,CUST_000755,unknown_relationship,0.626,bank,2026-01-02T02:00:00
SIG_000027,MULE_0002,device_reset,0.826,wallet,2026-01-02T03:00:00
SIG_000028,CUST_000068,shared_signal_detected,0.773,wallet,2026-01-02T04:00:00
SIG_000029,CUST_000405,shared_signal_detected,0.86,telco,2026-01-02T05:00:00
SIG_000030,CUST_000263,new_channel,0.74,bank,2026-01-02T06:00:00
SIG_000031,CUST_000794,new_channel,0.285,marketplace,2026-01-02T07:00:00
SIG_000032,CUST_000175,new_channel,0.919,marketplace,2026-01-02T08:00:00
SIG_000033,CUST_000469,unknown_relationship,0.648,wallet,2026-01-02T09:00:00
SIG_000034,CUST_000786,shared_signal_detected,0.548,marketplace,2026-01-02T10:00:00
SIG_000035,CUST_000787,identity_shift,0.696,telco,2026-01-02T11:00:00
SIG_000036,CUST_000347,sim_swap_hint,0.585,wallet,2026-01-02T12:00:00
SIG_000037,CUST_000391,device_reset,0.798,marketplace,2026-01-02T13:00:00
SIG_000038,CUST_000291,unknown_relationship,0.821,marketplace,2026-01-02T14:00:00
SIG_000039,CUST_000369,unknown_relationship,0.271,telco,2026-01-02T15:00:00
SIG_000040,CUST_000592,device_reset,0.822,wallet,2026-01-02T16:00:00
SIG_000041,CUST_000091,device_reset,0.288,wallet,2026-01-02T17:00:00
SIG_000042,CUST_000136,device_reset,0.298,bank,2026-01-02T18:00:00
SIG_000043,CUST_000325,sim_swap_hint,0.262,bank,2026-01-02T19:00:00
SIG_000044,CUST_000526,shared_signal_detected,0.875,bank,2026-01-02T20:00:00
SIG_000045,CUST_000606,sim_swap_hint,0.691,telco,2026-01-02T21:00:00
SIG_000046,CUST_000212,device_reset,0.659,wallet,2026-01-02T22:00:00
SIG_000047,CUST_000300,new_channel,0.464,marketplace,2026-01-02T23:00:00
SIG_000048,CUST_000125,new_channel,0.786,wallet,2026-01-03T00:00:00
SIG_000049,CUST_000156,new_channel,0.464,marketplace,2026-01-03T01:00:00
SIG_000050,CUST_000023,unknown_relationship,0.305,wallet,2026-01-03T02:00:00
SIG_000051,CUST_000045,shared_signal_detected,0.753,marketplace,2026-01-03T03:00:00
SIG_000052,CUST_000260,identity_shift,0.873,marketplace,2026-01-03T04:00:00
SIG_000053,CUST_000015,device_reset,0.444,wallet,2026-01-03T05:00:00
SIG_000054,CUST_000295,device_reset,0.966,bank,2026-01-03T06:00:00
SIG_000055,CUST_000134,unknown_relationship,0.524,wallet,2026-01-03T07:00:00
SIG_000056,CUST_000451,identity_shift,0.717,telco,2026-01-03T08:00:00
SIG_000057,CUST_000019,unknown_relationship,0.397,wallet,2026-01-03T09:00:00
SIG_000058,CUST_000255,unknown_relationship,0.903,telco,2026-01-03T10:00:00
