signal_id,entity_id,signal_type,severity,source,timestamp
SIGB_00001,A0181,baseline_activity_shift,0.234,pulse_monitor,2026-02-01T00:00:00
SIGB_00002,A0109,baseline_activity_shift,0.115,pulse_monitor,2026-02-01T00:00:00
SIGB_00003,A0096,baseline_activity_shift,0.352,pulse_monitor,2026-02-01T00:00:00
SIGB_00004,A0042,baseline_activity_shift,0.085,pulse_monitor,2026-02-01T00:00:00
SIGB_00005,A0103,baseline_activity_shift,0.321,pulse_monitor,2026-02-01T00:00:00
SIGB_00006,A0023,baseline_activity_shift,0.18,pulse_monitor,2026-02-01T00:00:00
SIGB_00007,A0155,baseline_activity_shift,0.268,pulse_monitor,2026-02-01T00:00:00
SIGB_00008,A0159,baseline_activity_shift,0.279,pulse_monitor,2026-02-01T00:00:00
SIGB_00009,A0187,baseline_activity_shift,0.119,pulse_monitor,2026-02-01T00:00:00
SIGB_00010,A0070,baseline_activity_shift,0.322,pulse_monitor,2026-02-01T00:00:00
SIGB_00011,A0224,baseline_activity_shift,0.191,pulse_monitor,2026-02-01T00:00:00
SIGB_00012,A0252,baseline_activity_shift,0.09,pulse_monitor,2026-02-01T00:00:00
SIGB_00013,A0003,baseline_activity_shift,0.275,pulse_monitor,2026-02-01T00:00:00
SIGB_00014,A0013,baseline_activity_shift,0.302,pulse_monitor,2026-02-01T00:00:00
SIGB_00015,A0189,baseline_activity_shift,0.178,pulse_monitor,2026-02-01T00:00:00
SIGB_00016,A0113,baseline_activity_shift,0.322,pulse_monitor,2026-02-01T00:00:00
SIGB_00017,A0037,baseline_activity_shift,0.094,pulse_monitor,2026-02-01T00:00:00
SIGB_00018,A0214,baseline_activity_shift,0.392,pulse_monitor,2026-02-01T00:00:00
SIGB_00019,A0089,baseline_activity_shift,0.089,pulse_monitor,2026-02-01T00:00:00
SIGB_00020,A0212,baseline_activity_shift,0.397,pulse_monitor,2026-02-01T00:00:00
SIGB_00021,A0026,baseline_activity_shift,0.22,pulse_monitor,2026-02-01T00:00:00
SIGB_00022,A0196,baseline_activity_shift,0.396,pulse_monitor,2026-02-01T00:00:00
SIGB_00023,A0054,baseline_activity_shift,0.198,pulse_monitor,2026-02-01T00:00:00
SIGB_00024,A0004,baseline_activity_shift,0.2,pulse_monitor,2026-02-01T00:00:00
SIGB_00025,A0017,baseline_activity_shift,0.317,pulse_monitor,2026-02-01T00:00:00
SIGB_00026,A0138,baseline_activity_shift,0.343,pulse_monitor,2026-02-01T00:00:00
SIGB_00027,A0140,baseline_activity_shift,0.152,pulse_monitor,2026-02-01T00:00:00
SIGB_00028,A0164,baseline_activity_shift,0.373,pulse_monitor,2026-02-01T00:00:00
SIGB_00029,A0027,baseline_activity_shift,0.253,pulse_monitor,2026-02-01T00:00:00
SIGB_00030,A0209,baseline_activity_shift,0.106,pulse_monitor,2026-02-01T00:00:00
SIGB_00031,A0128,baseline_activity_shift,0.101,pulse_monitor,2026-02-01T00:00:00
SIGB_00032,A0234,baseline_activity_shift,0.337,pulse_monitor,2026-02-01T00:00:00
SIGB_00033,A0053,baseline_activity_shift,0.126,pulse_monitor,2026-02-01T00:00:00
SIGB_00034,A0259,baseline_activity_shift,0.132,pulse_monitor,2026-02-01T00:00:00
SIGB_00035,A0104,baseline_activity_shift,0.229,pulse_monitor,2026-02-01T00:00:00
SIGB_00036,A0061,baseline_activity_shift,0.192,pulse_monitor,2026-02-01T00:00:00
SIGB_00037,A0150,baseline_activity_shift,0.232,pulse_monitor,2026-02-01T00:00:00
SIGB_00038,A0136,baseline_activity_shift,0.364,pulse_monitor,2026-02-01T00:00:00
SIGB_00039,A0087,baseline_activity_shift,0.293,pulse_monitor,2026-02-01T00:00:00
SIGB_00040,A0056,baseline_activity_shift,0.397,pulse_monitor,2026-02-01T00:00:00
SIGB_00041,A0084,baseline_activity_shift,0.172,pulse_monitor,2026-02-01T00:00:00
SIGB_00042,A0022,baseline_activity_shift,0.275,pulse_monitor,2026-02-01T00:00:00
SIGB_00043,A0010,baseline_activity_shift,0.141,pulse_monitor,2026-02-01T00:00:00
SIGB_00044,A0144,baseline_activity_shift,0.177,pulse_monitor,2026-02-01T00:00:00
SIGB_00045,A0062,baseline_activity_shift,0.321,pulse_monitor,2026-02-01T00:00:00
SIGB_00046,A0021,baseline_activity_shift,0.123,pulse_monitor,2026-02-01T00:00:00
SIGB_00047,A0015,baseline_activity_shift,0.255,pulse_monitor,2026-02-01T00:00:00
SIGB_00048,A0249,baseline_activity_shift,0.13,pulse_monitor,2026-02-01T00:00:00
SIGB_00049,A0040,baseline_activity_shift,0.178,pulse_monitor,2026-02-01T00:00:00
SIGB_00050,A0012,baseline_activity_shift,0.28,pulse_monitor,2026-02-01T00:00:00
SIGB_00051,A0030,baseline_activity_shift,0.356,pulse_monitor,2026-02-01T00:00:00
SIGB_00052,A0185,baseline_activity_shift,0.244,pulse_monitor,2026-02-01T00:00:00
SIGB_00053,A0226,baseline_activity_shift,0.24,pulse_monitor,2026-02-01T00:00:00
SIGB_00054,A0122,baseline_activity_shift,0.093,pulse_monitor,2026-02-01T00:00:00
SIGB_00055,A0208,baseline_activity_shift,0.248,pulse_monitor,2026-02-01T00:00:00
SIGB_00056,A0202,baseline_activity_shift,0.322,pulse_monitor,2026-02-01T00:00:00
SIGB_00057,A0063,baseline_activity_shift,0.377,pulse_monitor,2026-02-01T00:00:00
SIGB_00058,A0203,baseline_activity_shift,0.384,pulse_monitor,2026-02-01T00:00:00
SIGB_00059,A0160,baseline_activity_shift,0.284,pulse_monitor,2026-02-01T00:00:00
SIGB_00060,A0034,baseline_activity_shift,0.177,pulse_monitor,2026-02-01T00:00:00
SIGB_00061,A0123,baseline_activity_shift,0.363,pulse_monitor,2026-02-01T00:00:00
SIGB_00062,A0055,baseline_activity_shift,0.274,pulse_monitor,2026-02-01T00:00:00
SIGB_00063,A0236,baseline_activity_shift,0.331,pulse_monitor,2026-02-01T00:00:00
SIGB_00064,A0029,baseline_activity_shift,0.237,pulse_monitor,2026-02-01T00:00:00
SIGB_00065,A0064,baseline_activity_shift,0.17,pulse_monitor,2026-02-01T00:00:00
