event_id,source_id,target_id,event_type,context,amount,label,timestamp
EVT_0000000,CUST_000133,CUST_001877,payment_release,delivery_confirmed,438,normal,2026-01-01T00:00:00
EVT_0000001,CUST_002451,CUST_000121,marketplace_payment,listing_purchase,1523,normal,2026-01-01T00:01:00
EVT_0000002,CUST_000495,CUST_001179,marketplace_payment,listing_purchase,1148,normal,2026-01-01T00:02:00
EVT_0000003,CUST_002194,CUST_002262,message,commerce,781,normal,2026-01-01T00:03:00
EVT_0000004,CUST_000556,CUST_004765,marketplace_payment,marketplace_chat,434,normal,2026-01-01T00:04:00
EVT_0000005,CUST_004652,CUST_001369,marketplace_payment,listing_purchase,1033,normal,2026-01-01T00:05:00
EVT_0000006,CUST_000744,CUST_002060,message,listing_purchase,837,normal,2026-01-01T00:06:00
EVT_0000007,CUST_001205,CUST_002101,message,commerce,198,normal,2026-01-01T00:07:00
EVT_0000008,CUST_001061,MULE_0000,transfer,social_engineering,465,social_chain,2026-01-01T00:08:00
EVT_0000009,CUST_001687,CUST_001916,payment_release,listing_purchase,209,normal,2026-01-01T00:09:00
EVT_0000010,CUST_001144,CUST_000326,payment_release,listing_purchase,1310,normal,2026-01-01T00:10:00
EVT_0000011,CUST_004725,CUST_004272,payment_release,seller_payout,1614,normal,2026-01-01T00:11:00
EVT_0000012,CUST_002774,CUST_004811,payment_release,marketplace_chat,384,normal,2026-01-01T00:12:00
EVT_0000013,CUST_002954,CUST_001435,payment_release,listing_purchase,107,normal,2026-01-01T00:13:00
EVT_0000014,CUST_002149,CUST_004754,marketplace_payment,commerce,307,normal,2026-01-01T00:14:00
EVT_0000015,CUST_000917,CUST_000946,message,listing_purchase,1255,normal,2026-01-01T00:15:00
EVT_0000016,CUST_002900,CUST_002706,message,delivery_confirmed,166,normal,2026-01-01T00:16:00
EVT_0000017,CUST_003075,MULE_0012,payment_release,seller_payout,1705,mule_pattern,2026-01-01T00:17:00
EVT_0000018,CUST_001703,CUST_000268,payment_release,commerce,262,normal,2026-01-01T00:18:00
EVT_0000019,CUST_004253,CUST_001949,payment_release,commerce,761,normal,2026-01-01T00:19:00
EVT_0000020,CUST_004888,CUST_003657,message,delivery_confirmed,717,normal,2026-01-01T00:20:00
EVT_0000021,CUST_001794,CUST_004803,payment_release,listing_purchase,32,normal,2026-01-01T00:21:00
EVT_0000022,CUST_003022,CUST_000716,marketplace_payment,seller_payout,1726,normal,2026-01-01T00:22:00
EVT_0000023,CUST_004181,CUST_001738,payment_release,listing_purchase,1262,normal,2026-01-01T00:23:00
EVT_0000024,CUST_001417,CUST_003025,message,marketplace_chat,566,normal,2026-01-01T00:24:00
