signal_id,entity_id,signal_type,severity,source,timestamp
LIAB_000,A,liquidity_stress,0.313,liability_engine,2026-05-20T00:00:00
LIAB_001,B,liquidity_stress,0.259,liability_engine,2026-05-20T00:00:00
LIAB_002,C,liquidity_stress,0.377,liability_engine,2026-05-20T00:00:00
LIAB_003,D,liquidity_stress,0.67,liability_engine,2026-05-20T00:00:00
LIAB_004,E,liquidity_stress,0.918,liability_engine,2026-05-20T00:00:00
CORR_001,I048,correlation_cluster,0.677,entropy_engine,2026-05-21T00:00:00
CORR_002,I023,correlation_cluster,0.858,entropy_engine,2026-05-21T00:00:00
CORR_003,I005,correlation_cluster,0.782,entropy_engine,2026-05-21T00:00:00
CORR_004,I066,correlation_cluster,0.717,entropy_engine,2026-05-21T00:00:00
CORR_005,I035,correlation_cluster,0.763,entropy_engine,2026-05-21T00:00:00
CORR_006,I085,correlation_cluster,0.761,entropy_engine,2026-05-21T00:00:00
CORR_007,I060,correlation_cluster,0.663,entropy_engine,2026-05-21T00:00:00
CORR_008,I006,correlation_cluster,0.922,entropy_engine,2026-05-21T00:00:00
CORR_009,I020,correlation_cluster,0.848,entropy_engine,2026-05-21T00:00:00
CORR_010,I043,correlation_cluster,0.72,entropy_engine,2026-05-21T00:00:00
CORR_011,I013,correlation_cluster,0.67,entropy_engine,2026-05-21T00:00:00
CORR_012,I036,correlation_cluster,0.847,entropy_engine,2026-05-21T00:00:00
