signal_id,entity_id,signal_type,severity,source,timestamp
SIG_000000,CUST_011682,device_reset,0.421,bank,2026-01-01T00:00:00
SIG_000001,CUST_005405,sim_swap_hint,0.562,telco,2026-01-01T01:00:00
SIG_000002,CUST_005974,shared_signal_detected,0.544,bank,2026-01-01T02:00:00
SIG_000003,CUST_016615,unknown_relationship,0.55,marketplace,2026-01-01T03:00:00
SIG_000004,CUST_007438,device_reset,0.278,telco,2026-01-01T04:00:00
SIG_000005,CUST_009597,unknown_relationship,0.758,wallet,2026-01-01T05:00:00
SIG_000006,CUST_002121,sim_swap_hint,0.86,telco,2026-01-01T06:00:00
SIG_000007,CUST_018644,device_reset,0.834,wallet,2026-01-01T07:00:00
SIG_000008,CUST_006734,device_reset,0.588,bank,2026-01-01T08:00:00
SIG_000009,CUST_009405,device_reset,0.838,telco,2026-01-01T09:00:00
SIG_000010,CUST_004257,sim_swap_hint,0.39,wallet,2026-01-01T10:00:00
SIG_000011,CUST_009285,shared_signal_detected,0.75,bank,2026-01-01T11:00:00
SIG_000012,CUST_003643,identity_shift,0.487,marketplace,2026-01-01T12:00:00
SIG_000013,CUST_001087,unknown_relationship,0.61,wallet,2026-01-01T13:00:00
SIG_000014,CUST_009212,device_reset,0.692,telco,2026-01-01T14:00:00
SIG_000015,CUST_003334,shared_signal_detected,0.642,telco,2026-01-01T15:00:00
SIG_000016,CUST_011797,unknown_relationship,0.612,bank,2026-01-01T16:00:00
SIG_000017,CUST_009347,shared_signal_detected,0.925,wallet,2026-01-01T17:00:00
SIG_000018,CUST_002769,sim_swap_hint,0.856,bank,2026-01-01T18:00:00
SIG_000019,CUST_014249,unknown_relationship,0.753,bank,2026-01-01T19:00:00
SIG_000020,CUST_002389,new_channel,0.509,telco,2026-01-01T20:00:00
SIG_000021,CUST_005651,new_channel,0.769,marketplace,2026-01-01T21:00:00
SIG_000022,CUST_010532,shared_signal_detected,0.606,telco,2026-01-01T22:00:00
SIG_000023,CUST_006208,new_channel,0.846,bank,2026-01-01T23:00:00
SIG_000024,EXT_0162,sim_swap_hint,0.291,wallet,2026-01-02T00:00:00
SIG_000025,CUST_000494,unknown_relationship,0.405,bank,2026-01-02T01:00:00
SIG_000026,CUST_004929,unknown_relationship,0.805,telco,2026-01-02T02:00:00
SIG_000027,CUST_011635,sim_swap_hint,0.887,marketplace,2026-01-02T03:00:00
SIG_000028,CUST_003924,sim_swap_hint,0.565,telco,2026-01-02T04:00:00
SIG_000029,CUST_005056,device_reset,0.406,wallet,2026-01-02T05:00:00
