signal_id,entity_id,signal_type,severity,source,timestamp
SIG_000000,CUST_004856,shared_signal_detected,0.288,telco,2026-01-01T00:00:00
SIG_000001,CUST_000359,shared_signal_detected,0.511,wallet,2026-01-01T01:00:00
SIG_000002,CUST_003437,new_channel,0.86,telco,2026-01-01T02:00:00
SIG_000003,CUST_002025,sim_swap_hint,0.786,marketplace,2026-01-01T03:00:00
SIG_000004,CUST_000192,device_reset,0.966,wallet,2026-01-01T04:00:00
SIG_000005,CUST_004082,identity_shift,0.335,telco,2026-01-01T05:00:00
SIG_000006,CUST_000638,shared_signal_detected,0.715,wallet,2026-01-01T06:00:00
SIG_000007,CUST_004130,identity_shift,0.794,bank,2026-01-01T07:00:00
SIG_000008,CUST_001465,identity_shift,0.848,marketplace,2026-01-01T08:00:00
SIG_000009,CUST_000155,shared_signal_detected,0.844,telco,2026-01-01T09:00:00
SIG_000010,CUST_001491,device_reset,0.631,wallet,2026-01-01T10:00:00
SIG_000011,CUST_004229,sim_swap_hint,0.505,telco,2026-01-01T11:00:00
SIG_000012,CUST_003346,shared_signal_detected,0.749,wallet,2026-01-01T12:00:00
SIG_000013,CUST_000978,new_channel,0.846,bank,2026-01-01T13:00:00
SIG_000014,CUST_003275,shared_signal_detected,0.442,bank,2026-01-01T14:00:00
SIG_000015,CUST_002150,device_reset,0.686,bank,2026-01-01T15:00:00
SIG_000016,CUST_002054,unknown_relationship,0.416,bank,2026-01-01T16:00:00
SIG_000017,CUST_002168,sim_swap_hint,0.368,bank,2026-01-01T17:00:00
SIG_000018,CUST_002707,sim_swap_hint,0.872,marketplace,2026-01-01T18:00:00
SIG_000019,CUST_001179,identity_shift,0.59,telco,2026-01-01T19:00:00
SIG_000020,CUST_004036,identity_shift,0.41,bank,2026-01-01T20:00:00
SIG_000021,CUST_001835,identity_shift,0.762,telco,2026-01-01T21:00:00
SIG_000022,CUST_003233,identity_shift,0.916,bank,2026-01-01T22:00:00
SIG_000023,CUST_001394,new_channel,0.603,bank,2026-01-01T23:00:00
SIG_000024,CUST_000383,device_reset,0.666,telco,2026-01-02T00:00:00
SIG_000025,CUST_004930,sim_swap_hint,0.619,telco,2026-01-02T01:00:00
SIG_000026,CUST_004258,new_channel,0.322,wallet,2026-01-02T02:00:00
SIG_000027,CUST_003154,identity_shift,0.766,wallet,2026-01-02T03:00:00
SIG_000028,CUST_001301,unknown_relationship,0.961,wallet,2026-01-02T04:00:00
SIG_000029,CUST_000873,identity_shift,0.308,bank,2026-01-02T05:00:00
SIG_000030,CUST_004435,shared_signal_detected,0.74,bank,2026-01-02T06:00:00
SIG_000031,CUST_003925,unknown_relationship,0.923,bank,2026-01-02T07:00:00
SIG_000032,CUST_000016,shared_signal_detected,0.55,marketplace,2026-01-02T08:00:00
SIG_000033,CUST_001340,new_channel,0.865,marketplace,2026-01-02T09:00:00
SIG_000034,CUST_004862,shared_signal_detected,0.692,marketplace,2026-01-02T10:00:00
SIG_000035,CUST_000449,identity_shift,0.312,wallet,2026-01-02T11:00:00
SIG_000036,CUST_001945,unknown_relationship,0.822,bank,2026-01-02T12:00:00
SIG_000037,CUST_002258,unknown_relationship,0.88,wallet,2026-01-02T13:00:00
SIG_000038,CUST_002554,identity_shift,0.47,marketplace,2026-01-02T14:00:00
SIG_000039,CUST_000858,identity_shift,0.596,wallet,2026-01-02T15:00:00
SIG_000040,CUST_003546,shared_signal_detected,0.841,telco,2026-01-02T16:00:00
SIG_000041,CUST_000244,identity_shift,0.426,wallet,2026-01-02T17:00:00
SIG_000042,CUST_001779,identity_shift,0.688,bank,2026-01-02T18:00:00
SIG_000043,CUST_004932,sim_swap_hint,0.257,wallet,2026-01-02T19:00:00
SIG_000044,CUST_004458,unknown_relationship,0.675,wallet,2026-01-02T20:00:00
SIG_000045,CUST_003605,sim_swap_hint,0.796,marketplace,2026-01-02T21:00:00
SIG_000046,CUST_000277,unknown_relationship,0.531,bank,2026-01-02T22:00:00
SIG_000047,CUST_001584,unknown_relationship,0.893,bank,2026-01-02T23:00:00
SIG_000048,CUST_002024,device_reset,0.562,bank,2026-01-03T00:00:00
SIG_000049,CUST_004966,shared_signal_detected,0.391,telco,2026-01-03T01:00:00
SIG_000050,CUST_004404,identity_shift,0.363,marketplace,2026-01-03T02:00:00
SIG_000051,CUST_001204,new_channel,0.551,wallet,2026-01-03T03:00:00
SIG_000052,CUST_002819,identity_shift,0.814,bank,2026-01-03T04:00:00
SIG_000053,CUST_001054,sim_swap_hint,0.719,telco,2026-01-03T05:00:00
