signal_id,entity_id,signal_type,severity,source,timestamp
SIG_000000,CUST_000199,shared_signal_detected,0.619,telco,2026-01-01T00:00:00
SIG_000001,CUST_000074,new_channel,0.627,telco,2026-01-01T01:00:00
SIG_000002,CUST_000195,new_channel,0.713,bank,2026-01-01T02:00:00
SIG_000003,CUST_000430,shared_signal_detected,0.265,bank,2026-01-01T03:00:00
SIG_000004,CUST_000591,unknown_relationship,0.257,wallet,2026-01-01T04:00:00
SIG_000005,CUST_000742,shared_signal_detected,0.925,bank,2026-01-01T05:00:00
SIG_000006,CUST_000008,shared_signal_detected,0.291,marketplace,2026-01-01T06:00:00
SIG_000007,CUST_000315,unknown_relationship,0.291,marketplace,2026-01-01T07:00:00
SIG_000008,CUST_000402,unknown_relationship,0.599,telco,2026-01-01T08:00:00
SIG_000009,CUST_000249,unknown_relationship,0.65,wallet,2026-01-01T09:00:00
SIG_000010,CUST_000632,sim_swap_hint,0.415,wallet,2026-01-01T10:00:00
SIG_000011,CUST_000390,shared_signal_detected,0.976,wallet,2026-01-01T11:00:00
SIG_000012,CUST_000482,identity_shift,0.456,telco,2026-01-01T12:00:00
SIG_000013,EXT_0026,new_channel,0.57,bank,2026-01-01T13:00:00
SIG_000014,CUST_000544,shared_signal_detected,0.792,marketplace,2026-01-01T14:00:00
SIG_000015,CUST_000418,identity_shift,0.969,marketplace,2026-01-01T15:00:00
SIG_000016,CUST_000352,identity_shift,0.269,marketplace,2026-01-01T16:00:00
SIG_000017,CUST_000251,shared_signal_detected,0.638,telco,2026-01-01T17:00:00
SIG_000018,CUST_000087,device_reset,0.399,bank,2026-01-01T18:00:00
SIG_000019,CUST_000478,new_channel,0.711,bank,2026-01-01T19:00:00
SIG_000020,CUST_000616,unknown_relationship,0.671,wallet,2026-01-01T20:00:00
SIG_000021,EXT_0019,sim_swap_hint,0.586,telco,2026-01-01T21:00:00
SIG_000022,CUST_000322,new_channel,0.445,telco,2026-01-01T22:00:00
SIG_000023,CUST_000441,device_reset,0.455,telco,2026-01-01T23:00:00
SIG_000024,CUST_000520,device_reset,0.635,marketplace,2026-01-02T00:00:00
SIG_000025,CUST_000517,new_channel,0.686,wallet,2026-01-02T01:00:00
SIG_000026,CUST_000136,shared_signal_detected,0.867,wallet,2026-01-02T02:00:00
SIG_000027,CUST_000019,shared_signal_detected,0.585,telco,2026-01-02T03:00:00
SIG_000028,CUST_000417,device_reset,0.548,wallet,2026-01-02T04:00:00
SIG_000029,CUST_000776,identity_shift,0.37,bank,2026-01-02T05:00:00
SIG_000030,CUST_000370,identity_shift,0.738,telco,2026-01-02T06:00:00
SIG_000031,MULE_0007,identity_shift,0.946,wallet,2026-01-02T07:00:00
SIG_000032,CUST_000346,identity_shift,0.515,telco,2026-01-02T08:00:00
SIG_000033,CUST_000179,new_channel,0.801,bank,2026-01-02T09:00:00
SIG_000034,CUST_000027,identity_shift,0.327,telco,2026-01-02T10:00:00
SIG_000035,CUST_000582,new_channel,0.9,bank,2026-01-02T11:00:00
SIG_000036,EXT_0013,device_reset,0.614,telco,2026-01-02T12:00:00
SIG_000037,CUST_000062,identity_shift,0.466,bank,2026-01-02T13:00:00
SIG_000038,CUST_000391,unknown_relationship,0.289,telco,2026-01-02T14:00:00
SIG_000039,CUST_000782,shared_signal_detected,0.361,wallet,2026-01-02T15:00:00
SIG_000040,CUST_000177,new_channel,0.639,marketplace,2026-01-02T16:00:00
SIG_000041,CUST_000777,unknown_relationship,0.332,wallet,2026-01-02T17:00:00
SIG_000042,CUST_000490,device_reset,0.763,marketplace,2026-01-02T18:00:00
SIG_000043,CUST_000549,sim_swap_hint,0.853,bank,2026-01-02T19:00:00
SIG_000044,BAD_0006,shared_signal_detected,0.957,bank,2026-01-02T20:00:00
SIG_000045,CUST_000736,device_reset,0.714,wallet,2026-01-02T21:00:00
SIG_000046,CUST_000612,new_channel,0.561,marketplace,2026-01-02T22:00:00
SIG_000047,CUST_000212,device_reset,0.783,marketplace,2026-01-02T23:00:00
SIG_000048,CUST_000058,unknown_relationship,0.821,wallet,2026-01-03T00:00:00
SIG_000049,CUST_000740,unknown_relationship,0.746,marketplace,2026-01-03T01:00:00
SIG_000050,CUST_000773,identity_shift,0.974,wallet,2026-01-03T02:00:00
SIG_000051,CUST_000239,sim_swap_hint,0.666,marketplace,2026-01-03T03:00:00
SIG_000052,CUST_000056,sim_swap_hint,0.959,wallet,2026-01-03T04:00:00
SIG_000053,CUST_000169,new_channel,0.762,bank,2026-01-03T05:00:00
SIG_000054,CUST_000768,device_reset,0.715,wallet,2026-01-03T06:00:00
SIG_000055,CUST_000722,device_reset,0.859,marketplace,2026-01-03T07:00:00
SIG_000056,CUST_000671,identity_shift,0.579,bank,2026-01-03T08:00:00
SIG_000057,CUST_000161,identity_shift,0.893,telco,2026-01-03T09:00:00
SIG_000058,CUST_000189,identity_shift,0.871,telco,2026-01-03T10:00:00
SIG_000059,CUST_000219,unknown_relationship,0.301,marketplace,2026-01-03T11:00:00
SIG_000060,CUST_000245,new_channel,0.575,bank,2026-01-03T12:00:00
SIG_000061,CUST_000430,unknown_relationship,0.953,marketplace,2026-01-03T13:00:00
SIG_000062,CUST_000285,shared_signal_detected,0.64,marketplace,2026-01-03T14:00:00
SIG_000063,CUST_000388,shared_signal_detected,0.748,telco,2026-01-03T15:00:00
