signal_id,entity_id,signal_type,severity,source,timestamp
SIG_000000,CUST_018304,sim_swap_hint,0.961,telco,2026-01-01T00:00:00
SIG_000001,CUST_010543,sim_swap_hint,0.841,wallet,2026-01-01T01:00:00
SIG_000002,CUST_009098,unknown_relationship,0.964,marketplace,2026-01-01T02:00:00
SIG_000003,EXT_0025,device_reset,0.317,bank,2026-01-01T03:00:00
SIG_000004,CUST_007754,identity_shift,0.566,marketplace,2026-01-01T04:00:00
SIG_000005,CUST_004102,unknown_relationship,0.837,wallet,2026-01-01T05:00:00
SIG_000006,CUST_005361,sim_swap_hint,0.603,telco,2026-01-01T06:00:00
SIG_000007,CUST_009654,device_reset,0.713,wallet,2026-01-01T07:00:00
SIG_000008,CUST_015407,unknown_relationship,0.791,marketplace,2026-01-01T08:00:00
SIG_000009,CUST_006685,new_channel,0.796,wallet,2026-01-01T09:00:00
SIG_000010,CUST_016063,identity_shift,0.738,wallet,2026-01-01T10:00:00
SIG_000011,CUST_002060,unknown_relationship,0.912,marketplace,2026-01-01T11:00:00
SIG_000012,CUST_012331,device_reset,0.465,bank,2026-01-01T12:00:00
SIG_000013,CUST_014024,device_reset,0.555,bank,2026-01-01T13:00:00
SIG_000014,CUST_009128,sim_swap_hint,0.335,telco,2026-01-01T14:00:00
SIG_000015,CUST_013627,identity_shift,0.416,bank,2026-01-01T15:00:00
SIG_000016,CUST_010610,shared_signal_detected,0.834,wallet,2026-01-01T16:00:00
SIG_000017,CUST_012976,identity_shift,0.377,marketplace,2026-01-01T17:00:00
SIG_000018,CUST_003225,identity_shift,0.928,telco,2026-01-01T18:00:00
SIG_000019,CUST_001130,identity_shift,0.916,bank,2026-01-01T19:00:00
SIG_000020,CUST_016942,unknown_relationship,0.409,bank,2026-01-01T20:00:00
SIG_000021,CUST_014555,sim_swap_hint,0.554,marketplace,2026-01-01T21:00:00
SIG_000022,CUST_002479,new_channel,0.944,wallet,2026-01-01T22:00:00
SIG_000023,CUST_010884,unknown_relationship,0.399,marketplace,2026-01-01T23:00:00
SIG_000024,CUST_002264,shared_signal_detected,0.255,marketplace,2026-01-02T00:00:00
SIG_000025,CUST_003281,sim_swap_hint,0.251,marketplace,2026-01-02T01:00:00
SIG_000026,CUST_007522,new_channel,0.639,telco,2026-01-02T02:00:00
SIG_000027,CUST_011375,identity_shift,0.773,wallet,2026-01-02T03:00:00
SIG_000028,CUST_013915,identity_shift,0.541,wallet,2026-01-02T04:00:00
SIG_000029,CUST_008396,unknown_relationship,0.691,wallet,2026-01-02T05:00:00
SIG_000030,CUST_016881,unknown_relationship,0.507,telco,2026-01-02T06:00:00
SIG_000031,CUST_013804,identity_shift,0.455,marketplace,2026-01-02T07:00:00
SIG_000032,CUST_010195,identity_shift,0.719,wallet,2026-01-02T08:00:00
SIG_000033,CUST_011821,shared_signal_detected,0.568,bank,2026-01-02T09:00:00
SIG_000034,CUST_009069,shared_signal_detected,0.69,bank,2026-01-02T10:00:00
SIG_000035,CUST_015055,identity_shift,0.289,bank,2026-01-02T11:00:00
SIG_000036,CUST_017208,unknown_relationship,0.759,telco,2026-01-02T12:00:00
SIG_000037,CUST_005177,device_reset,0.447,bank,2026-01-02T13:00:00
SIG_000038,CUST_008175,shared_signal_detected,0.972,wallet,2026-01-02T14:00:00
SIG_000039,CUST_016201,unknown_relationship,0.43,wallet,2026-01-02T15:00:00
SIG_000040,CUST_006181,new_channel,0.406,marketplace,2026-01-02T16:00:00
SIG_000041,CUST_000817,identity_shift,0.61,telco,2026-01-02T17:00:00
SIG_000042,CUST_002790,shared_signal_detected,0.864,wallet,2026-01-02T18:00:00
SIG_000043,CUST_000238,shared_signal_detected,0.888,marketplace,2026-01-02T19:00:00
SIG_000044,CUST_016278,unknown_relationship,0.833,wallet,2026-01-02T20:00:00
SIG_000045,CUST_002380,new_channel,0.348,marketplace,2026-01-02T21:00:00
SIG_000046,CUST_015084,device_reset,0.843,marketplace,2026-01-02T22:00:00
SIG_000047,CUST_016098,identity_shift,0.932,wallet,2026-01-02T23:00:00
SIG_000048,CUST_007105,device_reset,0.908,bank,2026-01-03T00:00:00
SIG_000049,CUST_017978,unknown_relationship,0.708,bank,2026-01-03T01:00:00
SIG_000050,CUST_003910,unknown_relationship,0.624,bank,2026-01-03T02:00:00
SIG_000051,CUST_002681,device_reset,0.849,telco,2026-01-03T03:00:00
SIG_000052,CUST_013232,new_channel,0.526,marketplace,2026-01-03T04:00:00
SIG_000053,CUST_001050,identity_shift,0.73,telco,2026-01-03T05:00:00
SIG_000054,CUST_006729,identity_shift,0.723,marketplace,2026-01-03T06:00:00
SIG_000055,CUST_009401,unknown_relationship,0.776,wallet,2026-01-03T07:00:00
SIG_000056,CUST_019037,new_channel,0.368,telco,2026-01-03T08:00:00
SIG_000057,CUST_013466,sim_swap_hint,0.594,wallet,2026-01-03T09:00:00
SIG_000058,CUST_009918,identity_shift,0.559,bank,2026-01-03T10:00:00
SIG_000059,CUST_016282,identity_shift,0.524,bank,2026-01-03T11:00:00
SIG_000060,CUST_002522,sim_swap_hint,0.647,marketplace,2026-01-03T12:00:00
SIG_000061,CUST_018580,device_reset,0.534,bank,2026-01-03T13:00:00
SIG_000062,CUST_013900,unknown_relationship,0.484,marketplace,2026-01-03T14:00:00
SIG_000063,CUST_015991,new_channel,0.327,wallet,2026-01-03T15:00:00
SIG_000064,CUST_015766,sim_swap_hint,0.51,wallet,2026-01-03T16:00:00
SIG_000065,CUST_008786,sim_swap_hint,0.711,bank,2026-01-03T17:00:00
SIG_000066,CUST_002835,identity_shift,0.394,bank,2026-01-03T18:00:00
