signal_id,entity_id,signal_type,severity,source,timestamp
SIG_000000,CUST_004005,unknown_relationship,0.881,marketplace,2026-01-01T00:00:00
SIG_000001,CUST_003565,identity_shift,0.356,wallet,2026-01-01T01:00:00
SIG_000002,CUST_003789,identity_shift,0.955,telco,2026-01-01T02:00:00
SIG_000003,CUST_003320,shared_signal_detected,0.265,wallet,2026-01-01T03:00:00
SIG_000004,CUST_002496,shared_signal_detected,0.958,telco,2026-01-01T04:00:00
SIG_000005,CUST_000906,shared_signal_detected,0.625,marketplace,2026-01-01T05:00:00
SIG_000006,CUST_000523,identity_shift,0.842,telco,2026-01-01T06:00:00
SIG_000007,CUST_002736,new_channel,0.758,wallet,2026-01-01T07:00:00
SIG_000008,CUST_003630,identity_shift,0.721,telco,2026-01-01T08:00:00
SIG_000009,CUST_001777,unknown_relationship,0.659,marketplace,2026-01-01T09:00:00
SIG_000010,CUST_003110,identity_shift,0.596,wallet,2026-01-01T10:00:00
SIG_000011,CUST_000260,shared_signal_detected,0.681,bank,2026-01-01T11:00:00
SIG_000012,CUST_004770,shared_signal_detected,0.426,telco,2026-01-01T12:00:00
SIG_000013,CUST_004799,unknown_relationship,0.875,wallet,2026-01-01T13:00:00
SIG_000014,CUST_004487,new_channel,0.932,marketplace,2026-01-01T14:00:00
SIG_000015,CUST_001061,device_reset,0.978,telco,2026-01-01T15:00:00
SIG_000016,CUST_001290,unknown_relationship,0.801,bank,2026-01-01T16:00:00
SIG_000017,CUST_002970,new_channel,0.363,wallet,2026-01-01T17:00:00
SIG_000018,CUST_000957,identity_shift,0.4,telco,2026-01-01T18:00:00
SIG_000019,CUST_000574,new_channel,0.777,bank,2026-01-01T19:00:00
SIG_000020,CUST_002244,unknown_relationship,0.636,marketplace,2026-01-01T20:00:00
SIG_000021,CUST_004985,identity_shift,0.917,marketplace,2026-01-01T21:00:00
SIG_000022,CUST_004626,device_reset,0.439,wallet,2026-01-01T22:00:00
SIG_000023,CUST_002071,identity_shift,0.788,bank,2026-01-01T23:00:00
SIG_000024,CUST_001842,unknown_relationship,0.28,bank,2026-01-02T00:00:00
SIG_000025,CUST_001682,shared_signal_detected,0.833,marketplace,2026-01-02T01:00:00
SIG_000026,CUST_000051,unknown_relationship,0.766,telco,2026-01-02T02:00:00
