signal_id,entity_id,signal_type,severity,source,timestamp
SIG_000000,CUST_000028,sim_swap_hint,0.949,wallet,2026-01-01T00:00:00
SIG_000001,CUST_000296,shared_signal_detected,0.745,wallet,2026-01-01T01:00:00
SIG_000002,CUST_000339,device_reset,0.925,bank,2026-01-01T02:00:00
SIG_000003,CUST_000783,new_channel,0.824,bank,2026-01-01T03:00:00
SIG_000004,CUST_000480,sim_swap_hint,0.696,telco,2026-01-01T04:00:00
SIG_000005,CUST_000236,device_reset,0.595,wallet,2026-01-01T05:00:00
SIG_000006,CUST_000136,sim_swap_hint,0.836,bank,2026-01-01T06:00:00
SIG_000007,EXT_0003,new_channel,0.932,wallet,2026-01-01T07:00:00
SIG_000008,CUST_000764,unknown_relationship,0.723,wallet,2026-01-01T08:00:00
SIG_000009,CUST_000223,identity_shift,0.54,bank,2026-01-01T09:00:00
SIG_000010,CUST_000750,identity_shift,0.897,telco,2026-01-01T10:00:00
SIG_000011,CUST_000700,device_reset,0.938,telco,2026-01-01T11:00:00
SIG_000012,CUST_000021,device_reset,0.701,wallet,2026-01-01T12:00:00
SIG_000013,CUST_000298,identity_shift,0.706,bank,2026-01-01T13:00:00
SIG_000014,CUST_000721,identity_shift,0.485,wallet,2026-01-01T14:00:00
SIG_000015,CUST_000344,identity_shift,0.53,marketplace,2026-01-01T15:00:00
SIG_000016,CUST_000041,sim_swap_hint,0.557,marketplace,2026-01-01T16:00:00
SIG_000017,MULE_0004,sim_swap_hint,0.85,telco,2026-01-01T17:00:00
SIG_000018,CUST_000373,new_channel,0.286,marketplace,2026-01-01T18:00:00
SIG_000019,CUST_000010,unknown_relationship,0.837,telco,2026-01-01T19:00:00
SIG_000020,CUST_000396,shared_signal_detected,0.539,bank,2026-01-01T20:00:00
SIG_000021,CUST_000661,shared_signal_detected,0.692,bank,2026-01-01T21:00:00
SIG_000022,CUST_000121,device_reset,0.335,wallet,2026-01-01T22:00:00
SIG_000023,CUST_000784,shared_signal_detected,0.773,telco,2026-01-01T23:00:00
SIG_000024,CUST_000524,unknown_relationship,0.613,marketplace,2026-01-02T00:00:00
SIG_000025,CUST_000705,sim_swap_hint,0.504,bank,2026-01-02T01:00:00
SIG_000026,CUST_000221,unknown_relationship,0.445,telco,2026-01-02T02:00:00
SIG_000027,CUST_000127,device_reset,0.626,wallet,2026-01-02T03:00:00
SIG_000028,CUST_000442,device_reset,0.299,wallet,2026-01-02T04:00:00
SIG_000029,CUST_000354,unknown_relationship,0.539,telco,2026-01-02T05:00:00
SIG_000030,CUST_000064,device_reset,0.967,bank,2026-01-02T06:00:00
SIG_000031,CUST_000078,new_channel,0.968,bank,2026-01-02T07:00:00
SIG_000032,CUST_000175,new_channel,0.719,marketplace,2026-01-02T08:00:00
SIG_000033,CUST_000273,sim_swap_hint,0.585,wallet,2026-01-02T09:00:00
SIG_000034,CUST_000417,identity_shift,0.81,marketplace,2026-01-02T10:00:00
SIG_000035,CUST_000524,sim_swap_hint,0.696,telco,2026-01-02T11:00:00
SIG_000036,CUST_000470,sim_swap_hint,0.498,wallet,2026-01-02T12:00:00
SIG_000037,CUST_000391,device_reset,0.959,marketplace,2026-01-02T13:00:00
SIG_000038,CUST_000373,sim_swap_hint,0.458,marketplace,2026-01-02T14:00:00
