device_id,customer_id,device_hash,channel,risk_hint
DEV_00000,CUST_00087,dh_823239191164,call_center,new_channel
DEV_00001,CUST_00425,dh_446004714045,call_center,new_device
DEV_00002,CUST_00045,dh_502448606787,web,normal
DEV_00003,CUST_00124,dh_390548648376,web,device_reset
DEV_00004,CUST_00205,dh_513062332443,call_center,normal
DEV_00005,CUST_00202,dh_315132603392,web,new_device
DEV_00006,CUST_00113,dh_218910531262,web,normal
DEV_00007,CUST_00039,dh_714893858089,call_center,normal
DEV_00008,CUST_00271,dh_426843493540,call_center,normal
DEV_00009,CUST_00463,dh_378983197806,web,new_device
DEV_00010,CUST_00372,dh_41258113324,call_center,normal
DEV_00011,CUST_00120,dh_337566764965,mobile_app,normal
DEV_00012,CUST_00131,dh_131382380813,mobile_app,normal
DEV_00013,CUST_00308,dh_197280220389,mobile_app,normal
DEV_00014,CUST_00090,dh_769191534620,call_center,new_channel
DEV_00015,CUST_00237,dh_729005604027,call_center,device_reset
DEV_00016,CUST_00229,dh_396485997767,call_center,device_reset
DEV_00017,CUST_00329,dh_531122294379,call_center,device_reset
DEV_00018,CUST_00165,dh_81242655996,call_center,new_device
DEV_00019,CUST_00077,dh_514162950865,web,normal
DEV_00020,CUST_00240,dh_288408980947,web,new_device
DEV_00021,CUST_00407,dh_205100934915,web,device_reset
DEV_00022,CUST_00028,dh_672219097854,web,device_reset
DEV_00023,CUST_00037,dh_629724361315,web,new_channel
DEV_00024,CUST_00231,dh_666755017318,mobile_app,normal
DEV_00025,CUST_00188,dh_576003646523,web,normal
DEV_00026,CUST_00330,dh_422705625049,mobile_app,device_reset
DEV_00027,CUST_00304,dh_254391694109,call_center,new_channel
DEV_00028,CUST_00236,dh_57807009376,call_center,device_reset
DEV_00029,CUST_00488,dh_740686664933,call_center,normal
DEV_00030,CUST_00230,dh_510209790345,call_center,normal
DEV_00031,CUST_00164,dh_976642528601,call_center,new_channel
DEV_00032,CUST_00256,dh_587482794335,mobile_app,normal
DEV_00033,CUST_00230,dh_837557196878,mobile_app,new_device
DEV_00034,CUST_00365,dh_687440786931,mobile_app,device_reset
DEV_00035,CUST_00330,dh_359094201449,mobile_app,normal
DEV_00036,CUST_00126,dh_84866626147,call_center,new_channel
DEV_00037,CUST_00224,dh_472487967127,call_center,device_reset
DEV_00038,CUST_00312,dh_172774253184,mobile_app,new_device
DEV_00039,CUST_00190,dh_117170073389,web,new_channel
DEV_00040,CUST_00209,dh_76019749964,web,device_reset
DEV_00041,CUST_00026,dh_95200308475,call_center,new_device
DEV_00042,CUST_00033,dh_549140187839,web,normal
DEV_00043,CUST_00285,dh_478824731188,call_center,new_channel
DEV_00044,CUST_00145,dh_485406781042,web,device_reset
DEV_00045,CUST_00447,dh_245307578165,mobile_app,new_device
DEV_00046,CUST_00041,dh_56566699885,call_center,normal
DEV_00047,CUST_00469,dh_897526674084,web,new_device
DEV_00048,CUST_00495,dh_504530744197,call_center,new_channel
DEV_00049,CUST_00066,dh_500378392339,call_center,normal
DEV_00050,CUST_00158,dh_73587095549,call_center,new_channel
DEV_00051,CUST_00329,dh_828442602908,web,normal
DEV_00052,CUST_00343,dh_276730049154,call_center,device_reset
DEV_00053,CUST_00047,dh_448215070863,call_center,new_channel
DEV_00054,CUST_00260,dh_754706754815,web,normal
DEV_00055,CUST_00185,dh_942771328535,web,normal
DEV_00056,CUST_00486,dh_608362355622,mobile_app,new_device
DEV_00057,CUST_00485,dh_258191812217,web,normal
DEV_00058,CUST_00115,dh_333462136605,mobile_app,normal
DEV_00059,CUST_00039,dh_248877951888,web,normal
DEV_00060,CUST_00259,dh_176820898590,call_center,device_reset
DEV_00061,CUST_00019,dh_618318713469,call_center,new_device
DEV_00062,CUST_00448,dh_187116684697,call_center,normal
DEV_00063,CUST_00305,dh_41527417654,web,normal
DEV_00064,CUST_00083,dh_928433113156,mobile_app,device_reset
DEV_00065,CUST_00414,dh_728526480540,mobile_app,new_channel
DEV_00066,CUST_00022,dh_805821541500,web,new_device
DEV_00067,CUST_00346,dh_825246363049,call_center,normal
DEV_00068,CUST_00496,dh_218975779199,web,device_reset
DEV_00069,CUST_00145,dh_253624936640,call_center,new_channel
DEV_00070,CUST_00119,dh_743685975069,call_center,normal
DEV_00071,CUST_00158,dh_521082450658,web,normal
DEV_00072,CUST_00188,dh_398155312740,call_center,device_reset
DEV_00073,CUST_00225,dh_379063242182,web,new_device
DEV_00074,CUST_00398,dh_809675992734,web,device_reset
DEV_00075,CUST_00270,dh_107474544945,web,normal
DEV_00076,CUST_00418,dh_586217504948,mobile_app,device_reset
DEV_00077,CUST_00070,dh_207653340619,web,normal
DEV_00078,CUST_00328,dh_948995700460,web,new_device
DEV_00079,CUST_00283,dh_195417703497,mobile_app,device_reset
DEV_00080,CUST_00435,dh_22984390026,mobile_app,new_device
DEV_00081,CUST_00042,dh_176589684477,mobile_app,new_device
DEV_00082,CUST_00230,dh_629109269526,call_center,normal
DEV_00083,CUST_00425,dh_821649673560,web,normal
DEV_00084,CUST_00484,dh_998295704347,mobile_app,new_channel
DEV_00085,CUST_00452,dh_155070652953,web,normal
DEV_00086,CUST_00212,dh_735501788637,mobile_app,new_channel
DEV_00087,CUST_00257,dh_540004221409,web,normal
DEV_00088,CUST_00197,dh_648086111037,mobile_app,new_device
DEV_00089,CUST_00114,dh_375617014211,mobile_app,new_device
DEV_00090,CUST_00476,dh_364928212164,mobile_app,new_device
DEV_00091,CUST_00405,dh_739669691406,mobile_app,normal
DEV_00092,CUST_00019,dh_332068767450,web,new_channel
DEV_00093,CUST_00356,dh_128028325605,mobile_app,new_channel
DEV_00094,CUST_00229,dh_558289323625,call_center,normal
DEV_00095,CUST_00463,dh_881854590990,mobile_app,normal
DEV_00096,CUST_00131,dh_366617300651,mobile_app,normal
DEV_00097,CUST_00280,dh_215330880480,call_center,device_reset
DEV_00098,CUST_00270,dh_475174206150,web,normal
DEV_00099,CUST_00397,dh_206441535348,web,normal
DEV_00100,CUST_00154,dh_430722038499,mobile_app,normal
DEV_00101,CUST_00122,dh_821117883405,web,device_reset
DEV_00102,CUST_00234,dh_420380567322,mobile_app,normal
DEV_00103,CUST_00428,dh_427989642144,web,device_reset
DEV_00104,CUST_00274,dh_660078870977,mobile_app,device_reset
DEV_00105,CUST_00294,dh_844279155471,mobile_app,normal
DEV_00106,CUST_00149,dh_789899522793,web,normal
DEV_00107,CUST_00314,dh_351736038224,web,normal
DEV_00108,CUST_00292,dh_390998968973,web,normal
DEV_00109,CUST_00340,dh_748818318038,call_center,normal
DEV_00110,CUST_00268,dh_487635816964,web,normal
DEV_00111,CUST_00488,dh_431429928350,call_center,device_reset
DEV_00112,CUST_00259,dh_455953320530,call_center,device_reset
DEV_00113,CUST_00010,dh_460412215605,web,new_channel
DEV_00114,CUST_00022,dh_662520902978,call_center,new_channel
DEV_00115,CUST_00191,dh_343485088048,web,normal
DEV_00116,CUST_00182,dh_139455216583,mobile_app,new_device
DEV_00117,CUST_00123,dh_596357286698,call_center,normal
DEV_00118,CUST_00395,dh_67794891672,call_center,new_device
DEV_00119,CUST_00068,dh_160905842456,mobile_app,new_device
DEV_00120,CUST_00279,dh_834664332375,web,normal
DEV_00121,CUST_00425,dh_628810912614,call_center,new_channel
DEV_00122,CUST_00356,dh_470408181580,web,normal
DEV_00123,CUST_00415,dh_566171365655,mobile_app,normal
DEV_00124,CUST_00366,dh_754805722631,web,normal
DEV_00125,CUST_00150,dh_470192557584,mobile_app,normal
DEV_00126,CUST_00405,dh_357320340584,mobile_app,normal
DEV_00127,CUST_00161,dh_269212771169,web,device_reset
DEV_00128,CUST_00203,dh_668272142124,call_center,new_channel
DEV_00129,CUST_00129,dh_365243380021,mobile_app,normal
DEV_00130,CUST_00146,dh_35173284761,web,normal
DEV_00131,CUST_00443,dh_612529884823,call_center,new_device
DEV_00132,CUST_00139,dh_339393029581,mobile_app,new_device
DEV_00133,CUST_00223,dh_72993156499,web,new_channel
DEV_00134,CUST_00458,dh_178427922527,web,new_device
DEV_00135,CUST_00498,dh_798533980592,mobile_app,new_channel
DEV_00136,CUST_00354,dh_477026070549,web,new_device
DEV_00137,CUST_00473,dh_206586302638,call_center,new_device
DEV_00138,CUST_00410,dh_723996709489,mobile_app,new_channel
DEV_00139,CUST_00040,dh_434219721069,web,device_reset
DEV_00140,CUST_00421,dh_200691368293,mobile_app,device_reset
DEV_00141,CUST_00150,dh_520951354881,web,normal
DEV_00142,CUST_00040,dh_240719081682,web,new_device
DEV_00143,CUST_00156,dh_656965795430,web,device_reset
DEV_00144,CUST_00367,dh_654844830261,web,normal
DEV_00145,CUST_00353,dh_659523047808,web,new_device
DEV_00146,CUST_00228,dh_480135536720,mobile_app,new_device
DEV_00147,CUST_00314,dh_615516178014,web,new_device
DEV_00148,CUST_00327,dh_500898808738,mobile_app,normal
DEV_00149,CUST_00343,dh_722891327099,call_center,new_channel
DEV_00150,CUST_00186,dh_576330882384,call_center,normal
DEV_00151,CUST_00487,dh_281453867979,mobile_app,normal
DEV_00152,CUST_00434,dh_904093064941,call_center,new_channel
DEV_00153,CUST_00017,dh_85152751450,mobile_app,normal
DEV_00154,CUST_00120,dh_848422604620,call_center,new_device
DEV_00155,CUST_00185,dh_275224045524,web,device_reset
DEV_00156,CUST_00016,dh_760688713672,call_center,normal
DEV_00157,CUST_00347,dh_242469844942,web,new_device
DEV_00158,CUST_00190,dh_200895524522,web,normal
DEV_00159,CUST_00293,dh_304910979414,mobile_app,device_reset
DEV_00160,CUST_00187,dh_58712073435,web,new_device
DEV_00161,CUST_00332,dh_834856065849,web,normal
DEV_00162,CUST_00491,dh_252397973348,mobile_app,normal
DEV_00163,CUST_00376,dh_423181932692,mobile_app,new_channel
DEV_00164,CUST_00265,dh_410355596124,web,device_reset
DEV_00165,CUST_00060,dh_699735111011,web,new_device
DEV_00166,CUST_00360,dh_952400831166,web,normal
DEV_00167,CUST_00313,dh_306085775528,web,new_channel
DEV_00168,CUST_00102,dh_855555194825,mobile_app,normal
DEV_00169,CUST_00436,dh_953071198239,mobile_app,new_channel
DEV_00170,CUST_00088,dh_634116942182,call_center,new_channel
DEV_00171,CUST_00044,dh_645163934473,call_center,new_device
DEV_00172,CUST_00341,dh_439358723911,web,normal
DEV_00173,CUST_00281,dh_245441473420,call_center,new_device
DEV_00174,CUST_00456,dh_197401611639,web,normal
DEV_00175,CUST_00364,dh_429636803681,call_center,normal
DEV_00176,CUST_00406,dh_533708188536,web,device_reset
DEV_00177,CUST_00114,dh_983520010786,mobile_app,normal
DEV_00178,CUST_00405,dh_830031141262,mobile_app,normal
DEV_00179,CUST_00404,dh_445715925151,web,normal
DEV_00180,CUST_00184,dh_734989247510,call_center,device_reset
DEV_00181,CUST_00188,dh_703579327508,web,device_reset
DEV_00182,CUST_00066,dh_952172008955,call_center,normal
DEV_00183,CUST_00033,dh_230787127260,web,new_channel
DEV_00184,CUST_00367,dh_730541744342,call_center,new_channel
DEV_00185,CUST_00269,dh_653137996480,web,new_channel
DEV_00186,CUST_00421,dh_562920354679,call_center,normal
DEV_00187,CUST_00064,dh_24744955041,web,normal
DEV_00188,CUST_00230,dh_370775552296,web,device_reset
DEV_00189,CUST_00176,dh_705554434153,mobile_app,device_reset
DEV_00190,CUST_00327,dh_522552351351,call_center,normal
DEV_00191,CUST_00393,dh_172411813565,mobile_app,new_channel
DEV_00192,CUST_00257,dh_38043293607,mobile_app,normal
DEV_00193,CUST_00265,dh_308733908405,mobile_app,new_device
DEV_00194,CUST_00084,dh_678671656687,mobile_app,new_device
DEV_00195,CUST_00478,dh_949198010339,call_center,normal
DEV_00196,CUST_00177,dh_115097954355,call_center,new_device
DEV_00197,CUST_00433,dh_159111327185,mobile_app,new_device
DEV_00198,CUST_00100,dh_139017596614,call_center,device_reset
DEV_00199,CUST_00140,dh_255782244248,mobile_app,new_device
DEV_00200,CUST_00314,dh_557268567600,call_center,normal
DEV_00201,CUST_00257,dh_506082214499,call_center,normal
DEV_00202,CUST_00303,dh_135075976901,call_center,normal
DEV_00203,CUST_00087,dh_182720995365,call_center,device_reset
DEV_00204,CUST_00368,dh_651219078286,call_center,new_device
DEV_00205,CUST_00431,dh_19995940072,call_center,normal
DEV_00206,CUST_00422,dh_22870631754,mobile_app,normal
DEV_00207,CUST_00023,dh_271299686199,call_center,device_reset
DEV_00208,CUST_00135,dh_874252233443,call_center,normal
DEV_00209,CUST_00392,dh_667131447760,call_center,new_channel
DEV_00210,CUST_00316,dh_689115995952,call_center,normal
DEV_00211,CUST_00254,dh_906843479634,call_center,device_reset
DEV_00212,CUST_00148,dh_905654680470,call_center,new_device
DEV_00213,CUST_00247,dh_398963897898,mobile_app,new_channel
DEV_00214,CUST_00152,dh_324182404151,web,normal
DEV_00215,CUST_00352,dh_263152790151,mobile_app,normal
DEV_00216,CUST_00225,dh_123377662848,web,new_channel
DEV_00217,CUST_00237,dh_865612483457,mobile_app,new_device
DEV_00218,CUST_00310,dh_651590435825,mobile_app,new_device
DEV_00219,CUST_00441,dh_624295825130,call_center,new_device
DEV_00220,CUST_00375,dh_866381611040,web,new_channel
DEV_00221,CUST_00066,dh_21019848099,web,device_reset
DEV_00222,CUST_00287,dh_377858951695,mobile_app,new_device
DEV_00223,CUST_00123,dh_368075123417,web,normal
DEV_00224,CUST_00136,dh_185478237906,web,normal
DEV_00225,CUST_00072,dh_284400928771,mobile_app,normal
DEV_00226,CUST_00148,dh_587720224519,web,device_reset
DEV_00227,CUST_00214,dh_991847418659,mobile_app,normal
DEV_00228,CUST_00416,dh_646926664292,web,device_reset
DEV_00229,CUST_00369,dh_688105663202,web,normal
DEV_00230,CUST_00390,dh_66417853926,mobile_app,new_channel
DEV_00231,CUST_00263,dh_815127075437,web,new_channel
DEV_00232,CUST_00450,dh_598828659371,web,new_channel
DEV_00233,CUST_00011,dh_132123352662,mobile_app,new_channel
DEV_00234,CUST_00258,dh_724475831230,web,normal
DEV_00235,CUST_00110,dh_375926491543,call_center,new_device
DEV_00236,CUST_00024,dh_729922727053,mobile_app,new_device
DEV_00237,CUST_00253,dh_367762646766,call_center,new_channel
DEV_00238,CUST_00146,dh_788403280624,call_center,normal
DEV_00239,CUST_00433,dh_263186235539,mobile_app,new_channel
DEV_00240,CUST_00068,dh_270566281487,web,new_device
DEV_00241,CUST_00391,dh_201577034502,web,new_device
DEV_00242,CUST_00023,dh_741130159101,web,normal
DEV_00243,CUST_00291,dh_853105395184,call_center,normal
DEV_00244,CUST_00185,dh_933580465346,call_center,new_device
DEV_00245,CUST_00037,dh_59051735754,web,device_reset
DEV_00246,CUST_00230,dh_240488134188,call_center,new_device
DEV_00247,CUST_00422,dh_911317194982,call_center,device_reset
DEV_00248,CUST_00060,dh_760880874486,mobile_app,normal
DEV_00249,CUST_00201,dh_589139241567,web,new_device
DEV_00250,CUST_00285,dh_939196672227,web,normal
DEV_00251,CUST_00101,dh_342234868939,call_center,device_reset
DEV_00252,CUST_00205,dh_784291547931,call_center,normal
DEV_00253,CUST_00023,dh_494677944021,mobile_app,normal
DEV_00254,CUST_00365,dh_304851202751,web,new_channel
DEV_00255,CUST_00265,dh_359194948595,web,normal
DEV_00256,CUST_00310,dh_344707480062,call_center,normal
DEV_00257,CUST_00167,dh_183493471480,call_center,new_device
DEV_00258,CUST_00083,dh_823234678047,web,device_reset
DEV_00259,CUST_00378,dh_289152780119,web,device_reset
DEV_00260,CUST_00172,dh_241417473708,call_center,device_reset
DEV_00261,CUST_00272,dh_773495124546,web,device_reset
