event_id,source_id,target_id,event_type,context,amount,label,timestamp
EVT_000000,CUST_00077,CUST_00308,message,commerce,774,normal,2026-01-01T00:00:00
EVT_000001,CUST_00386,CUST_00292,p2p,general,1148,normal,2026-01-01T00:04:00
EVT_000002,CUST_00417,MULE_001,transfer,urgent_transfer,1734,mule_pattern,2026-01-01T00:08:00
EVT_000003,CUST_00062,CUST_00145,message,commerce,1199,normal,2026-01-01T00:12:00
EVT_000004,CUST_00050,CUST_00171,transfer,general,1989,normal,2026-01-01T00:16:00
EVT_000005,CUST_00013,CUST_00072,p2p,general,14,normal,2026-01-01T00:20:00
EVT_000006,CUST_00141,CUST_00082,message,family,816,normal,2026-01-01T00:24:00
EVT_000007,CUST_00167,CUST_00388,p2p,commerce,2321,normal,2026-01-01T00:28:00
EVT_000008,CUST_00221,CUST_00174,transfer,commerce,2256,normal,2026-01-01T00:32:00
EVT_000009,CUST_00282,CUST_00366,p2p,commerce,636,normal,2026-01-01T00:36:00
EVT_000010,CUST_00326,MULE_002,transfer,urgent_transfer,570,mule_pattern,2026-01-01T00:40:00
EVT_000011,CUST_00386,CUST_00446,message,general,428,normal,2026-01-01T00:44:00
EVT_000012,BAD_002,CUST_00143,marketplace_chat,fake_receipt,924,scam_ring,2026-01-01T00:48:00
EVT_000013,CUST_00388,CUST_00047,p2p,family,1901,normal,2026-01-01T00:52:00
EVT_000014,CUST_00042,CUST_00305,transfer,salary,530,normal,2026-01-01T00:56:00
EVT_000015,CUST_00215,CUST_00165,message,salary,1928,normal,2026-01-01T01:00:00
EVT_000016,CUST_00076,CUST_00087,p2p,general,777,normal,2026-01-01T01:04:00
EVT_000017,CUST_00077,CUST_00317,p2p,salary,2376,normal,2026-01-01T01:08:00
EVT_000018,CUST_00045,CUST_00021,message,salary,717,normal,2026-01-01T01:12:00
EVT_000019,CUST_00180,CUST_00161,p2p,general,602,normal,2026-01-01T01:16:00
EVT_000020,CUST_00300,CUST_00089,message,family,1857,normal,2026-01-01T01:20:00
EVT_000021,CUST_00091,CUST_00102,p2p,commerce,327,normal,2026-01-01T01:24:00
EVT_000022,CUST_00367,CUST_00082,message,commerce,1627,normal,2026-01-01T01:28:00
EVT_000023,CUST_00361,CUST_00200,p2p,family,335,normal,2026-01-01T01:32:00
EVT_000024,CUST_00034,CUST_00133,p2p,general,1401,normal,2026-01-01T01:36:00
EVT_000025,CUST_00123,CUST_00058,transfer,commerce,799,normal,2026-01-01T01:40:00
EVT_000026,CUST_00274,CUST_00235,transfer,salary,215,normal,2026-01-01T01:44:00
EVT_000027,CUST_00043,CUST_00096,message,general,2386,normal,2026-01-01T01:48:00
EVT_000028,BAD_005,CUST_00235,marketplace_chat,fake_receipt,1372,scam_ring,2026-01-01T01:52:00
EVT_000029,CUST_00423,CUST_00010,transfer,family,365,normal,2026-01-01T01:56:00
EVT_000030,BAD_005,CUST_00135,payment_release,fake_receipt,316,scam_ring,2026-01-01T02:00:00
EVT_000031,CUST_00382,CUST_00014,transfer,commerce,640,normal,2026-01-01T02:04:00
EVT_000032,CUST_00304,CUST_00322,p2p,commerce,461,normal,2026-01-01T02:08:00
EVT_000033,CUST_00076,CUST_00384,message,commerce,1960,normal,2026-01-01T02:12:00
EVT_000034,BAD_002,CUST_00109,payment_release,fake_receipt,2124,scam_ring,2026-01-01T02:16:00
EVT_000035,CUST_00014,CUST_00124,p2p,family,67,normal,2026-01-01T02:20:00
EVT_000036,CUST_00155,CUST_00001,p2p,commerce,2331,normal,2026-01-01T02:24:00
EVT_000037,CUST_00006,CUST_00143,message,salary,850,normal,2026-01-01T02:28:00
EVT_000038,CUST_00247,CUST_00331,transfer,family,1293,normal,2026-01-01T02:32:00
EVT_000039,CUST_00304,CUST_00168,p2p,general,966,normal,2026-01-01T02:36:00
EVT_000040,CUST_00159,CUST_00364,message,general,878,normal,2026-01-01T02:40:00
EVT_000041,CUST_00422,EXT_001,p2p,salary,1289,normal,2026-01-01T02:44:00
EVT_000042,CUST_00394,CUST_00228,p2p,commerce,24,normal,2026-01-01T02:48:00
EVT_000043,CUST_00241,CUST_00208,p2p,salary,574,normal,2026-01-01T02:52:00
EVT_000044,CUST_00126,CUST_00435,message,family,278,normal,2026-01-01T02:56:00
EVT_000045,CUST_00143,CUST_00352,message,commerce,624,normal,2026-01-01T03:00:00
EVT_000046,CUST_00019,CUST_00232,p2p,general,2352,normal,2026-01-01T03:04:00
EVT_000047,BAD_006,CUST_00227,payment_release,fake_receipt,2348,scam_ring,2026-01-01T03:08:00
EVT_000048,CUST_00206,CUST_00071,p2p,family,2149,normal,2026-01-01T03:12:00
EVT_000049,CUST_00318,CUST_00338,message,family,314,normal,2026-01-01T03:16:00
EVT_000050,CUST_00377,CUST_00107,message,family,92,normal,2026-01-01T03:20:00
EVT_000051,CUST_00374,MULE_004,transfer,social_engineering,1208,social_chain,2026-01-01T03:24:00
EVT_000052,CUST_00101,CUST_00221,p2p,salary,790,normal,2026-01-01T03:28:00
EVT_000053,CUST_00030,CUST_00399,p2p,family,1949,normal,2026-01-01T03:32:00
EVT_000054,CUST_00215,CUST_00219,p2p,commerce,359,normal,2026-01-01T03:36:00
EVT_000055,CUST_00312,CUST_00211,p2p,family,145,normal,2026-01-01T03:40:00
EVT_000056,BAD_002,CUST_00143,marketplace_chat,fake_receipt,1382,scam_ring,2026-01-01T03:44:00
EVT_000057,CUST_00438,CUST_00294,p2p,salary,1399,normal,2026-01-01T03:48:00
EVT_000058,CUST_00191,CUST_00159,message,salary,1138,normal,2026-01-01T03:52:00
EVT_000059,CUST_00032,CUST_00181,message,family,1040,normal,2026-01-01T03:56:00
EVT_000060,CUST_00446,CUST_00337,transfer,family,1354,normal,2026-01-01T04:00:00
EVT_000061,CUST_00167,CUST_00114,transfer,general,2092,normal,2026-01-01T04:04:00
EVT_000062,CUST_00108,CUST_00329,message,salary,126,normal,2026-01-01T04:08:00
EVT_000063,CUST_00271,CUST_00253,transfer,general,2379,normal,2026-01-01T04:12:00
EVT_000064,CUST_00329,CUST_00041,p2p,family,2299,normal,2026-01-01T04:16:00
EVT_000065,CUST_00375,CUST_00329,p2p,family,981,normal,2026-01-01T04:20:00
EVT_000066,CUST_00161,CUST_00204,p2p,family,2101,normal,2026-01-01T04:24:00
EVT_000067,CUST_00414,CUST_00439,message,commerce,1282,normal,2026-01-01T04:28:00
EVT_000068,CUST_00440,MULE_001,transfer,urgent_transfer,946,mule_pattern,2026-01-01T04:32:00
EVT_000069,CUST_00198,CUST_00283,message,family,2491,normal,2026-01-01T04:36:00
EVT_000070,CUST_00340,CUST_00252,p2p,family,570,normal,2026-01-01T04:40:00
EVT_000071,CUST_00317,CUST_00330,transfer,commerce,391,normal,2026-01-01T04:44:00
EVT_000072,CUST_00438,EXT_001,transfer,general,1575,normal,2026-01-01T04:48:00
EVT_000073,CUST_00311,CUST_00271,p2p,commerce,491,normal,2026-01-01T04:52:00
EVT_000074,CUST_00008,CUST_00367,message,general,873,normal,2026-01-01T04:56:00
EVT_000075,CUST_00203,CUST_00089,message,family,465,normal,2026-01-01T05:00:00
EVT_000076,CUST_00220,CUST_00148,transfer,commerce,2269,normal,2026-01-01T05:04:00
EVT_000077,CUST_00125,CUST_00074,message,general,1309,normal,2026-01-01T05:08:00
EVT_000078,CUST_00027,MULE_000,transfer,urgent_transfer,2022,mule_pattern,2026-01-01T05:12:00
EVT_000079,CUST_00068,CUST_00334,p2p,salary,2144,normal,2026-01-01T05:16:00
EVT_000080,CUST_00384,CUST_00360,message,family,346,normal,2026-01-01T05:20:00
EVT_000081,CUST_00313,CUST_00119,transfer,commerce,45,normal,2026-01-01T05:24:00
EVT_000082,CUST_00439,CUST_00208,p2p,family,1375,normal,2026-01-01T05:28:00
EVT_000083,CUST_00288,CUST_00130,message,general,222,normal,2026-01-01T05:32:00
EVT_000084,CUST_00275,CUST_00083,p2p,commerce,1827,normal,2026-01-01T05:36:00
