signal_id,entity_id,signal_type,severity,source,timestamp
SIG_00000,CUST_00304,sim_swap_hint,0.927,wallet,2026-01-01T00:00:00
SIG_00001,CUST_00187,shared_signal_detected,0.821,wallet,2026-01-01T01:00:00
SIG_00002,CUST_00098,identity_shift,0.634,telco,2026-01-01T02:00:00
SIG_00003,EXT_015,device_reset,0.77,wallet,2026-01-01T03:00:00
SIG_00004,CUST_00362,shared_signal_detected,0.591,wallet,2026-01-01T04:00:00
SIG_00005,CUST_00472,new_channel,0.916,bank,2026-01-01T05:00:00
SIG_00006,CUST_00431,new_channel,0.802,telco,2026-01-01T06:00:00
SIG_00007,CUST_00248,sim_swap_hint,0.624,marketplace,2026-01-01T07:00:00
SIG_00008,CUST_00300,new_channel,0.801,wallet,2026-01-01T08:00:00
SIG_00009,CUST_00128,shared_signal_detected,0.739,wallet,2026-01-01T09:00:00
SIG_00010,BAD_006,shared_signal_detected,0.863,bank,2026-01-01T10:00:00
SIG_00011,CUST_00056,unknown_relationship,0.856,bank,2026-01-01T11:00:00
SIG_00012,CUST_00341,sim_swap_hint,0.321,telco,2026-01-01T12:00:00
SIG_00013,CUST_00493,device_reset,0.492,bank,2026-01-01T13:00:00
SIG_00014,CUST_00124,device_reset,0.677,bank,2026-01-01T14:00:00
SIG_00015,CUST_00209,sim_swap_hint,0.355,wallet,2026-01-01T15:00:00
SIG_00016,CUST_00139,identity_shift,0.903,marketplace,2026-01-01T16:00:00
SIG_00017,CUST_00308,device_reset,0.477,bank,2026-01-01T17:00:00
SIG_00018,CUST_00496,sim_swap_hint,0.752,bank,2026-01-01T18:00:00
SIG_00019,CUST_00068,new_channel,0.362,bank,2026-01-01T19:00:00
SIG_00020,CUST_00099,identity_shift,0.399,wallet,2026-01-01T20:00:00
SIG_00021,CUST_00025,sim_swap_hint,0.574,bank,2026-01-01T21:00:00
SIG_00022,CUST_00124,unknown_relationship,0.545,marketplace,2026-01-01T22:00:00
SIG_00023,CUST_00240,sim_swap_hint,0.44,wallet,2026-01-01T23:00:00
SIG_00024,CUST_00126,shared_signal_detected,0.357,bank,2026-01-02T00:00:00
SIG_00025,CUST_00189,identity_shift,0.848,marketplace,2026-01-02T01:00:00
SIG_00026,CUST_00174,sim_swap_hint,0.791,marketplace,2026-01-02T02:00:00
SIG_00027,CUST_00487,shared_signal_detected,0.462,bank,2026-01-02T03:00:00
SIG_00028,EXT_004,unknown_relationship,0.737,wallet,2026-01-02T04:00:00
SIG_00029,CUST_00395,device_reset,0.834,wallet,2026-01-02T05:00:00
SIG_00030,CUST_00426,shared_signal_detected,0.358,telco,2026-01-02T06:00:00
SIG_00031,CUST_00468,new_channel,0.662,bank,2026-01-02T07:00:00
SIG_00032,CUST_00310,new_channel,0.721,wallet,2026-01-02T08:00:00
SIG_00033,CUST_00043,unknown_relationship,0.953,wallet,2026-01-02T09:00:00
SIG_00034,CUST_00469,unknown_relationship,0.257,marketplace,2026-01-02T10:00:00
SIG_00035,CUST_00366,sim_swap_hint,0.875,marketplace,2026-01-02T11:00:00
SIG_00036,CUST_00357,device_reset,0.633,bank,2026-01-02T12:00:00
SIG_00037,CUST_00178,device_reset,0.361,telco,2026-01-02T13:00:00
SIG_00038,CUST_00470,device_reset,0.877,marketplace,2026-01-02T14:00:00
SIG_00039,CUST_00285,device_reset,0.471,wallet,2026-01-02T15:00:00
SIG_00040,CUST_00069,device_reset,0.603,wallet,2026-01-02T16:00:00
SIG_00041,CUST_00184,sim_swap_hint,0.767,telco,2026-01-02T17:00:00
SIG_00042,CUST_00132,device_reset,0.487,telco,2026-01-02T18:00:00
SIG_00043,CUST_00413,new_channel,0.283,marketplace,2026-01-02T19:00:00
