device_id,customer_id,device_hash,channel,risk_hint
DEV_00000,CUST_00355,dh_940073073424,web,new_channel
DEV_00001,CUST_00485,dh_769846324681,mobile_app,normal
DEV_00002,CUST_00576,dh_658622666347,call_center,new_channel
DEV_00003,CUST_00158,dh_721740597652,call_center,normal
DEV_00004,CUST_00124,dh_252148263702,call_center,new_channel
DEV_00005,CUST_00511,dh_901481418556,call_center,new_device
DEV_00006,CUST_00287,dh_155384701478,web,new_device
DEV_00007,CUST_00188,dh_410794125995,call_center,new_channel
DEV_00008,CUST_00568,dh_609202533174,web,normal
DEV_00009,CUST_00490,dh_746415327851,web,new_device
DEV_00010,CUST_00135,dh_761796895046,mobile_app,new_device
DEV_00011,CUST_00102,dh_332419111657,web,normal
DEV_00012,CUST_00332,dh_688942334858,mobile_app,normal
DEV_00013,CUST_00186,dh_321617507660,call_center,normal
DEV_00014,CUST_00222,dh_767228628093,call_center,normal
DEV_00015,CUST_00444,dh_919844260034,web,normal
DEV_00016,CUST_00597,dh_644936105521,mobile_app,new_channel
DEV_00017,CUST_00364,dh_172770257891,web,new_channel
DEV_00018,CUST_00267,dh_393746509299,mobile_app,new_channel
DEV_00019,CUST_00179,dh_321472746201,mobile_app,new_device
DEV_00020,CUST_00579,dh_557371319074,call_center,new_channel
DEV_00021,CUST_00083,dh_163027880569,call_center,new_device
DEV_00022,CUST_00586,dh_780219672588,call_center,normal
DEV_00023,CUST_00225,dh_367357010397,mobile_app,new_channel
DEV_00024,CUST_00492,dh_833004398324,mobile_app,new_channel
DEV_00025,CUST_00460,dh_945978186183,call_center,normal
DEV_00026,CUST_00309,dh_998196998945,call_center,normal
DEV_00027,CUST_00595,dh_986277176673,call_center,new_channel
DEV_00028,CUST_00420,dh_300079791800,call_center,new_channel
DEV_00029,CUST_00041,dh_344207131250,web,normal
DEV_00030,CUST_00398,dh_69966768687,mobile_app,normal
DEV_00031,CUST_00565,dh_908565130118,call_center,normal
DEV_00032,CUST_00218,dh_73376544592,call_center,new_device
DEV_00033,CUST_00187,dh_319105320160,mobile_app,normal
DEV_00034,CUST_00464,dh_852744279,mobile_app,new_device
DEV_00035,CUST_00549,dh_9199663318,web,new_channel
DEV_00036,CUST_00125,dh_873091354514,web,normal
DEV_00037,CUST_00519,dh_134026977804,web,new_device
DEV_00038,CUST_00096,dh_471667561230,call_center,new_channel
DEV_00039,CUST_00062,dh_883260226265,mobile_app,normal
DEV_00040,CUST_00290,dh_930564000629,call_center,new_channel
DEV_00041,CUST_00502,dh_108507265682,mobile_app,new_device
