event_id,source_id,target_id,event_type,context,amount,label,timestamp
EVT_000000,CUST_00246,EXT_006,transfer,commerce,391,normal,2026-01-01T00:00:00
EVT_000001,CUST_00556,CUST_00378,message,salary,1087,normal,2026-01-01T00:04:00
EVT_000002,CUST_00003,CUST_00139,p2p,general,2400,normal,2026-01-01T00:08:00
EVT_000003,CUST_00037,CUST_00284,p2p,commerce,1111,normal,2026-01-01T00:12:00
EVT_000004,CUST_00516,CUST_00133,transfer,family,1915,normal,2026-01-01T00:16:00
EVT_000005,CUST_00492,CUST_00357,transfer,salary,66,normal,2026-01-01T00:20:00
EVT_000006,CUST_00010,CUST_00376,message,family,1278,normal,2026-01-01T00:24:00
EVT_000007,CUST_00471,CUST_00289,message,general,2026,normal,2026-01-01T00:28:00
EVT_000008,CUST_00196,EXT_013,message,general,2218,normal,2026-01-01T00:32:00
EVT_000009,CUST_00171,CUST_00268,p2p,family,1080,normal,2026-01-01T00:36:00
EVT_000010,CUST_00560,CUST_00149,message,family,1889,normal,2026-01-01T00:40:00
EVT_000011,CUST_00472,CUST_00448,message,general,1812,normal,2026-01-01T00:44:00
EVT_000012,CUST_00446,CUST_00562,transfer,commerce,2104,normal,2026-01-01T00:48:00
EVT_000013,CUST_00433,CUST_00059,transfer,commerce,964,normal,2026-01-01T00:52:00
EVT_000014,CUST_00168,CUST_00512,message,family,1544,normal,2026-01-01T00:56:00
EVT_000015,CUST_00214,CUST_00585,transfer,commerce,2066,normal,2026-01-01T01:00:00
EVT_000016,CUST_00056,MULE_004,transfer,urgent_transfer,226,mule_pattern,2026-01-01T01:04:00
EVT_000017,CUST_00189,CUST_00456,transfer,general,1684,normal,2026-01-01T01:08:00
EVT_000018,CUST_00215,CUST_00482,message,general,919,normal,2026-01-01T01:12:00
EVT_000019,CUST_00255,CUST_00523,message,general,425,normal,2026-01-01T01:16:00
EVT_000020,CUST_00177,CUST_00425,message,salary,755,normal,2026-01-01T01:20:00
EVT_000021,CUST_00261,CUST_00525,transfer,family,660,normal,2026-01-01T01:24:00
EVT_000022,CUST_00211,CUST_00330,p2p,general,539,normal,2026-01-01T01:28:00
EVT_000023,CUST_00462,CUST_00520,p2p,family,1906,normal,2026-01-01T01:32:00
EVT_000024,CUST_00019,CUST_00056,message,family,1784,normal,2026-01-01T01:36:00
EVT_000025,CUST_00481,CUST_00213,transfer,commerce,1286,normal,2026-01-01T01:40:00
EVT_000026,CUST_00259,CUST_00279,message,general,1213,normal,2026-01-01T01:44:00
EVT_000027,CUST_00347,CUST_00445,message,family,811,normal,2026-01-01T01:48:00
EVT_000028,CUST_00035,MULE_000,transfer,urgent_transfer,790,mule_pattern,2026-01-01T01:52:00
EVT_000029,CUST_00102,CUST_00071,transfer,general,1374,normal,2026-01-01T01:56:00
EVT_000030,CUST_00589,CUST_00399,transfer,general,1451,normal,2026-01-01T02:00:00
EVT_000031,CUST_00564,MULE_000,transfer,social_engineering,572,social_chain,2026-01-01T02:04:00
EVT_000032,CUST_00196,CUST_00113,message,general,1960,normal,2026-01-01T02:08:00
EVT_000033,CUST_00598,CUST_00136,message,general,1193,normal,2026-01-01T02:12:00
EVT_000034,CUST_00450,CUST_00467,transfer,family,977,normal,2026-01-01T02:16:00
EVT_000035,CUST_00398,MULE_003,transfer,urgent_transfer,2083,mule_pattern,2026-01-01T02:20:00
EVT_000036,CUST_00005,CUST_00353,transfer,general,2268,normal,2026-01-01T02:24:00
EVT_000037,CUST_00168,CUST_00047,message,commerce,975,normal,2026-01-01T02:28:00
EVT_000038,CUST_00563,CUST_00041,message,salary,499,normal,2026-01-01T02:32:00
EVT_000039,CUST_00339,CUST_00109,transfer,salary,1489,normal,2026-01-01T02:36:00
EVT_000040,CUST_00544,CUST_00153,transfer,general,2186,normal,2026-01-01T02:40:00
EVT_000041,CUST_00444,CUST_00024,message,commerce,1420,normal,2026-01-01T02:44:00
EVT_000042,CUST_00257,CUST_00533,transfer,general,938,normal,2026-01-01T02:48:00
EVT_000043,CUST_00540,MULE_000,transfer,urgent_transfer,488,mule_pattern,2026-01-01T02:52:00
EVT_000044,CUST_00238,CUST_00297,transfer,family,2120,normal,2026-01-01T02:56:00
EVT_000045,CUST_00153,CUST_00290,message,family,1345,normal,2026-01-01T03:00:00
EVT_000046,CUST_00216,CUST_00307,p2p,salary,1547,normal,2026-01-01T03:04:00
EVT_000047,CUST_00280,CUST_00427,transfer,family,2395,normal,2026-01-01T03:08:00
EVT_000048,CUST_00168,CUST_00159,transfer,commerce,2184,normal,2026-01-01T03:12:00
EVT_000049,CUST_00325,CUST_00486,transfer,family,133,normal,2026-01-01T03:16:00
EVT_000050,CUST_00223,CUST_00001,message,salary,704,normal,2026-01-01T03:20:00
EVT_000051,CUST_00155,CUST_00347,message,commerce,492,normal,2026-01-01T03:24:00
EVT_000052,CUST_00314,CUST_00419,p2p,salary,168,normal,2026-01-01T03:28:00
EVT_000053,CUST_00406,CUST_00008,transfer,family,203,normal,2026-01-01T03:32:00
EVT_000054,CUST_00335,CUST_00364,message,commerce,1788,normal,2026-01-01T03:36:00
EVT_000055,CUST_00449,CUST_00377,message,commerce,1381,normal,2026-01-01T03:40:00
EVT_000056,CUST_00472,CUST_00089,transfer,commerce,51,normal,2026-01-01T03:44:00
EVT_000057,CUST_00310,CUST_00591,p2p,commerce,1567,normal,2026-01-01T03:48:00
EVT_000058,CUST_00590,CUST_00396,message,family,1474,normal,2026-01-01T03:52:00
EVT_000059,CUST_00131,CUST_00158,p2p,general,2245,normal,2026-01-01T03:56:00
EVT_000060,CUST_00583,CUST_00254,p2p,general,730,normal,2026-01-01T04:00:00
EVT_000061,CUST_00305,CUST_00109,p2p,commerce,2409,normal,2026-01-01T04:04:00
EVT_000062,CUST_00470,CUST_00317,transfer,commerce,1956,normal,2026-01-01T04:08:00
EVT_000063,CUST_00204,CUST_00225,p2p,salary,1958,normal,2026-01-01T04:12:00
EVT_000064,CUST_00569,CUST_00422,message,commerce,1776,normal,2026-01-01T04:16:00
EVT_000065,CUST_00052,CUST_00210,message,family,2208,normal,2026-01-01T04:20:00
EVT_000066,CUST_00511,CUST_00366,transfer,family,1649,normal,2026-01-01T04:24:00
EVT_000067,CUST_00454,CUST_00141,message,commerce,2165,normal,2026-01-01T04:28:00
EVT_000068,CUST_00433,CUST_00517,transfer,general,1366,normal,2026-01-01T04:32:00
EVT_000069,CUST_00120,CUST_00026,message,general,100,normal,2026-01-01T04:36:00
EVT_000070,CUST_00381,CUST_00504,message,commerce,240,normal,2026-01-01T04:40:00
EVT_000071,CUST_00185,CUST_00326,transfer,general,1502,normal,2026-01-01T04:44:00
EVT_000072,CUST_00275,EXT_014,p2p,salary,1517,normal,2026-01-01T04:48:00
EVT_000073,CUST_00032,CUST_00369,message,commerce,544,normal,2026-01-01T04:52:00
EVT_000074,CUST_00399,CUST_00534,p2p,commerce,389,normal,2026-01-01T04:56:00
EVT_000075,CUST_00526,CUST_00016,message,family,1543,normal,2026-01-01T05:00:00
EVT_000076,CUST_00386,CUST_00050,message,commerce,891,normal,2026-01-01T05:04:00
EVT_000077,CUST_00510,CUST_00445,transfer,salary,708,normal,2026-01-01T05:08:00
EVT_000078,CUST_00437,CUST_00453,p2p,salary,889,normal,2026-01-01T05:12:00
EVT_000079,CUST_00116,CUST_00135,transfer,commerce,201,normal,2026-01-01T05:16:00
EVT_000080,CUST_00517,CUST_00380,transfer,general,1109,normal,2026-01-01T05:20:00
EVT_000081,CUST_00569,CUST_00463,message,family,293,normal,2026-01-01T05:24:00
EVT_000082,CUST_00591,CUST_00493,p2p,family,2129,normal,2026-01-01T05:28:00
EVT_000083,CUST_00130,CUST_00274,p2p,family,498,normal,2026-01-01T05:32:00
EVT_000084,CUST_00562,CUST_00567,transfer,commerce,2099,normal,2026-01-01T05:36:00
EVT_000085,CUST_00136,CUST_00300,p2p,family,12,normal,2026-01-01T05:40:00
EVT_000086,CUST_00248,CUST_00255,message,family,123,normal,2026-01-01T05:44:00
EVT_000087,CUST_00321,CUST_00122,p2p,family,2103,normal,2026-01-01T05:48:00
EVT_000088,CUST_00030,CUST_00080,transfer,general,2491,normal,2026-01-01T05:52:00
EVT_000089,CUST_00013,CUST_00103,p2p,commerce,144,normal,2026-01-01T05:56:00
EVT_000090,CUST_00445,CUST_00528,message,family,1055,normal,2026-01-01T06:00:00
EVT_000091,CUST_00484,CUST_00448,transfer,commerce,2136,normal,2026-01-01T06:04:00
EVT_000092,CUST_00209,CUST_00382,transfer,salary,1176,normal,2026-01-01T06:08:00
EVT_000093,CUST_00368,CUST_00437,transfer,salary,888,normal,2026-01-01T06:12:00
EVT_000094,CUST_00067,CUST_00512,p2p,general,2122,normal,2026-01-01T06:16:00
EVT_000095,CUST_00215,CUST_00378,p2p,family,827,normal,2026-01-01T06:20:00
EVT_000096,CUST_00085,CUST_00061,message,family,1239,normal,2026-01-01T06:24:00
EVT_000097,CUST_00488,CUST_00209,p2p,general,2303,normal,2026-01-01T06:28:00
EVT_000098,CUST_00011,EXT_009,message,commerce,303,normal,2026-01-01T06:32:00
EVT_000099,CUST_00324,CUST_00222,message,family,500,normal,2026-01-01T06:36:00
EVT_000100,CUST_00527,CUST_00107,p2p,general,298,normal,2026-01-01T06:40:00
EVT_000101,CUST_00081,CUST_00148,transfer,salary,1642,normal,2026-01-01T06:44:00
EVT_000102,CUST_00267,CUST_00306,message,commerce,2036,normal,2026-01-01T06:48:00
EVT_000103,CUST_00116,MULE_003,transfer,urgent_transfer,436,mule_pattern,2026-01-01T06:52:00
EVT_000104,CUST_00581,CUST_00287,p2p,commerce,2479,normal,2026-01-01T06:56:00
EVT_000105,CUST_00317,CUST_00202,transfer,family,2249,normal,2026-01-01T07:00:00
EVT_000106,CUST_00444,CUST_00427,transfer,general,2277,normal,2026-01-01T07:04:00
EVT_000107,CUST_00449,CUST_00279,message,general,588,normal,2026-01-01T07:08:00
EVT_000108,CUST_00497,CUST_00191,transfer,commerce,238,normal,2026-01-01T07:12:00
EVT_000109,CUST_00599,CUST_00194,message,commerce,2391,normal,2026-01-01T07:16:00
EVT_000110,CUST_00495,CUST_00507,p2p,general,950,normal,2026-01-01T07:20:00
EVT_000111,CUST_00329,CUST_00028,p2p,commerce,1711,normal,2026-01-01T07:24:00
EVT_000112,CUST_00098,CUST_00355,message,salary,916,normal,2026-01-01T07:28:00
EVT_000113,CUST_00397,CUST_00190,p2p,commerce,514,normal,2026-01-01T07:32:00
EVT_000114,CUST_00549,CUST_00353,p2p,commerce,80,normal,2026-01-01T07:36:00
EVT_000115,CUST_00389,CUST_00160,message,general,2232,normal,2026-01-01T07:40:00
EVT_000116,CUST_00234,CUST_00050,transfer,salary,423,normal,2026-01-01T07:44:00
EVT_000117,CUST_00383,CUST_00073,p2p,commerce,115,normal,2026-01-01T07:48:00
EVT_000118,CUST_00090,CUST_00455,transfer,general,348,normal,2026-01-01T07:52:00
EVT_000119,CUST_00023,CUST_00333,message,general,2318,normal,2026-01-01T07:56:00
EVT_000120,CUST_00302,CUST_00403,message,salary,821,normal,2026-01-01T08:00:00
EVT_000121,CUST_00014,CUST_00413,p2p,family,382,normal,2026-01-01T08:04:00
EVT_000122,CUST_00255,CUST_00154,transfer,family,1531,normal,2026-01-01T08:08:00
EVT_000123,CUST_00585,CUST_00572,p2p,salary,454,normal,2026-01-01T08:12:00
EVT_000124,CUST_00211,CUST_00376,transfer,commerce,1714,normal,2026-01-01T08:16:00
EVT_000125,CUST_00136,CUST_00271,transfer,salary,1579,normal,2026-01-01T08:20:00
EVT_000126,CUST_00553,CUST_00090,message,commerce,2255,normal,2026-01-01T08:24:00
EVT_000127,CUST_00274,CUST_00261,transfer,family,823,normal,2026-01-01T08:28:00
EVT_000128,CUST_00214,CUST_00231,transfer,salary,132,normal,2026-01-01T08:32:00
EVT_000129,CUST_00595,CUST_00474,p2p,general,1186,normal,2026-01-01T08:36:00
EVT_000130,CUST_00566,CUST_00323,p2p,salary,1484,normal,2026-01-01T08:40:00
EVT_000131,CUST_00308,CUST_00374,transfer,salary,756,normal,2026-01-01T08:44:00
EVT_000132,CUST_00013,CUST_00101,p2p,general,1295,normal,2026-01-01T08:48:00
EVT_000133,CUST_00219,CUST_00083,transfer,family,1654,normal,2026-01-01T08:52:00
EVT_000134,CUST_00555,CUST_00305,p2p,commerce,1697,normal,2026-01-01T08:56:00
EVT_000135,CUST_00147,CUST_00103,transfer,family,77,normal,2026-01-01T09:00:00
EVT_000136,CUST_00293,CUST_00345,p2p,commerce,646,normal,2026-01-01T09:04:00
EVT_000137,CUST_00097,CUST_00479,transfer,commerce,1961,normal,2026-01-01T09:08:00
EVT_000138,CUST_00301,CUST_00509,p2p,salary,2140,normal,2026-01-01T09:12:00
EVT_000139,CUST_00376,CUST_00586,message,salary,1117,normal,2026-01-01T09:16:00
EVT_000140,CUST_00109,CUST_00597,message,commerce,123,normal,2026-01-01T09:20:00
EVT_000141,CUST_00526,CUST_00586,transfer,family,2090,normal,2026-01-01T09:24:00
EVT_000142,CUST_00295,CUST_00207,transfer,family,2436,normal,2026-01-01T09:28:00
EVT_000143,CUST_00035,CUST_00248,transfer,commerce,494,normal,2026-01-01T09:32:00
EVT_000144,CUST_00359,CUST_00006,transfer,general,2154,normal,2026-01-01T09:36:00
EVT_000145,CUST_00144,CUST_00320,transfer,family,2005,normal,2026-01-01T09:40:00
EVT_000146,CUST_00032,MULE_003,transfer,urgent_transfer,172,mule_pattern,2026-01-01T09:44:00
EVT_000147,CUST_00555,CUST_00397,transfer,general,55,normal,2026-01-01T09:48:00
EVT_000148,CUST_00096,CUST_00345,p2p,general,832,normal,2026-01-01T09:52:00
EVT_000149,CUST_00410,CUST_00556,message,salary,1131,normal,2026-01-01T09:56:00
EVT_000150,CUST_00298,CUST_00505,transfer,general,377,normal,2026-01-01T10:00:00
EVT_000151,CUST_00277,CUST_00470,p2p,salary,1643,normal,2026-01-01T10:04:00
EVT_000152,CUST_00291,CUST_00424,message,family,1140,normal,2026-01-01T10:08:00
EVT_000153,CUST_00301,CUST_00136,p2p,salary,1394,normal,2026-01-01T10:12:00
EVT_000154,CUST_00274,CUST_00245,message,general,138,normal,2026-01-01T10:16:00
EVT_000155,CUST_00255,CUST_00200,message,salary,1508,normal,2026-01-01T10:20:00
EVT_000156,BAD_000,CUST_00182,marketplace_chat,fake_receipt,1290,scam_ring,2026-01-01T10:24:00
EVT_000157,CUST_00386,CUST_00481,p2p,family,544,normal,2026-01-01T10:28:00
EVT_000158,CUST_00440,CUST_00526,message,salary,25,normal,2026-01-01T10:32:00
