signal_id,entity_id,signal_type,severity,source,timestamp
SIG_00000,CUST_00198,identity_shift,0.779,marketplace,2026-01-01T00:00:00
SIG_00001,CUST_00173,identity_shift,0.893,telco,2026-01-01T01:00:00
SIG_00002,CUST_00137,new_channel,0.697,telco,2026-01-01T02:00:00
SIG_00003,CUST_00572,identity_shift,0.292,telco,2026-01-01T03:00:00
SIG_00004,CUST_00050,identity_shift,0.439,wallet,2026-01-01T04:00:00
SIG_00005,CUST_00202,identity_shift,0.554,wallet,2026-01-01T05:00:00
SIG_00006,CUST_00160,shared_signal_detected,0.63,marketplace,2026-01-01T06:00:00
SIG_00007,CUST_00487,unknown_relationship,0.535,telco,2026-01-01T07:00:00
SIG_00008,EXT_005,identity_shift,0.511,telco,2026-01-01T08:00:00
SIG_00009,CUST_00573,unknown_relationship,0.34,telco,2026-01-01T09:00:00
SIG_00010,CUST_00582,sim_swap_hint,0.799,telco,2026-01-01T10:00:00
SIG_00011,CUST_00034,new_channel,0.437,telco,2026-01-01T11:00:00
SIG_00012,CUST_00509,unknown_relationship,0.365,wallet,2026-01-01T12:00:00
SIG_00013,CUST_00485,unknown_relationship,0.702,telco,2026-01-01T13:00:00
SIG_00014,CUST_00200,unknown_relationship,0.48,telco,2026-01-01T14:00:00
SIG_00015,CUST_00494,identity_shift,0.295,telco,2026-01-01T15:00:00
SIG_00016,CUST_00527,unknown_relationship,0.882,wallet,2026-01-01T16:00:00
SIG_00017,CUST_00315,unknown_relationship,0.299,telco,2026-01-01T17:00:00
SIG_00018,CUST_00092,identity_shift,0.701,telco,2026-01-01T18:00:00
SIG_00019,CUST_00492,unknown_relationship,0.693,bank,2026-01-01T19:00:00
SIG_00020,CUST_00407,new_channel,0.877,marketplace,2026-01-01T20:00:00
SIG_00021,CUST_00395,sim_swap_hint,0.977,telco,2026-01-01T21:00:00
SIG_00022,CUST_00129,unknown_relationship,0.616,telco,2026-01-01T22:00:00
SIG_00023,CUST_00162,shared_signal_detected,0.611,telco,2026-01-01T23:00:00
SIG_00024,CUST_00403,sim_swap_hint,0.848,wallet,2026-01-02T00:00:00
SIG_00025,CUST_00400,unknown_relationship,0.333,telco,2026-01-02T01:00:00
SIG_00026,CUST_00050,unknown_relationship,0.408,telco,2026-01-02T02:00:00
SIG_00027,CUST_00100,unknown_relationship,0.87,wallet,2026-01-02T03:00:00
SIG_00028,CUST_00594,unknown_relationship,0.677,telco,2026-01-02T04:00:00
SIG_00029,CUST_00094,identity_shift,0.942,marketplace,2026-01-02T05:00:00
SIG_00030,CUST_00572,shared_signal_detected,0.584,bank,2026-01-02T06:00:00
SIG_00031,CUST_00183,new_channel,0.377,telco,2026-01-02T07:00:00
SIG_00032,CUST_00478,shared_signal_detected,0.512,wallet,2026-01-02T08:00:00
SIG_00033,CUST_00545,unknown_relationship,0.912,telco,2026-01-02T09:00:00
SIG_00034,CUST_00391,identity_shift,0.582,bank,2026-01-02T10:00:00
SIG_00035,CUST_00096,new_channel,0.887,bank,2026-01-02T11:00:00
SIG_00036,CUST_00538,new_channel,0.871,marketplace,2026-01-02T12:00:00
SIG_00037,CUST_00392,sim_swap_hint,0.35,telco,2026-01-02T13:00:00
SIG_00038,CUST_00304,identity_shift,0.468,wallet,2026-01-02T14:00:00
SIG_00039,CUST_00268,unknown_relationship,0.388,telco,2026-01-02T15:00:00
SIG_00040,CUST_00394,identity_shift,0.257,marketplace,2026-01-02T16:00:00
SIG_00041,CUST_00510,unknown_relationship,0.382,telco,2026-01-02T17:00:00
SIG_00042,CUST_00434,shared_signal_detected,0.708,wallet,2026-01-02T18:00:00
SIG_00043,CUST_00009,new_channel,0.738,wallet,2026-01-02T19:00:00
SIG_00044,CUST_00289,unknown_relationship,0.818,wallet,2026-01-02T20:00:00
SIG_00045,CUST_00042,unknown_relationship,0.845,wallet,2026-01-02T21:00:00
SIG_00046,CUST_00192,shared_signal_detected,0.77,telco,2026-01-02T22:00:00
SIG_00047,CUST_00164,sim_swap_hint,0.912,wallet,2026-01-02T23:00:00
SIG_00048,CUST_00025,sim_swap_hint,0.728,wallet,2026-01-03T00:00:00
SIG_00049,CUST_00516,sim_swap_hint,0.628,marketplace,2026-01-03T01:00:00
SIG_00050,CUST_00440,new_channel,0.79,wallet,2026-01-03T02:00:00
SIG_00051,CUST_00404,unknown_relationship,0.467,telco,2026-01-03T03:00:00
SIG_00052,CUST_00549,shared_signal_detected,0.549,bank,2026-01-03T04:00:00
SIG_00053,CUST_00592,identity_shift,0.586,telco,2026-01-03T05:00:00
SIG_00054,CUST_00210,sim_swap_hint,0.542,bank,2026-01-03T06:00:00
SIG_00055,CUST_00344,shared_signal_detected,0.393,wallet,2026-01-03T07:00:00
SIG_00056,CUST_00275,identity_shift,0.689,marketplace,2026-01-03T08:00:00
SIG_00057,CUST_00380,shared_signal_detected,0.466,telco,2026-01-03T09:00:00
SIG_00058,CUST_00335,shared_signal_detected,0.963,wallet,2026-01-03T10:00:00
SIG_00059,CUST_00289,sim_swap_hint,0.804,wallet,2026-01-03T11:00:00
SIG_00060,CUST_00317,shared_signal_detected,0.831,wallet,2026-01-03T12:00:00
SIG_00061,CUST_00523,new_channel,0.872,telco,2026-01-03T13:00:00
SIG_00062,CUST_00078,new_channel,0.421,telco,2026-01-03T14:00:00
SIG_00063,CUST_00058,shared_signal_detected,0.825,marketplace,2026-01-03T15:00:00
SIG_00064,CUST_00471,shared_signal_detected,0.882,bank,2026-01-03T16:00:00
SIG_00065,CUST_00375,identity_shift,0.42,bank,2026-01-03T17:00:00
SIG_00066,CUST_00303,sim_swap_hint,0.564,wallet,2026-01-03T18:00:00
SIG_00067,CUST_00411,shared_signal_detected,0.347,bank,2026-01-03T19:00:00
SIG_00068,CUST_00064,unknown_relationship,0.515,marketplace,2026-01-03T20:00:00
SIG_00069,CUST_00287,unknown_relationship,0.895,wallet,2026-01-03T21:00:00
SIG_00070,CUST_00145,new_channel,0.794,telco,2026-01-03T22:00:00
SIG_00071,CUST_00504,new_channel,0.849,wallet,2026-01-03T23:00:00
SIG_00072,CUST_00557,unknown_relationship,0.786,marketplace,2026-01-04T00:00:00
SIG_00073,CUST_00025,sim_swap_hint,0.957,bank,2026-01-04T01:00:00
SIG_00074,CUST_00538,unknown_relationship,0.57,wallet,2026-01-04T02:00:00
SIG_00075,CUST_00322,new_channel,0.361,wallet,2026-01-04T03:00:00
SIG_00076,CUST_00138,shared_signal_detected,0.659,bank,2026-01-04T04:00:00
SIG_00077,CUST_00276,unknown_relationship,0.747,wallet,2026-01-04T05:00:00
SIG_00078,CUST_00149,identity_shift,0.453,telco,2026-01-04T06:00:00
SIG_00079,CUST_00092,sim_swap_hint,0.669,wallet,2026-01-04T07:00:00
