device_id,customer_id,device_hash,channel,risk_hint
DEV_00000,CUST_00222,dh_806107743879,mobile_app,normal
DEV_00001,CUST_00001,dh_128726977831,web,normal
DEV_00002,CUST_00172,dh_906325476346,web,new_device
DEV_00003,CUST_00365,dh_275557209086,mobile_app,new_device
DEV_00004,CUST_00034,dh_346677520687,call_center,normal
DEV_00005,CUST_00124,dh_205208916359,mobile_app,new_device
DEV_00006,CUST_00177,dh_302682559547,mobile_app,new_channel
DEV_00007,CUST_00133,dh_897934311476,web,new_device
DEV_00008,CUST_00104,dh_943011752177,mobile_app,new_device
DEV_00009,CUST_00249,dh_519413171647,mobile_app,normal
DEV_00010,CUST_00270,dh_502320675229,web,normal
DEV_00011,CUST_00203,dh_345614134699,web,normal
DEV_00012,CUST_00270,dh_46380290990,web,normal
DEV_00013,CUST_00082,dh_846242515211,web,normal
DEV_00014,CUST_00142,dh_416255913488,web,normal
DEV_00015,CUST_00146,dh_534962201613,call_center,new_device
DEV_00016,CUST_00077,dh_798439007223,web,normal
DEV_00017,CUST_00113,dh_448088814317,mobile_app,normal
DEV_00018,CUST_00148,dh_58687677003,call_center,normal
DEV_00019,CUST_00238,dh_730694995273,web,normal
DEV_00020,CUST_00054,dh_117461018898,call_center,normal
DEV_00021,CUST_00106,dh_479116283409,mobile_app,normal
DEV_00022,CUST_00255,dh_70727370890,web,new_device
DEV_00023,CUST_00366,dh_758746491336,web,normal
DEV_00024,CUST_00171,dh_484493978717,web,new_channel
DEV_00025,CUST_00049,dh_279461197016,mobile_app,new_device
DEV_00026,CUST_00133,dh_16027609936,call_center,normal
DEV_00027,CUST_00297,dh_216525602384,call_center,normal
DEV_00028,CUST_00125,dh_754852950949,call_center,new_channel
DEV_00029,CUST_00282,dh_353269588741,call_center,normal
DEV_00030,CUST_00017,dh_217080438694,call_center,normal
DEV_00031,CUST_00012,dh_665570060174,call_center,new_device
DEV_00032,CUST_00116,dh_620086316412,call_center,new_device
DEV_00033,CUST_00117,dh_503550977520,mobile_app,new_channel
DEV_00034,CUST_00189,dh_118630213526,mobile_app,new_channel
DEV_00035,CUST_00095,dh_658301574394,web,normal
DEV_00036,CUST_00018,dh_823421265799,web,new_channel
DEV_00037,CUST_00118,dh_782097640298,web,normal
DEV_00038,CUST_00216,dh_460978124061,call_center,normal
DEV_00039,CUST_00251,dh_16357819471,mobile_app,new_channel
DEV_00040,CUST_00096,dh_443483907312,call_center,normal
DEV_00041,CUST_00122,dh_193263238424,web,normal
DEV_00042,CUST_00281,dh_461954654474,web,new_channel
DEV_00043,CUST_00160,dh_239867843943,web,new_channel
DEV_00044,CUST_00319,dh_13984352699,mobile_app,normal
DEV_00045,CUST_00111,dh_486674692783,mobile_app,new_channel
DEV_00046,CUST_00301,dh_266888431500,web,new_channel
DEV_00047,CUST_00204,dh_545679559459,call_center,new_channel
DEV_00048,CUST_00071,dh_863478686584,web,new_device
DEV_00049,CUST_00006,dh_154617970412,call_center,new_device
DEV_00050,CUST_00279,dh_620233462668,call_center,normal
DEV_00051,CUST_00312,dh_907362112003,web,new_channel
DEV_00052,CUST_00134,dh_247100565926,mobile_app,normal
DEV_00053,CUST_00110,dh_668309347152,mobile_app,new_device
DEV_00054,CUST_00352,dh_485552531306,web,normal
DEV_00055,CUST_00191,dh_109693567357,call_center,new_device
DEV_00056,CUST_00118,dh_290686952729,call_center,normal
DEV_00057,CUST_00120,dh_278165131136,mobile_app,normal
DEV_00058,CUST_00184,dh_196637207501,mobile_app,normal
DEV_00059,CUST_00375,dh_116998042578,mobile_app,new_channel
DEV_00060,CUST_00355,dh_785422655068,call_center,new_device
DEV_00061,CUST_00267,dh_764041223013,mobile_app,normal
DEV_00062,CUST_00123,dh_268891433745,web,new_channel
DEV_00063,CUST_00265,dh_620261839595,call_center,new_device
DEV_00064,CUST_00048,dh_339019826530,web,new_device
DEV_00065,CUST_00004,dh_666705608990,call_center,new_device
DEV_00066,CUST_00273,dh_436061490148,web,new_channel
DEV_00067,CUST_00268,dh_367223014926,call_center,new_channel
DEV_00068,CUST_00077,dh_86511797839,web,normal
DEV_00069,CUST_00343,dh_502059658220,mobile_app,normal
DEV_00070,CUST_00050,dh_89339205712,mobile_app,new_channel
DEV_00071,CUST_00252,dh_252140313890,mobile_app,normal
DEV_00072,CUST_00323,dh_921655012579,call_center,new_device
DEV_00073,CUST_00029,dh_721649739326,call_center,normal
DEV_00074,CUST_00281,dh_883512796726,mobile_app,new_channel
DEV_00075,CUST_00245,dh_419889441375,web,normal
DEV_00076,CUST_00359,dh_983882190251,web,normal
DEV_00077,CUST_00262,dh_272407279846,call_center,new_device
DEV_00078,CUST_00261,dh_210583055445,mobile_app,new_channel
DEV_00079,CUST_00379,dh_195979058365,web,normal
DEV_00080,CUST_00327,dh_315054292777,mobile_app,normal
DEV_00081,CUST_00101,dh_702570676124,web,normal
DEV_00082,CUST_00303,dh_599776825425,call_center,normal
DEV_00083,CUST_00280,dh_100352220749,web,normal
