signal_id,entity_id,signal_type,severity,source,timestamp
SIG_000000,CUST_012728,identity_shift,0.426,bank,2026-01-01T00:00:00
SIG_000001,CUST_007628,device_reset,0.915,telco,2026-01-01T01:00:00
SIG_000002,CUST_011621,device_reset,0.488,marketplace,2026-01-01T02:00:00
SIG_000003,CUST_003582,unknown_relationship,0.591,marketplace,2026-01-01T03:00:00
SIG_000004,CUST_009257,device_reset,0.519,bank,2026-01-01T04:00:00
SIG_000005,CUST_018209,shared_signal_detected,0.338,telco,2026-01-01T05:00:00
SIG_000006,CUST_004445,identity_shift,0.385,bank,2026-01-01T06:00:00
SIG_000007,CUST_009620,shared_signal_detected,0.26,bank,2026-01-01T07:00:00
SIG_000008,CUST_016776,device_reset,0.418,telco,2026-01-01T08:00:00
SIG_000009,CUST_014927,sim_swap_hint,0.632,wallet,2026-01-01T09:00:00
SIG_000010,CUST_004812,sim_swap_hint,0.726,bank,2026-01-01T10:00:00
SIG_000011,CUST_016768,identity_shift,0.647,telco,2026-01-01T11:00:00
SIG_000012,MULE_0014,shared_signal_detected,0.786,wallet,2026-01-01T12:00:00
SIG_000013,CUST_007537,sim_swap_hint,0.546,bank,2026-01-01T13:00:00
SIG_000014,CUST_006544,identity_shift,0.638,bank,2026-01-01T14:00:00
SIG_000015,CUST_010196,shared_signal_detected,0.843,wallet,2026-01-01T15:00:00
SIG_000016,CUST_000140,new_channel,0.816,telco,2026-01-01T16:00:00
SIG_000017,CUST_014348,sim_swap_hint,0.873,bank,2026-01-01T17:00:00
SIG_000018,CUST_003248,unknown_relationship,0.467,bank,2026-01-01T18:00:00
SIG_000019,CUST_010420,identity_shift,0.935,wallet,2026-01-01T19:00:00
SIG_000020,CUST_006842,device_reset,0.406,marketplace,2026-01-01T20:00:00
SIG_000021,CUST_019992,unknown_relationship,0.549,marketplace,2026-01-01T21:00:00
SIG_000022,CUST_013539,shared_signal_detected,0.382,bank,2026-01-01T22:00:00
SIG_000023,CUST_006567,new_channel,0.341,wallet,2026-01-01T23:00:00
SIG_000024,CUST_015547,device_reset,0.744,bank,2026-01-02T00:00:00
SIG_000025,CUST_004645,shared_signal_detected,0.455,wallet,2026-01-02T01:00:00
SIG_000026,CUST_017526,sim_swap_hint,0.924,wallet,2026-01-02T02:00:00
SIG_000027,CUST_009219,sim_swap_hint,0.567,telco,2026-01-02T03:00:00
