device_id,customer_id,device_hash,channel,risk_hint
DEV_000000,CUST_003700,dh_551770232049,mobile_app,normal
DEV_000001,CUST_001339,dh_661769176021,web,device_reset
DEV_000002,CUST_001447,dh_693720679828,web,normal
DEV_000003,CUST_004138,dh_2647928797,call_center,device_reset
DEV_000004,CUST_002158,dh_486579196485,mobile_app,normal
DEV_000005,CUST_002212,dh_851567562880,mobile_app,device_reset
DEV_000006,CUST_003519,dh_562207192323,web,new_channel
DEV_000007,CUST_001243,dh_641714689019,web,device_reset
DEV_000008,CUST_001767,dh_84133294682,call_center,device_reset
DEV_000009,CUST_004458,dh_854019257004,web,device_reset
DEV_000010,CUST_001907,dh_705550286108,call_center,new_device
DEV_000011,CUST_003258,dh_743151179537,call_center,device_reset
DEV_000012,CUST_002519,dh_974090649269,api,device_reset
DEV_000013,CUST_001010,dh_55144835884,api,device_reset
DEV_000014,CUST_003997,dh_91258290097,api,device_reset
DEV_000015,CUST_003322,dh_618452698031,web,new_device
DEV_000016,CUST_004496,dh_717832391902,web,normal
DEV_000017,CUST_000838,dh_561056227126,mobile_app,new_device
DEV_000018,CUST_001821,dh_645776127266,api,new_device
DEV_000019,CUST_004809,dh_633177012096,call_center,normal
DEV_000020,CUST_000798,dh_695093827834,web,normal
DEV_000021,CUST_000185,dh_464598689594,web,new_device
DEV_000022,CUST_003557,dh_657884367822,web,new_device
DEV_000023,CUST_003467,dh_775197416473,call_center,new_channel
DEV_000024,CUST_003275,dh_488918899893,call_center,normal
DEV_000025,CUST_002631,dh_294774701215,call_center,normal
DEV_000026,CUST_001049,dh_471080097085,api,new_channel
DEV_000027,CUST_002805,dh_967630938323,api,normal
DEV_000028,CUST_002788,dh_855046873920,web,device_reset
DEV_000029,CUST_000000,dh_726692284991,mobile_app,new_channel
DEV_000030,CUST_002005,dh_869770990187,web,normal
DEV_000031,CUST_001282,dh_182527204584,api,new_device
DEV_000032,CUST_003303,dh_475449448540,call_center,new_device
DEV_000033,CUST_001339,dh_280225676687,mobile_app,new_channel
DEV_000034,CUST_004210,dh_388943789310,mobile_app,normal
DEV_000035,CUST_004297,dh_49003441573,mobile_app,normal
DEV_000036,CUST_003414,dh_391075033109,api,device_reset
DEV_000037,CUST_002187,dh_64608790305,web,normal
DEV_000038,CUST_004758,dh_762222306155,call_center,normal
DEV_000039,CUST_001701,dh_945959979474,api,normal
