signal_id,entity_id,signal_type,severity,source,timestamp
SIG_000000,CUST_000778,new_channel,0.523,bank,2026-01-01T00:00:00
SIG_000001,CUST_004458,new_channel,0.495,telco,2026-01-01T01:00:00
SIG_000002,CUST_004957,new_channel,0.53,bank,2026-01-01T02:00:00
SIG_000003,CUST_003639,device_reset,0.82,marketplace,2026-01-01T03:00:00
SIG_000004,CUST_001960,shared_signal_detected,0.816,telco,2026-01-01T04:00:00
SIG_000005,CUST_003606,shared_signal_detected,0.576,wallet,2026-01-01T05:00:00
SIG_000006,CUST_001344,sim_swap_hint,0.363,marketplace,2026-01-01T06:00:00
SIG_000007,CUST_001482,sim_swap_hint,0.77,marketplace,2026-01-01T07:00:00
SIG_000008,CUST_004718,sim_swap_hint,0.756,wallet,2026-01-01T08:00:00
SIG_000009,CUST_001452,identity_shift,0.869,telco,2026-01-01T09:00:00
SIG_000010,CUST_004578,sim_swap_hint,0.921,telco,2026-01-01T10:00:00
SIG_000011,CUST_004884,identity_shift,0.639,marketplace,2026-01-01T11:00:00
SIG_000012,CUST_002853,device_reset,0.655,telco,2026-01-01T12:00:00
SIG_000013,CUST_001461,sim_swap_hint,0.311,telco,2026-01-01T13:00:00
SIG_000014,CUST_000314,sim_swap_hint,0.591,bank,2026-01-01T14:00:00
SIG_000015,CUST_003467,sim_swap_hint,0.953,telco,2026-01-01T15:00:00
SIG_000016,CUST_002252,device_reset,0.697,marketplace,2026-01-01T16:00:00
SIG_000017,CUST_001425,new_channel,0.582,marketplace,2026-01-01T17:00:00
SIG_000018,CUST_001885,new_channel,0.794,wallet,2026-01-01T18:00:00
SIG_000019,CUST_004876,new_channel,0.937,marketplace,2026-01-01T19:00:00
SIG_000020,CUST_001874,sim_swap_hint,0.768,wallet,2026-01-01T20:00:00
SIG_000021,CUST_001015,shared_signal_detected,0.755,telco,2026-01-01T21:00:00
SIG_000022,CUST_002736,identity_shift,0.393,bank,2026-01-01T22:00:00
SIG_000023,CUST_003807,unknown_relationship,0.377,bank,2026-01-01T23:00:00
SIG_000024,CUST_001810,sim_swap_hint,0.864,wallet,2026-01-02T00:00:00
SIG_000025,CUST_000018,device_reset,0.309,telco,2026-01-02T01:00:00
SIG_000026,CUST_001331,unknown_relationship,0.842,telco,2026-01-02T02:00:00
SIG_000027,CUST_003180,unknown_relationship,0.696,telco,2026-01-02T03:00:00
SIG_000028,CUST_003129,new_channel,0.634,bank,2026-01-02T04:00:00
SIG_000029,CUST_004242,identity_shift,0.526,wallet,2026-01-02T05:00:00
SIG_000030,CUST_001095,shared_signal_detected,0.83,bank,2026-01-02T06:00:00
SIG_000031,CUST_000558,identity_shift,0.804,marketplace,2026-01-02T07:00:00
SIG_000032,CUST_001130,device_reset,0.876,wallet,2026-01-02T08:00:00
SIG_000033,CUST_001295,identity_shift,0.659,marketplace,2026-01-02T09:00:00
SIG_000034,CUST_003080,sim_swap_hint,0.853,marketplace,2026-01-02T10:00:00
SIG_000035,CUST_000504,shared_signal_detected,0.77,bank,2026-01-02T11:00:00
SIG_000036,CUST_004934,shared_signal_detected,0.436,bank,2026-01-02T12:00:00
SIG_000037,CUST_004701,device_reset,0.98,bank,2026-01-02T13:00:00
SIG_000038,MULE_0006,shared_signal_detected,0.5,wallet,2026-01-02T14:00:00
SIG_000039,CUST_000853,identity_shift,0.914,bank,2026-01-02T15:00:00
SIG_000040,CUST_000367,sim_swap_hint,0.565,telco,2026-01-02T16:00:00
SIG_000041,CUST_000561,device_reset,0.697,telco,2026-01-02T17:00:00
SIG_000042,CUST_000155,identity_shift,0.337,marketplace,2026-01-02T18:00:00
SIG_000043,CUST_004702,sim_swap_hint,0.495,wallet,2026-01-02T19:00:00
SIG_000044,CUST_000746,identity_shift,0.467,marketplace,2026-01-02T20:00:00
SIG_000045,CUST_001494,sim_swap_hint,0.31,wallet,2026-01-02T21:00:00
SIG_000046,CUST_002429,identity_shift,0.466,marketplace,2026-01-02T22:00:00
SIG_000047,CUST_003740,new_channel,0.324,telco,2026-01-02T23:00:00
SIG_000048,CUST_002291,shared_signal_detected,0.938,telco,2026-01-03T00:00:00
SIG_000049,CUST_001221,shared_signal_detected,0.263,bank,2026-01-03T01:00:00
SIG_000050,CUST_003816,device_reset,0.612,marketplace,2026-01-03T02:00:00
SIG_000051,CUST_001919,device_reset,0.506,wallet,2026-01-03T03:00:00
SIG_000052,CUST_003107,unknown_relationship,0.288,wallet,2026-01-03T04:00:00
SIG_000053,CUST_004305,shared_signal_detected,0.676,bank,2026-01-03T05:00:00
SIG_000054,CUST_004729,device_reset,0.908,marketplace,2026-01-03T06:00:00
SIG_000055,CUST_004658,sim_swap_hint,0.52,bank,2026-01-03T07:00:00
SIG_000056,CUST_003189,identity_shift,0.725,wallet,2026-01-03T08:00:00
SIG_000057,CUST_000770,identity_shift,0.976,telco,2026-01-03T09:00:00
SIG_000058,CUST_000062,new_channel,0.266,marketplace,2026-01-03T10:00:00
SIG_000059,CUST_003379,new_channel,0.618,marketplace,2026-01-03T11:00:00
SIG_000060,CUST_001356,identity_shift,0.301,marketplace,2026-01-03T12:00:00
SIG_000061,CUST_004623,unknown_relationship,0.387,wallet,2026-01-03T13:00:00
SIG_000062,CUST_000142,sim_swap_hint,0.554,bank,2026-01-03T14:00:00
SIG_000063,CUST_002557,new_channel,0.593,wallet,2026-01-03T15:00:00
SIG_000064,CUST_003218,identity_shift,0.593,bank,2026-01-03T16:00:00
SIG_000065,CUST_002778,identity_shift,0.671,telco,2026-01-03T17:00:00
SIG_000066,CUST_001922,new_channel,0.793,telco,2026-01-03T18:00:00
SIG_000067,EXT_0035,unknown_relationship,0.512,marketplace,2026-01-03T19:00:00
SIG_000068,CUST_001542,device_reset,0.395,wallet,2026-01-03T20:00:00
SIG_000069,CUST_003515,new_channel,0.456,marketplace,2026-01-03T21:00:00
SIG_000070,CUST_001319,new_channel,0.963,bank,2026-01-03T22:00:00
SIG_000071,CUST_002619,device_reset,0.42,wallet,2026-01-03T23:00:00
SIG_000072,CUST_000542,identity_shift,0.873,marketplace,2026-01-04T00:00:00
SIG_000073,CUST_001348,unknown_relationship,0.279,bank,2026-01-04T01:00:00
SIG_000074,CUST_002992,shared_signal_detected,0.295,telco,2026-01-04T02:00:00
SIG_000075,CUST_001660,new_channel,0.69,marketplace,2026-01-04T03:00:00
SIG_000076,CUST_004762,identity_shift,0.742,telco,2026-01-04T04:00:00
SIG_000077,CUST_003457,shared_signal_detected,0.868,telco,2026-01-04T05:00:00
SIG_000078,CUST_004509,shared_signal_detected,0.419,telco,2026-01-04T06:00:00
SIG_000079,CUST_002493,sim_swap_hint,0.27,bank,2026-01-04T07:00:00
SIG_000080,CUST_001719,sim_swap_hint,0.626,marketplace,2026-01-04T08:00:00
SIG_000081,CUST_004219,identity_shift,0.904,wallet,2026-01-04T09:00:00
SIG_000082,CUST_003828,unknown_relationship,0.607,bank,2026-01-04T10:00:00
SIG_000083,CUST_003326,shared_signal_detected,0.932,bank,2026-01-04T11:00:00
SIG_000084,CUST_003599,new_channel,0.823,marketplace,2026-01-04T12:00:00
SIG_000085,CUST_000399,unknown_relationship,0.744,bank,2026-01-04T13:00:00
SIG_000086,CUST_003158,new_channel,0.471,bank,2026-01-04T14:00:00
SIG_000087,CUST_004849,identity_shift,0.458,bank,2026-01-04T15:00:00
SIG_000088,CUST_001471,shared_signal_detected,0.597,telco,2026-01-04T16:00:00
SIG_000089,CUST_003597,sim_swap_hint,0.827,wallet,2026-01-04T17:00:00
SIG_000090,CUST_002723,unknown_relationship,0.337,marketplace,2026-01-04T18:00:00
SIG_000091,CUST_002645,shared_signal_detected,0.594,wallet,2026-01-04T19:00:00
SIG_000092,CUST_004978,new_channel,0.797,wallet,2026-01-04T20:00:00
SIG_000093,CUST_000521,device_reset,0.733,bank,2026-01-04T21:00:00
SIG_000094,CUST_000724,shared_signal_detected,0.754,bank,2026-01-04T22:00:00
SIG_000095,CUST_003413,sim_swap_hint,0.26,telco,2026-01-04T23:00:00
SIG_000096,CUST_000357,unknown_relationship,0.372,telco,2026-01-05T00:00:00
SIG_000097,CUST_004489,unknown_relationship,0.466,bank,2026-01-05T01:00:00
