signal_id,entity_id,signal_type,severity,source,timestamp
SIG_000000,CUST_000604,sim_swap_hint,0.904,marketplace,2026-01-01T00:00:00
SIG_000001,CUST_000742,sim_swap_hint,0.71,telco,2026-01-01T01:00:00
SIG_000002,EXT_0010,shared_signal_detected,0.549,marketplace,2026-01-01T02:00:00
SIG_000003,CUST_000089,shared_signal_detected,0.788,marketplace,2026-01-01T03:00:00
SIG_000004,CUST_000206,device_reset,0.572,wallet,2026-01-01T04:00:00
SIG_000005,CUST_000146,shared_signal_detected,0.531,bank,2026-01-01T05:00:00
SIG_000006,CUST_000702,sim_swap_hint,0.886,bank,2026-01-01T06:00:00
SIG_000007,CUST_000408,shared_signal_detected,0.702,bank,2026-01-01T07:00:00
SIG_000008,CUST_000781,unknown_relationship,0.947,marketplace,2026-01-01T08:00:00
SIG_000009,CUST_000310,unknown_relationship,0.65,marketplace,2026-01-01T09:00:00
SIG_000010,CUST_000377,identity_shift,0.834,marketplace,2026-01-01T10:00:00
SIG_000011,CUST_000578,sim_swap_hint,0.566,telco,2026-01-01T11:00:00
SIG_000012,CUST_000279,identity_shift,0.25,bank,2026-01-01T12:00:00
SIG_000013,CUST_000727,shared_signal_detected,0.938,bank,2026-01-01T13:00:00
SIG_000014,CUST_000323,unknown_relationship,0.567,telco,2026-01-01T14:00:00
SIG_000015,CUST_000230,unknown_relationship,0.426,wallet,2026-01-01T15:00:00
SIG_000016,CUST_000788,identity_shift,0.325,telco,2026-01-01T16:00:00
SIG_000017,CUST_000396,device_reset,0.556,marketplace,2026-01-01T17:00:00
SIG_000018,CUST_000648,identity_shift,0.613,bank,2026-01-01T18:00:00
SIG_000019,CUST_000092,sim_swap_hint,0.726,bank,2026-01-01T19:00:00
SIG_000020,CUST_000515,shared_signal_detected,0.747,wallet,2026-01-01T20:00:00
SIG_000021,CUST_000202,identity_shift,0.718,telco,2026-01-01T21:00:00
SIG_000022,CUST_000341,unknown_relationship,0.885,telco,2026-01-01T22:00:00
SIG_000023,CUST_000680,new_channel,0.961,bank,2026-01-01T23:00:00
SIG_000024,CUST_000685,unknown_relationship,0.324,telco,2026-01-02T00:00:00
SIG_000025,CUST_000681,unknown_relationship,0.308,telco,2026-01-02T01:00:00
SIG_000026,CUST_000056,unknown_relationship,0.273,wallet,2026-01-02T02:00:00
SIG_000027,CUST_000790,shared_signal_detected,0.35,wallet,2026-01-02T03:00:00
SIG_000028,CUST_000676,unknown_relationship,0.313,telco,2026-01-02T04:00:00
SIG_000029,CUST_000149,shared_signal_detected,0.678,wallet,2026-01-02T05:00:00
SIG_000030,CUST_000734,sim_swap_hint,0.949,bank,2026-01-02T06:00:00
SIG_000031,CUST_000383,unknown_relationship,0.969,bank,2026-01-02T07:00:00
SIG_000032,CUST_000373,new_channel,0.519,telco,2026-01-02T08:00:00
SIG_000033,CUST_000655,identity_shift,0.33,telco,2026-01-02T09:00:00
SIG_000034,CUST_000466,sim_swap_hint,0.579,wallet,2026-01-02T10:00:00
SIG_000035,CUST_000459,device_reset,0.391,telco,2026-01-02T11:00:00
SIG_000036,CUST_000486,new_channel,0.659,bank,2026-01-02T12:00:00
SIG_000037,CUST_000623,new_channel,0.409,bank,2026-01-02T13:00:00
SIG_000038,CUST_000384,new_channel,0.306,marketplace,2026-01-02T14:00:00
SIG_000039,CUST_000395,unknown_relationship,0.54,marketplace,2026-01-02T15:00:00
SIG_000040,CUST_000690,shared_signal_detected,0.387,telco,2026-01-02T16:00:00
SIG_000041,CUST_000798,device_reset,0.727,marketplace,2026-01-02T17:00:00
SIG_000042,CUST_000105,sim_swap_hint,0.888,bank,2026-01-02T18:00:00
SIG_000043,CUST_000440,device_reset,0.746,telco,2026-01-02T19:00:00
SIG_000044,CUST_000333,unknown_relationship,0.543,marketplace,2026-01-02T20:00:00
SIG_000045,CUST_000224,unknown_relationship,0.955,telco,2026-01-02T21:00:00
SIG_000046,CUST_000233,shared_signal_detected,0.643,telco,2026-01-02T22:00:00
SIG_000047,CUST_000236,new_channel,0.636,marketplace,2026-01-02T23:00:00
SIG_000048,EXT_0013,new_channel,0.832,marketplace,2026-01-03T00:00:00
SIG_000049,CUST_000174,sim_swap_hint,0.816,wallet,2026-01-03T01:00:00
SIG_000050,EXT_0014,unknown_relationship,0.874,bank,2026-01-03T02:00:00
SIG_000051,CUST_000375,new_channel,0.685,wallet,2026-01-03T03:00:00
SIG_000052,CUST_000760,shared_signal_detected,0.365,bank,2026-01-03T04:00:00
SIG_000053,CUST_000778,identity_shift,0.359,wallet,2026-01-03T05:00:00
SIG_000054,CUST_000452,device_reset,0.325,bank,2026-01-03T06:00:00
SIG_000055,CUST_000128,device_reset,0.28,bank,2026-01-03T07:00:00
SIG_000056,CUST_000286,sim_swap_hint,0.352,telco,2026-01-03T08:00:00
SIG_000057,CUST_000211,shared_signal_detected,0.419,wallet,2026-01-03T09:00:00
SIG_000058,CUST_000126,shared_signal_detected,0.492,telco,2026-01-03T10:00:00
SIG_000059,CUST_000609,device_reset,0.413,marketplace,2026-01-03T11:00:00
SIG_000060,CUST_000656,identity_shift,0.842,wallet,2026-01-03T12:00:00
SIG_000061,CUST_000771,sim_swap_hint,0.712,telco,2026-01-03T13:00:00
SIG_000062,CUST_000660,shared_signal_detected,0.787,bank,2026-01-03T14:00:00
SIG_000063,CUST_000428,device_reset,0.57,marketplace,2026-01-03T15:00:00
SIG_000064,CUST_000147,unknown_relationship,0.366,wallet,2026-01-03T16:00:00
SIG_000065,CUST_000560,unknown_relationship,0.276,wallet,2026-01-03T17:00:00
SIG_000066,CUST_000472,device_reset,0.318,marketplace,2026-01-03T18:00:00
SIG_000067,CUST_000655,new_channel,0.365,telco,2026-01-03T19:00:00
SIG_000068,CUST_000735,device_reset,0.567,marketplace,2026-01-03T20:00:00
SIG_000069,BAD_0007,new_channel,0.914,telco,2026-01-03T21:00:00
SIG_000070,CUST_000405,new_channel,0.767,bank,2026-01-03T22:00:00
SIG_000071,EXT_0021,shared_signal_detected,0.894,telco,2026-01-03T23:00:00
SIG_000072,CUST_000334,unknown_relationship,0.504,telco,2026-01-04T00:00:00
SIG_000073,CUST_000600,unknown_relationship,0.8,telco,2026-01-04T01:00:00
SIG_000074,CUST_000771,unknown_relationship,0.292,wallet,2026-01-04T02:00:00
