signal_id,entity_id,signal_type,severity,source,timestamp
SIG_000000,CUST_000516,identity_shift,0.61,telco,2026-01-01T00:00:00
SIG_000001,CUST_000529,unknown_relationship,0.303,telco,2026-01-01T01:00:00
SIG_000002,CUST_000649,unknown_relationship,0.39,bank,2026-01-01T02:00:00
SIG_000003,CUST_000021,unknown_relationship,0.557,wallet,2026-01-01T03:00:00
SIG_000004,CUST_000705,new_channel,0.257,telco,2026-01-01T04:00:00
SIG_000005,CUST_000385,device_reset,0.861,wallet,2026-01-01T05:00:00
SIG_000006,CUST_000110,new_channel,0.342,wallet,2026-01-01T06:00:00
SIG_000007,CUST_000586,device_reset,0.619,bank,2026-01-01T07:00:00
SIG_000008,CUST_000516,unknown_relationship,0.51,wallet,2026-01-01T08:00:00
SIG_000009,CUST_000052,shared_signal_detected,0.821,telco,2026-01-01T09:00:00
SIG_000010,CUST_000561,sim_swap_hint,0.428,wallet,2026-01-01T10:00:00
SIG_000011,CUST_000231,identity_shift,0.701,wallet,2026-01-01T11:00:00
SIG_000012,CUST_000390,shared_signal_detected,0.584,wallet,2026-01-01T12:00:00
SIG_000013,CUST_000193,unknown_relationship,0.57,bank,2026-01-01T13:00:00
SIG_000014,MULE_0001,new_channel,0.792,wallet,2026-01-01T14:00:00
SIG_000015,CUST_000194,identity_shift,0.548,marketplace,2026-01-01T15:00:00
SIG_000016,CUST_000248,new_channel,0.687,marketplace,2026-01-01T16:00:00
SIG_000017,CUST_000673,identity_shift,0.638,marketplace,2026-01-01T17:00:00
SIG_000018,CUST_000485,unknown_relationship,0.399,bank,2026-01-01T18:00:00
SIG_000019,EXT_0015,device_reset,0.308,wallet,2026-01-01T19:00:00
SIG_000020,CUST_000478,new_channel,0.946,telco,2026-01-01T20:00:00
SIG_000021,CUST_000488,shared_signal_detected,0.71,telco,2026-01-01T21:00:00
SIG_000022,CUST_000273,unknown_relationship,0.836,telco,2026-01-01T22:00:00
SIG_000023,CUST_000287,shared_signal_detected,0.835,telco,2026-01-01T23:00:00
SIG_000024,CUST_000540,unknown_relationship,0.621,marketplace,2026-01-02T00:00:00
SIG_000025,CUST_000611,identity_shift,0.619,wallet,2026-01-02T01:00:00
SIG_000026,CUST_000380,identity_shift,0.587,wallet,2026-01-02T02:00:00
SIG_000027,CUST_000019,shared_signal_detected,0.482,telco,2026-01-02T03:00:00
SIG_000028,CUST_000417,device_reset,0.532,marketplace,2026-01-02T04:00:00
SIG_000029,EXT_0022,device_reset,0.325,telco,2026-01-02T05:00:00
SIG_000030,CUST_000164,unknown_relationship,0.946,marketplace,2026-01-02T06:00:00
SIG_000031,CUST_000689,sim_swap_hint,0.56,marketplace,2026-01-02T07:00:00
SIG_000032,CUST_000346,identity_shift,0.691,marketplace,2026-01-02T08:00:00
SIG_000033,CUST_000074,device_reset,0.306,marketplace,2026-01-02T09:00:00
SIG_000034,CUST_000027,identity_shift,0.912,bank,2026-01-02T10:00:00
SIG_000035,CUST_000084,shared_signal_detected,0.787,telco,2026-01-02T11:00:00
SIG_000036,CUST_000303,device_reset,0.294,bank,2026-01-02T12:00:00
SIG_000037,CUST_000055,new_channel,0.529,telco,2026-01-02T13:00:00
SIG_000038,CUST_000156,identity_shift,0.808,wallet,2026-01-02T14:00:00
SIG_000039,CUST_000545,unknown_relationship,0.376,marketplace,2026-01-02T15:00:00
SIG_000040,CUST_000114,new_channel,0.804,telco,2026-01-02T16:00:00
SIG_000041,CUST_000575,shared_signal_detected,0.763,wallet,2026-01-02T17:00:00
SIG_000042,CUST_000733,identity_shift,0.853,bank,2026-01-02T18:00:00
SIG_000043,BAD_0006,shared_signal_detected,0.693,wallet,2026-01-02T19:00:00
SIG_000044,CUST_000435,sim_swap_hint,0.337,marketplace,2026-01-02T20:00:00
SIG_000045,CUST_000748,sim_swap_hint,0.401,marketplace,2026-01-02T21:00:00
SIG_000046,EXT_0000,device_reset,0.292,wallet,2026-01-02T22:00:00
SIG_000047,CUST_000695,device_reset,0.435,bank,2026-01-02T23:00:00
SIG_000048,CUST_000773,identity_shift,0.593,marketplace,2026-01-03T00:00:00
SIG_000049,CUST_000604,identity_shift,0.959,bank,2026-01-03T01:00:00
SIG_000050,CUST_000627,device_reset,0.58,marketplace,2026-01-03T02:00:00
SIG_000051,CUST_000103,new_channel,0.715,wallet,2026-01-03T03:00:00
SIG_000052,CUST_000080,device_reset,0.786,wallet,2026-01-03T04:00:00
SIG_000053,CUST_000671,identity_shift,0.327,marketplace,2026-01-03T05:00:00
SIG_000054,EXT_0027,identity_shift,0.446,marketplace,2026-01-03T06:00:00
SIG_000055,CUST_000163,device_reset,0.474,marketplace,2026-01-03T07:00:00
SIG_000056,CUST_000219,unknown_relationship,0.423,bank,2026-01-03T08:00:00
SIG_000057,CUST_000245,new_channel,0.296,telco,2026-01-03T09:00:00
SIG_000058,CUST_000430,unknown_relationship,0.974,telco,2026-01-03T10:00:00
SIG_000059,CUST_000474,identity_shift,0.748,wallet,2026-01-03T11:00:00
SIG_000060,CUST_000472,unknown_relationship,0.302,marketplace,2026-01-03T12:00:00
SIG_000061,CUST_000226,unknown_relationship,0.64,bank,2026-01-03T13:00:00
SIG_000062,CUST_000640,identity_shift,0.621,bank,2026-01-03T14:00:00
SIG_000063,CUST_000160,unknown_relationship,0.387,telco,2026-01-03T15:00:00
SIG_000064,CUST_000565,device_reset,0.911,marketplace,2026-01-03T16:00:00
SIG_000065,CUST_000451,shared_signal_detected,0.421,wallet,2026-01-03T17:00:00
SIG_000066,CUST_000339,shared_signal_detected,0.254,bank,2026-01-03T18:00:00
SIG_000067,CUST_000103,sim_swap_hint,0.708,wallet,2026-01-03T19:00:00
SIG_000068,CUST_000458,device_reset,0.272,telco,2026-01-03T20:00:00
SIG_000069,CUST_000481,device_reset,0.6,telco,2026-01-03T21:00:00
SIG_000070,CUST_000508,device_reset,0.412,wallet,2026-01-03T22:00:00
SIG_000071,CUST_000611,shared_signal_detected,0.547,marketplace,2026-01-03T23:00:00
SIG_000072,MULE_0004,shared_signal_detected,0.934,marketplace,2026-01-04T00:00:00
SIG_000073,CUST_000227,identity_shift,0.672,marketplace,2026-01-04T01:00:00
SIG_000074,CUST_000012,unknown_relationship,0.728,marketplace,2026-01-04T02:00:00
SIG_000075,CUST_000722,new_channel,0.759,telco,2026-01-04T03:00:00
SIG_000076,CUST_000344,unknown_relationship,0.426,wallet,2026-01-04T04:00:00
SIG_000077,CUST_000296,new_channel,0.268,marketplace,2026-01-04T05:00:00
SIG_000078,CUST_000272,sim_swap_hint,0.612,bank,2026-01-04T06:00:00
SIG_000079,CUST_000238,sim_swap_hint,0.738,marketplace,2026-01-04T07:00:00
SIG_000080,CUST_000336,unknown_relationship,0.811,wallet,2026-01-04T08:00:00
SIG_000081,CUST_000285,new_channel,0.65,telco,2026-01-04T09:00:00
SIG_000082,CUST_000694,sim_swap_hint,0.785,marketplace,2026-01-04T10:00:00
SIG_000083,CUST_000512,shared_signal_detected,0.763,wallet,2026-01-04T11:00:00
SIG_000084,CUST_000307,identity_shift,0.605,bank,2026-01-04T12:00:00
SIG_000085,CUST_000746,sim_swap_hint,0.571,bank,2026-01-04T13:00:00
SIG_000086,CUST_000308,new_channel,0.263,bank,2026-01-04T14:00:00
SIG_000087,CUST_000441,device_reset,0.448,telco,2026-01-04T15:00:00
SIG_000088,CUST_000731,device_reset,0.36,telco,2026-01-04T16:00:00
SIG_000089,CUST_000337,identity_shift,0.579,bank,2026-01-04T17:00:00
