device_id,customer_id,device_hash,channel,risk_hint
DEV_000000,CUST_000379,dh_430070527165,call_center,new_channel
DEV_000001,CUST_000715,dh_796297348360,mobile_app,device_reset
DEV_000002,CUST_000497,dh_522668804927,mobile_app,normal
DEV_000003,CUST_000182,dh_137988613866,mobile_app,new_channel
DEV_000004,CUST_000513,dh_311773795452,api,normal
DEV_000005,CUST_000340,dh_260787316508,web,new_channel
DEV_000006,CUST_000127,dh_374474721592,web,normal
DEV_000007,CUST_000703,dh_200744673198,api,new_device
DEV_000008,CUST_000193,dh_573622973803,web,normal
DEV_000009,CUST_000791,dh_736443210372,web,normal
DEV_000010,CUST_000380,dh_386745700334,mobile_app,normal
DEV_000011,CUST_000084,dh_212108417199,api,normal
DEV_000012,CUST_000701,dh_723790332925,web,normal
DEV_000013,CUST_000491,dh_26222945653,call_center,normal
DEV_000014,CUST_000234,dh_269326209291,mobile_app,normal
DEV_000015,CUST_000327,dh_224857700155,api,device_reset
DEV_000016,CUST_000002,dh_37341068515,web,normal
DEV_000017,CUST_000711,dh_671855695627,mobile_app,normal
DEV_000018,CUST_000635,dh_428044174660,web,new_channel
DEV_000019,CUST_000171,dh_516313125557,call_center,normal
DEV_000020,CUST_000070,dh_998276913618,mobile_app,normal
DEV_000021,CUST_000711,dh_766701813831,call_center,new_channel
DEV_000022,CUST_000500,dh_898335936119,call_center,normal
DEV_000023,CUST_000241,dh_184975832089,mobile_app,normal
DEV_000024,CUST_000339,dh_863187594456,call_center,device_reset
DEV_000025,CUST_000566,dh_156242637531,api,device_reset
DEV_000026,CUST_000302,dh_462625578280,mobile_app,normal
DEV_000027,CUST_000295,dh_733485390617,call_center,device_reset
DEV_000028,CUST_000138,dh_147314085787,mobile_app,new_device
DEV_000029,CUST_000559,dh_775890158129,api,device_reset
DEV_000030,CUST_000726,dh_280276425921,call_center,new_device
DEV_000031,CUST_000039,dh_188404072816,api,normal
DEV_000032,CUST_000211,dh_472124804685,api,normal
DEV_000033,CUST_000209,dh_410318105084,call_center,device_reset
DEV_000034,CUST_000480,dh_930267900139,web,normal
DEV_000035,CUST_000036,dh_403980965284,mobile_app,normal
DEV_000036,CUST_000175,dh_170133470693,api,normal
DEV_000037,CUST_000465,dh_661019498031,call_center,new_channel
DEV_000038,CUST_000372,dh_288614161592,api,new_device
DEV_000039,CUST_000493,dh_63317352832,call_center,device_reset
DEV_000040,CUST_000491,dh_394345594438,web,new_channel
DEV_000041,CUST_000517,dh_556594218947,call_center,normal
DEV_000042,CUST_000562,dh_938158979196,call_center,normal
DEV_000043,CUST_000669,dh_731317125755,web,normal
DEV_000044,CUST_000025,dh_971194236749,call_center,device_reset
DEV_000045,CUST_000055,dh_720964487929,call_center,new_channel
DEV_000046,CUST_000041,dh_758734038010,call_center,device_reset
DEV_000047,CUST_000150,dh_71094319690,web,normal
DEV_000048,CUST_000201,dh_999036431743,web,new_channel
DEV_000049,CUST_000133,dh_327102468788,mobile_app,normal
DEV_000050,CUST_000270,dh_322346502442,api,normal
DEV_000051,CUST_000182,dh_263550390726,api,new_channel
DEV_000052,CUST_000032,dh_103449211813,mobile_app,normal
DEV_000053,CUST_000645,dh_12186454031,api,normal
DEV_000054,CUST_000103,dh_682016421134,call_center,device_reset
DEV_000055,CUST_000519,dh_27798147020,mobile_app,normal
DEV_000056,CUST_000722,dh_757104228976,api,normal
DEV_000057,CUST_000309,dh_181418322950,api,device_reset
DEV_000058,CUST_000546,dh_495258764474,api,normal
DEV_000059,CUST_000086,dh_636745387299,call_center,device_reset
DEV_000060,CUST_000464,dh_480077516436,web,new_channel
DEV_000061,CUST_000056,dh_790069006828,web,normal
DEV_000062,CUST_000270,dh_675026776141,call_center,new_channel
DEV_000063,CUST_000470,dh_191980439649,api,new_channel
DEV_000064,CUST_000666,dh_23737012353,api,normal
DEV_000065,CUST_000683,dh_499663156995,api,normal
DEV_000066,CUST_000142,dh_599557141053,mobile_app,new_channel
DEV_000067,CUST_000406,dh_617273721118,call_center,device_reset
DEV_000068,CUST_000047,dh_249688828250,mobile_app,new_device
DEV_000069,CUST_000273,dh_106650332463,web,new_channel
DEV_000070,CUST_000336,dh_40144944933,web,new_device
DEV_000071,CUST_000052,dh_199384523805,api,new_device
DEV_000072,CUST_000424,dh_17070977620,web,new_channel
DEV_000073,CUST_000022,dh_400079496162,mobile_app,normal
DEV_000074,CUST_000035,dh_610604498403,mobile_app,device_reset
DEV_000075,CUST_000244,dh_541453712012,api,normal
DEV_000076,CUST_000550,dh_291424518002,call_center,normal
DEV_000077,CUST_000211,dh_42978330847,web,normal
DEV_000078,CUST_000628,dh_517369404332,call_center,new_device
DEV_000079,CUST_000096,dh_483997178010,api,new_device
DEV_000080,CUST_000602,dh_271434249455,call_center,normal
DEV_000081,CUST_000498,dh_781375587084,api,new_channel
DEV_000082,CUST_000142,dh_67237692591,call_center,new_channel
DEV_000083,CUST_000374,dh_852229578631,api,normal
DEV_000084,CUST_000588,dh_125682154842,api,normal
DEV_000085,CUST_000230,dh_465017739720,web,new_device
DEV_000086,CUST_000007,dh_988474166757,call_center,normal
DEV_000087,CUST_000253,dh_679305854655,call_center,new_channel
DEV_000088,CUST_000379,dh_133715737227,mobile_app,normal
DEV_000089,CUST_000797,dh_479688379609,api,normal
DEV_000090,CUST_000599,dh_879988296977,call_center,new_device
DEV_000091,CUST_000581,dh_312424259030,mobile_app,normal
DEV_000092,CUST_000168,dh_510124101141,mobile_app,new_device
DEV_000093,CUST_000725,dh_655301501813,web,new_channel
DEV_000094,CUST_000067,dh_363966368836,api,new_device
DEV_000095,CUST_000210,dh_202323591209,web,normal
DEV_000096,CUST_000015,dh_819377290557,mobile_app,normal
DEV_000097,CUST_000697,dh_871657354102,call_center,device_reset
DEV_000098,CUST_000291,dh_564680302602,mobile_app,normal
DEV_000099,CUST_000625,dh_469858021066,call_center,device_reset
DEV_000100,CUST_000088,dh_934114873929,web,new_device
DEV_000101,CUST_000298,dh_91039694350,api,new_channel
DEV_000102,CUST_000463,dh_496095764597,api,new_device
DEV_000103,CUST_000714,dh_821143382257,api,new_device
DEV_000104,CUST_000204,dh_221343819023,api,normal
DEV_000105,CUST_000548,dh_102617312625,call_center,new_device
DEV_000106,CUST_000478,dh_866564718721,api,device_reset
DEV_000107,CUST_000387,dh_196881967020,call_center,new_device
DEV_000108,CUST_000499,dh_627028561426,mobile_app,device_reset
DEV_000109,CUST_000435,dh_647647768529,web,normal
DEV_000110,CUST_000772,dh_506029701793,api,normal
DEV_000111,CUST_000684,dh_316162649093,call_center,new_device
DEV_000112,CUST_000165,dh_349227660252,mobile_app,new_device
DEV_000113,CUST_000234,dh_430021968403,api,normal
DEV_000114,CUST_000146,dh_765675528886,mobile_app,new_device
DEV_000115,CUST_000263,dh_711022629455,web,new_device
DEV_000116,CUST_000183,dh_105512743313,mobile_app,new_device
DEV_000117,CUST_000554,dh_266847453362,call_center,normal
DEV_000118,CUST_000317,dh_223869173745,api,device_reset
DEV_000119,CUST_000238,dh_329161572665,api,device_reset
DEV_000120,CUST_000084,dh_436295254270,call_center,new_channel
DEV_000121,CUST_000259,dh_761896272778,api,new_device
DEV_000122,CUST_000234,dh_302991441526,api,normal
DEV_000123,CUST_000301,dh_392424734818,web,new_device
DEV_000124,CUST_000719,dh_873607965342,api,new_channel
DEV_000125,CUST_000646,dh_441541056767,call_center,new_channel
DEV_000126,CUST_000191,dh_533424604469,web,device_reset
DEV_000127,CUST_000417,dh_670488357583,call_center,new_device
DEV_000128,CUST_000771,dh_482547130736,mobile_app,device_reset
DEV_000129,CUST_000695,dh_254867831774,call_center,normal
DEV_000130,CUST_000282,dh_878486513250,mobile_app,normal
DEV_000131,CUST_000582,dh_824101817030,mobile_app,new_channel
