signal_id,entity_id,signal_type,severity,source,timestamp
SIG_000000,CUST_000432,unknown_relationship,0.683,wallet,2026-01-01T00:00:00
SIG_000001,CUST_002790,unknown_relationship,0.515,wallet,2026-01-01T01:00:00
SIG_000002,CUST_003685,identity_shift,0.556,telco,2026-01-01T02:00:00
SIG_000003,CUST_001328,identity_shift,0.672,wallet,2026-01-01T03:00:00
SIG_000004,CUST_000192,device_reset,0.589,wallet,2026-01-01T04:00:00
SIG_000005,CUST_001653,device_reset,0.838,telco,2026-01-01T05:00:00
SIG_000006,CUST_001734,new_channel,0.948,wallet,2026-01-01T06:00:00
SIG_000007,CUST_001197,sim_swap_hint,0.423,marketplace,2026-01-01T07:00:00
SIG_000008,CUST_001465,identity_shift,0.715,telco,2026-01-01T08:00:00
SIG_000009,CUST_000155,shared_signal_detected,0.452,marketplace,2026-01-01T09:00:00
SIG_000010,CUST_003954,unknown_relationship,0.502,telco,2026-01-01T10:00:00
SIG_000011,CUST_003949,shared_signal_detected,0.531,wallet,2026-01-01T11:00:00
SIG_000012,CUST_000978,new_channel,0.311,wallet,2026-01-01T12:00:00
SIG_000013,CUST_003882,new_channel,0.686,telco,2026-01-01T13:00:00
SIG_000014,CUST_000560,identity_shift,0.666,telco,2026-01-01T14:00:00
SIG_000015,CUST_002669,new_channel,0.368,telco,2026-01-01T15:00:00
SIG_000016,CUST_004183,sim_swap_hint,0.331,telco,2026-01-01T16:00:00
SIG_000017,CUST_004585,sim_swap_hint,0.421,telco,2026-01-01T17:00:00
SIG_000018,CUST_001179,identity_shift,0.457,telco,2026-01-01T18:00:00
SIG_000019,CUST_004036,identity_shift,0.73,bank,2026-01-01T19:00:00
SIG_000020,CUST_003017,identity_shift,0.852,telco,2026-01-01T20:00:00
SIG_000021,CUST_002488,device_reset,0.538,bank,2026-01-01T21:00:00
SIG_000022,CUST_003963,identity_shift,0.277,bank,2026-01-01T22:00:00
SIG_000023,CUST_004670,device_reset,0.739,bank,2026-01-01T23:00:00
SIG_000024,CUST_002889,sim_swap_hint,0.341,telco,2026-01-02T00:00:00
SIG_000025,CUST_000808,shared_signal_detected,0.629,wallet,2026-01-02T01:00:00
SIG_000026,CUST_001333,shared_signal_detected,0.882,wallet,2026-01-02T02:00:00
SIG_000027,CUST_001301,unknown_relationship,0.559,bank,2026-01-02T03:00:00
SIG_000028,CUST_000873,identity_shift,0.813,wallet,2026-01-02T04:00:00
SIG_000029,CUST_000925,new_channel,0.869,wallet,2026-01-02T05:00:00
SIG_000030,CUST_002142,new_channel,0.55,bank,2026-01-02T06:00:00
SIG_000031,CUST_003392,sim_swap_hint,0.727,marketplace,2026-01-02T07:00:00
SIG_000032,CUST_001340,new_channel,0.4,wallet,2026-01-02T08:00:00
SIG_000033,CUST_001358,new_channel,0.914,marketplace,2026-01-02T09:00:00
SIG_000034,CUST_003518,unknown_relationship,0.423,bank,2026-01-02T10:00:00
SIG_000035,CUST_002258,unknown_relationship,0.703,telco,2026-01-02T11:00:00
SIG_000036,CUST_002397,unknown_relationship,0.369,marketplace,2026-01-02T12:00:00
SIG_000037,CUST_003887,device_reset,0.881,marketplace,2026-01-02T13:00:00
SIG_000038,CUST_003497,identity_shift,0.566,wallet,2026-01-02T14:00:00
SIG_000039,CUST_002795,identity_shift,0.886,marketplace,2026-01-02T15:00:00
SIG_000040,CUST_003313,sim_swap_hint,0.977,marketplace,2026-01-02T16:00:00
SIG_000041,CUST_001960,new_channel,0.257,wallet,2026-01-02T17:00:00
SIG_000042,CUST_004774,unknown_relationship,0.647,wallet,2026-01-02T18:00:00
SIG_000043,CUST_004137,device_reset,0.87,marketplace,2026-01-02T19:00:00
SIG_000044,CUST_003151,identity_shift,0.275,bank,2026-01-02T20:00:00
SIG_000045,CUST_001584,unknown_relationship,0.323,marketplace,2026-01-02T21:00:00
SIG_000046,CUST_001011,identity_shift,0.321,wallet,2026-01-02T22:00:00
SIG_000047,CUST_004384,unknown_relationship,0.363,marketplace,2026-01-02T23:00:00
SIG_000048,CUST_001201,shared_signal_detected,0.945,bank,2026-01-03T00:00:00
SIG_000049,CUST_003799,identity_shift,0.501,bank,2026-01-03T01:00:00
SIG_000050,CUST_002721,identity_shift,0.705,telco,2026-01-03T02:00:00
SIG_000051,CUST_004293,identity_shift,0.414,bank,2026-01-03T03:00:00
SIG_000052,CUST_000761,shared_signal_detected,0.809,wallet,2026-01-03T04:00:00
SIG_000053,CUST_000736,new_channel,0.345,marketplace,2026-01-03T05:00:00
SIG_000054,CUST_000311,new_channel,0.625,marketplace,2026-01-03T06:00:00
SIG_000055,CUST_001639,device_reset,0.837,telco,2026-01-03T07:00:00
SIG_000056,CUST_002262,identity_shift,0.617,marketplace,2026-01-03T08:00:00
SIG_000057,CUST_004800,new_channel,0.82,marketplace,2026-01-03T09:00:00
SIG_000058,CUST_003544,device_reset,0.87,telco,2026-01-03T10:00:00
SIG_000059,CUST_002369,identity_shift,0.443,marketplace,2026-01-03T11:00:00
SIG_000060,CUST_000681,shared_signal_detected,0.579,marketplace,2026-01-03T12:00:00
SIG_000061,CUST_003885,new_channel,0.472,telco,2026-01-03T13:00:00
SIG_000062,CUST_001895,unknown_relationship,0.394,marketplace,2026-01-03T14:00:00
SIG_000063,CUST_004555,identity_shift,0.47,telco,2026-01-03T15:00:00
SIG_000064,CUST_004212,sim_swap_hint,0.574,wallet,2026-01-03T16:00:00
SIG_000065,CUST_000042,identity_shift,0.695,bank,2026-01-03T17:00:00
SIG_000066,EXT_0048,shared_signal_detected,0.818,wallet,2026-01-03T18:00:00
SIG_000067,CUST_000066,sim_swap_hint,0.678,bank,2026-01-03T19:00:00
SIG_000068,CUST_000671,new_channel,0.253,marketplace,2026-01-03T20:00:00
SIG_000069,CUST_002792,shared_signal_detected,0.595,telco,2026-01-03T21:00:00
SIG_000070,CUST_002409,unknown_relationship,0.313,bank,2026-01-03T22:00:00
SIG_000071,CUST_004130,identity_shift,0.86,wallet,2026-01-03T23:00:00
SIG_000072,CUST_000101,sim_swap_hint,0.833,marketplace,2026-01-04T00:00:00
SIG_000073,CUST_003356,device_reset,0.594,bank,2026-01-04T01:00:00
SIG_000074,CUST_004551,identity_shift,0.406,telco,2026-01-04T02:00:00
SIG_000075,MULE_0012,identity_shift,0.658,bank,2026-01-04T03:00:00
SIG_000076,CUST_002239,identity_shift,0.812,wallet,2026-01-04T04:00:00
SIG_000077,CUST_003634,device_reset,0.339,marketplace,2026-01-04T05:00:00
SIG_000078,CUST_002130,unknown_relationship,0.694,marketplace,2026-01-04T06:00:00
SIG_000079,CUST_004738,device_reset,0.361,marketplace,2026-01-04T07:00:00
SIG_000080,CUST_001189,device_reset,0.691,telco,2026-01-04T08:00:00
SIG_000081,CUST_002786,device_reset,0.487,telco,2026-01-04T09:00:00
SIG_000082,CUST_000231,new_channel,0.288,telco,2026-01-04T10:00:00
SIG_000083,CUST_000909,shared_signal_detected,0.548,telco,2026-01-04T11:00:00
SIG_000084,CUST_001671,new_channel,0.378,marketplace,2026-01-04T12:00:00
SIG_000085,CUST_004627,sim_swap_hint,0.506,wallet,2026-01-04T13:00:00
SIG_000086,CUST_001626,unknown_relationship,0.923,wallet,2026-01-04T14:00:00
SIG_000087,CUST_004937,sim_swap_hint,0.757,bank,2026-01-04T15:00:00
SIG_000088,CUST_003887,identity_shift,0.913,bank,2026-01-04T16:00:00
SIG_000089,CUST_004655,device_reset,0.271,telco,2026-01-04T17:00:00
SIG_000090,CUST_001614,device_reset,0.625,bank,2026-01-04T18:00:00
SIG_000091,CUST_000177,identity_shift,0.273,bank,2026-01-04T19:00:00
SIG_000092,CUST_002278,sim_swap_hint,0.667,wallet,2026-01-04T20:00:00
SIG_000093,CUST_002351,new_channel,0.312,wallet,2026-01-04T21:00:00
SIG_000094,CUST_002179,new_channel,0.639,bank,2026-01-04T22:00:00
SIG_000095,CUST_004804,device_reset,0.575,bank,2026-01-04T23:00:00
SIG_000096,CUST_004919,sim_swap_hint,0.558,marketplace,2026-01-05T00:00:00
SIG_000097,CUST_004324,device_reset,0.866,wallet,2026-01-05T01:00:00
SIG_000098,CUST_004589,unknown_relationship,0.584,telco,2026-01-05T02:00:00
SIG_000099,CUST_004881,unknown_relationship,0.843,bank,2026-01-05T03:00:00
SIG_000100,CUST_002442,shared_signal_detected,0.505,marketplace,2026-01-05T04:00:00
SIG_000101,CUST_004697,device_reset,0.87,marketplace,2026-01-05T05:00:00
SIG_000102,CUST_000557,unknown_relationship,0.577,bank,2026-01-05T06:00:00
SIG_000103,CUST_003345,shared_signal_detected,0.955,wallet,2026-01-05T07:00:00
SIG_000104,CUST_002468,device_reset,0.572,telco,2026-01-05T08:00:00
SIG_000105,CUST_001661,device_reset,0.467,telco,2026-01-05T09:00:00
SIG_000106,CUST_004731,sim_swap_hint,0.682,telco,2026-01-05T10:00:00
SIG_000107,CUST_000459,device_reset,0.595,bank,2026-01-05T11:00:00
SIG_000108,CUST_000017,identity_shift,0.731,telco,2026-01-05T12:00:00
SIG_000109,CUST_003147,device_reset,0.75,wallet,2026-01-05T13:00:00
SIG_000110,CUST_001648,identity_shift,0.51,marketplace,2026-01-05T14:00:00
SIG_000111,CUST_001757,sim_swap_hint,0.267,telco,2026-01-05T15:00:00
SIG_000112,CUST_000866,unknown_relationship,0.505,telco,2026-01-05T16:00:00
SIG_000113,CUST_004581,unknown_relationship,0.423,bank,2026-01-05T17:00:00
SIG_000114,CUST_003483,sim_swap_hint,0.382,bank,2026-01-05T18:00:00
SIG_000115,CUST_004132,identity_shift,0.382,bank,2026-01-05T19:00:00
SIG_000116,CUST_002222,unknown_relationship,0.4,wallet,2026-01-05T20:00:00
SIG_000117,CUST_000152,identity_shift,0.485,bank,2026-01-05T21:00:00
SIG_000118,CUST_003517,unknown_relationship,0.586,bank,2026-01-05T22:00:00
SIG_000119,CUST_003769,new_channel,0.436,telco,2026-01-05T23:00:00
SIG_000120,CUST_002471,device_reset,0.327,wallet,2026-01-06T00:00:00
SIG_000121,CUST_001281,unknown_relationship,0.679,telco,2026-01-06T01:00:00
SIG_000122,CUST_000287,identity_shift,0.526,bank,2026-01-06T02:00:00
SIG_000123,CUST_001451,sim_swap_hint,0.301,wallet,2026-01-06T03:00:00
SIG_000124,CUST_004577,sim_swap_hint,0.25,telco,2026-01-06T04:00:00
SIG_000125,CUST_002809,new_channel,0.348,marketplace,2026-01-06T05:00:00
SIG_000126,CUST_000426,device_reset,0.285,wallet,2026-01-06T06:00:00
SIG_000127,CUST_002457,shared_signal_detected,0.805,wallet,2026-01-06T07:00:00
SIG_000128,CUST_004120,device_reset,0.874,wallet,2026-01-06T08:00:00
SIG_000129,CUST_000492,shared_signal_detected,0.291,bank,2026-01-06T09:00:00
SIG_000130,CUST_004159,unknown_relationship,0.45,telco,2026-01-06T10:00:00
SIG_000131,CUST_004982,unknown_relationship,0.514,marketplace,2026-01-06T11:00:00
SIG_000132,CUST_003125,identity_shift,0.292,telco,2026-01-06T12:00:00
SIG_000133,CUST_002198,unknown_relationship,0.421,telco,2026-01-06T13:00:00
SIG_000134,CUST_003601,new_channel,0.938,marketplace,2026-01-06T14:00:00
SIG_000135,CUST_000984,identity_shift,0.457,marketplace,2026-01-06T15:00:00
SIG_000136,CUST_000514,new_channel,0.935,wallet,2026-01-06T16:00:00
SIG_000137,CUST_002607,new_channel,0.806,wallet,2026-01-06T17:00:00
SIG_000138,CUST_003009,sim_swap_hint,0.516,telco,2026-01-06T18:00:00
SIG_000139,CUST_004224,shared_signal_detected,0.569,telco,2026-01-06T19:00:00
SIG_000140,CUST_004440,unknown_relationship,0.47,marketplace,2026-01-06T20:00:00
SIG_000141,CUST_000783,shared_signal_detected,0.636,wallet,2026-01-06T21:00:00
SIG_000142,CUST_000379,sim_swap_hint,0.975,bank,2026-01-06T22:00:00
SIG_000143,CUST_002120,unknown_relationship,0.322,bank,2026-01-06T23:00:00
SIG_000144,CUST_003522,identity_shift,0.878,wallet,2026-01-07T00:00:00
SIG_000145,CUST_003631,device_reset,0.797,telco,2026-01-07T01:00:00
SIG_000146,CUST_003105,sim_swap_hint,0.887,wallet,2026-01-07T02:00:00
SIG_000147,CUST_004095,sim_swap_hint,0.421,telco,2026-01-07T03:00:00
SIG_000148,CUST_001063,shared_signal_detected,0.564,telco,2026-01-07T04:00:00
SIG_000149,CUST_002754,sim_swap_hint,0.464,telco,2026-01-07T05:00:00
SIG_000150,CUST_003220,unknown_relationship,0.263,marketplace,2026-01-07T06:00:00
SIG_000151,CUST_004254,sim_swap_hint,0.599,wallet,2026-01-07T07:00:00
SIG_000152,CUST_003068,sim_swap_hint,0.63,bank,2026-01-07T08:00:00
SIG_000153,CUST_004460,device_reset,0.705,telco,2026-01-07T09:00:00
SIG_000154,CUST_004041,shared_signal_detected,0.654,marketplace,2026-01-07T10:00:00
SIG_000155,CUST_003376,unknown_relationship,0.969,telco,2026-01-07T11:00:00
SIG_000156,CUST_002846,sim_swap_hint,0.861,bank,2026-01-07T12:00:00
SIG_000157,CUST_000200,new_channel,0.527,wallet,2026-01-07T13:00:00
SIG_000158,CUST_001656,device_reset,0.602,bank,2026-01-07T14:00:00
SIG_000159,CUST_000198,device_reset,0.524,marketplace,2026-01-07T15:00:00
SIG_000160,CUST_002261,unknown_relationship,0.302,telco,2026-01-07T16:00:00
SIG_000161,CUST_000618,shared_signal_detected,0.781,marketplace,2026-01-07T17:00:00
SIG_000162,CUST_001123,device_reset,0.304,bank,2026-01-07T18:00:00
SIG_000163,CUST_003736,unknown_relationship,0.715,wallet,2026-01-07T19:00:00
SIG_000164,CUST_003947,sim_swap_hint,0.777,telco,2026-01-07T20:00:00
SIG_000165,CUST_003876,sim_swap_hint,0.808,bank,2026-01-07T21:00:00
SIG_000166,CUST_002513,device_reset,0.351,bank,2026-01-07T22:00:00
SIG_000167,CUST_002882,unknown_relationship,0.586,telco,2026-01-07T23:00:00
SIG_000168,CUST_003757,sim_swap_hint,0.617,wallet,2026-01-08T00:00:00
