device_id,customer_id,device_hash,channel,risk_hint
DEV_000000,CUST_013270,dh_113997303513,web,normal
DEV_000001,CUST_013153,dh_285399407823,call_center,new_channel
DEV_000002,CUST_002531,dh_148799211173,mobile_app,device_reset
DEV_000003,CUST_019199,dh_817257206868,web,device_reset
DEV_000004,CUST_007868,dh_635788548477,call_center,new_device
DEV_000005,CUST_017991,dh_871624725842,api,normal
DEV_000006,CUST_010683,dh_169597857632,api,device_reset
DEV_000007,CUST_014405,dh_282784844226,mobile_app,device_reset
DEV_000008,CUST_012279,dh_379936850546,api,new_device
DEV_000009,CUST_011167,dh_723395314870,api,new_device
DEV_000010,CUST_006290,dh_41869789066,web,normal
DEV_000011,CUST_000307,dh_999242209658,mobile_app,normal
DEV_000012,CUST_003313,dh_141891926304,api,normal
DEV_000013,CUST_018436,dh_855341361565,api,new_channel
DEV_000014,CUST_003243,dh_621870412225,api,device_reset
DEV_000015,CUST_012112,dh_470746047660,web,new_channel
DEV_000016,CUST_008769,dh_241342456806,call_center,normal
DEV_000017,CUST_005157,dh_738360579222,call_center,normal
DEV_000018,CUST_016914,dh_397675915308,call_center,device_reset
DEV_000019,CUST_019590,dh_707606294468,mobile_app,new_device
DEV_000020,CUST_011019,dh_514376806624,api,new_channel
DEV_000021,CUST_001846,dh_489985928713,web,new_channel
DEV_000022,CUST_018073,dh_504853095423,web,device_reset
DEV_000023,CUST_011630,dh_958761190823,call_center,normal
DEV_000024,CUST_008652,dh_365048602726,api,normal
DEV_000025,CUST_019723,dh_356918101481,call_center,device_reset
DEV_000026,CUST_014474,dh_23763743780,mobile_app,device_reset
DEV_000027,CUST_015555,dh_803206321603,api,new_channel
DEV_000028,CUST_002237,dh_502413602618,web,normal
DEV_000029,CUST_019600,dh_80058100172,api,normal
DEV_000030,CUST_019668,dh_24909617532,mobile_app,new_device
DEV_000031,CUST_006384,dh_174429698510,mobile_app,normal
DEV_000032,CUST_016653,dh_816510949746,api,device_reset
DEV_000033,CUST_018737,dh_162068520729,mobile_app,normal
DEV_000034,CUST_015496,dh_830435287780,web,normal
DEV_000035,CUST_016000,dh_796774094083,api,normal
