device_id,customer_id,device_hash,channel,risk_hint
DEV_000000,CUST_000064,dh_691266380985,api,device_reset
DEV_000001,CUST_006266,dh_587457882269,mobile_app,device_reset
DEV_000002,CUST_000902,dh_435219870298,api,normal
DEV_000003,CUST_013837,dh_128742227026,mobile_app,new_device
DEV_000004,CUST_007691,dh_663804507924,call_center,normal
DEV_000005,CUST_015086,dh_708940311905,mobile_app,new_device
DEV_000006,CUST_014501,dh_912301993934,mobile_app,new_channel
DEV_000007,CUST_019824,dh_343594310885,api,normal
DEV_000008,CUST_011778,dh_277428401811,api,normal
DEV_000009,CUST_014390,dh_779528155779,call_center,new_device
DEV_000010,CUST_010855,dh_901637107393,mobile_app,normal
DEV_000011,CUST_012874,dh_583167298921,api,device_reset
DEV_000012,CUST_000046,dh_883141102765,mobile_app,normal
DEV_000013,CUST_002167,dh_202954168824,api,new_device
DEV_000014,CUST_002209,dh_974832049355,call_center,device_reset
DEV_000015,CUST_014139,dh_717953712638,api,normal
DEV_000016,CUST_008157,dh_187712555982,call_center,device_reset
DEV_000017,CUST_012268,dh_731279907560,api,normal
DEV_000018,CUST_000223,dh_649650104557,mobile_app,normal
DEV_000019,CUST_012083,dh_657798521624,call_center,normal
DEV_000020,CUST_014581,dh_175519272542,api,new_device
DEV_000021,CUST_009690,dh_744125954065,api,new_device
DEV_000022,CUST_015935,dh_880965952351,call_center,new_device
DEV_000023,CUST_005546,dh_760984484626,api,device_reset
DEV_000024,CUST_017693,dh_211054358598,mobile_app,device_reset
DEV_000025,CUST_019648,dh_402572730383,call_center,normal
DEV_000026,CUST_014822,dh_759133792904,api,device_reset
DEV_000027,CUST_015315,dh_834228127517,web,normal
DEV_000028,CUST_012175,dh_83200454155,call_center,new_device
DEV_000029,CUST_015882,dh_5126156771,api,new_channel
DEV_000030,CUST_002324,dh_123873384418,mobile_app,normal
DEV_000031,CUST_002471,dh_173877204454,call_center,normal
DEV_000032,CUST_000578,dh_464027358476,mobile_app,device_reset
DEV_000033,CUST_001107,dh_143292271929,mobile_app,normal
DEV_000034,CUST_014730,dh_848493618245,call_center,new_device
DEV_000035,CUST_016793,dh_286800251859,api,new_channel
DEV_000036,CUST_016184,dh_721888912732,call_center,normal
DEV_000037,CUST_009541,dh_154307871162,mobile_app,new_channel
DEV_000038,CUST_005922,dh_17227733885,web,device_reset
DEV_000039,CUST_004645,dh_830770793633,call_center,normal
DEV_000040,CUST_016317,dh_271351950696,call_center,device_reset
DEV_000041,CUST_007539,dh_457011007257,call_center,new_channel
DEV_000042,CUST_006182,dh_348511161672,call_center,new_channel
