signal_id,entity_id,signal_type,severity,source,timestamp
SIG_000000,CUST_007893,new_channel,0.534,marketplace,2026-01-01T00:00:00
SIG_000001,CUST_000066,identity_shift,0.956,telco,2026-01-01T01:00:00
SIG_000002,CUST_010661,shared_signal_detected,0.734,telco,2026-01-01T02:00:00
SIG_000003,CUST_004388,shared_signal_detected,0.256,telco,2026-01-01T03:00:00
SIG_000004,CUST_007709,unknown_relationship,0.464,bank,2026-01-01T04:00:00
SIG_000005,CUST_003952,device_reset,0.79,wallet,2026-01-01T05:00:00
SIG_000006,CUST_008972,identity_shift,0.503,marketplace,2026-01-01T06:00:00
SIG_000007,CUST_000895,new_channel,0.963,wallet,2026-01-01T07:00:00
SIG_000008,CUST_003328,identity_shift,0.639,telco,2026-01-01T08:00:00
SIG_000009,CUST_017127,sim_swap_hint,0.583,wallet,2026-01-01T09:00:00
SIG_000010,CUST_000938,identity_shift,0.7,telco,2026-01-01T10:00:00
SIG_000011,CUST_016768,identity_shift,0.482,telco,2026-01-01T11:00:00
SIG_000012,MULE_0014,shared_signal_detected,0.778,wallet,2026-01-01T12:00:00
SIG_000013,CUST_007537,sim_swap_hint,0.76,wallet,2026-01-01T13:00:00
SIG_000014,CUST_006544,identity_shift,0.685,marketplace,2026-01-01T14:00:00
SIG_000015,CUST_010196,shared_signal_detected,0.978,wallet,2026-01-01T15:00:00
SIG_000016,CUST_006534,new_channel,0.271,wallet,2026-01-01T16:00:00
SIG_000017,CUST_017093,sim_swap_hint,0.846,telco,2026-01-01T17:00:00
SIG_000018,CUST_015624,device_reset,0.76,telco,2026-01-01T18:00:00
SIG_000019,CUST_002118,device_reset,0.482,wallet,2026-01-01T19:00:00
SIG_000020,CUST_006988,identity_shift,0.735,marketplace,2026-01-01T20:00:00
SIG_000021,CUST_013421,shared_signal_detected,0.695,marketplace,2026-01-01T21:00:00
SIG_000022,CUST_005931,device_reset,0.834,wallet,2026-01-01T22:00:00
SIG_000023,CUST_015992,new_channel,0.341,marketplace,2026-01-01T23:00:00
SIG_000024,CUST_000744,device_reset,0.551,wallet,2026-01-02T00:00:00
SIG_000025,CUST_015547,device_reset,0.817,bank,2026-01-02T01:00:00
SIG_000026,CUST_009205,identity_shift,0.595,wallet,2026-01-02T02:00:00
SIG_000027,CUST_017526,sim_swap_hint,0.596,telco,2026-01-02T03:00:00
SIG_000028,CUST_018028,unknown_relationship,0.498,marketplace,2026-01-02T04:00:00
SIG_000029,CUST_003983,shared_signal_detected,0.45,marketplace,2026-01-02T05:00:00
SIG_000030,CUST_012601,sim_swap_hint,0.686,marketplace,2026-01-02T06:00:00
SIG_000031,CUST_005081,device_reset,0.279,marketplace,2026-01-02T07:00:00
SIG_000032,CUST_001034,device_reset,0.814,wallet,2026-01-02T08:00:00
SIG_000033,CUST_007954,identity_shift,0.645,telco,2026-01-02T09:00:00
SIG_000034,CUST_019258,identity_shift,0.337,wallet,2026-01-02T10:00:00
SIG_000035,CUST_008811,shared_signal_detected,0.65,bank,2026-01-02T11:00:00
SIG_000036,CUST_007064,new_channel,0.395,bank,2026-01-02T12:00:00
SIG_000037,CUST_017970,device_reset,0.476,wallet,2026-01-02T13:00:00
SIG_000038,CUST_015550,identity_shift,0.33,telco,2026-01-02T14:00:00
SIG_000039,CUST_016314,identity_shift,0.255,wallet,2026-01-02T15:00:00
SIG_000040,CUST_008314,identity_shift,0.733,telco,2026-01-02T16:00:00
SIG_000041,CUST_017186,shared_signal_detected,0.316,bank,2026-01-02T17:00:00
SIG_000042,CUST_001942,device_reset,0.791,marketplace,2026-01-02T18:00:00
SIG_000043,CUST_006915,new_channel,0.926,bank,2026-01-02T19:00:00
SIG_000044,MULE_0061,identity_shift,0.768,telco,2026-01-02T20:00:00
SIG_000045,BAD_0025,unknown_relationship,0.349,telco,2026-01-02T21:00:00
SIG_000046,CUST_012952,identity_shift,0.321,wallet,2026-01-02T22:00:00
SIG_000047,CUST_008445,shared_signal_detected,0.702,telco,2026-01-02T23:00:00
SIG_000048,CUST_006626,sim_swap_hint,0.894,telco,2026-01-03T00:00:00
SIG_000049,CUST_002792,new_channel,0.362,telco,2026-01-03T01:00:00
SIG_000050,CUST_018269,identity_shift,0.565,marketplace,2026-01-03T02:00:00
SIG_000051,CUST_008970,identity_shift,0.851,wallet,2026-01-03T03:00:00
SIG_000052,CUST_019896,unknown_relationship,0.783,wallet,2026-01-03T04:00:00
SIG_000053,CUST_006446,unknown_relationship,0.743,bank,2026-01-03T05:00:00
SIG_000054,CUST_016438,new_channel,0.433,wallet,2026-01-03T06:00:00
SIG_000055,CUST_013445,device_reset,0.417,wallet,2026-01-03T07:00:00
SIG_000056,CUST_003126,new_channel,0.808,wallet,2026-01-03T08:00:00
SIG_000057,CUST_010335,new_channel,0.383,telco,2026-01-03T09:00:00
SIG_000058,CUST_004697,identity_shift,0.439,marketplace,2026-01-03T10:00:00
SIG_000059,CUST_011057,identity_shift,0.741,bank,2026-01-03T11:00:00
SIG_000060,CUST_005768,new_channel,0.382,marketplace,2026-01-03T12:00:00
SIG_000061,CUST_000972,device_reset,0.739,wallet,2026-01-03T13:00:00
SIG_000062,CUST_004130,unknown_relationship,0.84,marketplace,2026-01-03T14:00:00
SIG_000063,CUST_012869,unknown_relationship,0.555,telco,2026-01-03T15:00:00
SIG_000064,CUST_016680,device_reset,0.955,wallet,2026-01-03T16:00:00
SIG_000065,CUST_009522,shared_signal_detected,0.789,telco,2026-01-03T17:00:00
SIG_000066,CUST_005835,sim_swap_hint,0.258,marketplace,2026-01-03T18:00:00
SIG_000067,CUST_011121,new_channel,0.438,marketplace,2026-01-03T19:00:00
SIG_000068,CUST_008519,shared_signal_detected,0.874,telco,2026-01-03T20:00:00
SIG_000069,CUST_016763,sim_swap_hint,0.461,marketplace,2026-01-03T21:00:00
SIG_000070,CUST_014807,identity_shift,0.347,bank,2026-01-03T22:00:00
SIG_000071,CUST_008880,device_reset,0.571,telco,2026-01-03T23:00:00
SIG_000072,CUST_009441,device_reset,0.516,bank,2026-01-04T00:00:00
SIG_000073,CUST_003884,unknown_relationship,0.705,bank,2026-01-04T01:00:00
SIG_000074,CUST_013619,sim_swap_hint,0.62,marketplace,2026-01-04T02:00:00
SIG_000075,CUST_009776,sim_swap_hint,0.307,wallet,2026-01-04T03:00:00
SIG_000076,CUST_009762,new_channel,0.963,wallet,2026-01-04T04:00:00
SIG_000077,CUST_009790,device_reset,0.839,telco,2026-01-04T05:00:00
SIG_000078,CUST_002357,shared_signal_detected,0.432,wallet,2026-01-04T06:00:00
SIG_000079,CUST_016410,sim_swap_hint,0.77,marketplace,2026-01-04T07:00:00
SIG_000080,CUST_007809,device_reset,0.722,telco,2026-01-04T08:00:00
SIG_000081,CUST_009937,identity_shift,0.819,wallet,2026-01-04T09:00:00
SIG_000082,CUST_008754,device_reset,0.797,wallet,2026-01-04T10:00:00
SIG_000083,CUST_018588,sim_swap_hint,0.306,telco,2026-01-04T11:00:00
SIG_000084,CUST_008170,unknown_relationship,0.582,bank,2026-01-04T12:00:00
SIG_000085,CUST_013877,shared_signal_detected,0.616,telco,2026-01-04T13:00:00
SIG_000086,CUST_003196,shared_signal_detected,0.427,telco,2026-01-04T14:00:00
SIG_000087,EXT_0039,device_reset,0.275,marketplace,2026-01-04T15:00:00
SIG_000088,CUST_010187,device_reset,0.746,wallet,2026-01-04T16:00:00
SIG_000089,CUST_001177,identity_shift,0.798,marketplace,2026-01-04T17:00:00
SIG_000090,CUST_005958,sim_swap_hint,0.565,bank,2026-01-04T18:00:00
SIG_000091,CUST_015482,shared_signal_detected,0.965,bank,2026-01-04T19:00:00
SIG_000092,CUST_019947,sim_swap_hint,0.582,wallet,2026-01-04T20:00:00
SIG_000093,CUST_009923,unknown_relationship,0.788,marketplace,2026-01-04T21:00:00
SIG_000094,CUST_006550,shared_signal_detected,0.978,telco,2026-01-04T22:00:00
SIG_000095,CUST_004069,identity_shift,0.472,telco,2026-01-04T23:00:00
SIG_000096,CUST_015294,unknown_relationship,0.716,wallet,2026-01-05T00:00:00
SIG_000097,CUST_018365,identity_shift,0.562,marketplace,2026-01-05T01:00:00
SIG_000098,CUST_000129,shared_signal_detected,0.433,telco,2026-01-05T02:00:00
SIG_000099,CUST_013721,unknown_relationship,0.802,marketplace,2026-01-05T03:00:00
SIG_000100,CUST_018457,device_reset,0.869,telco,2026-01-05T04:00:00
SIG_000101,CUST_009518,identity_shift,0.464,telco,2026-01-05T05:00:00
SIG_000102,CUST_008063,identity_shift,0.304,bank,2026-01-05T06:00:00
SIG_000103,CUST_011216,sim_swap_hint,0.467,wallet,2026-01-05T07:00:00
SIG_000104,CUST_004580,unknown_relationship,0.294,bank,2026-01-05T08:00:00
SIG_000105,CUST_001794,unknown_relationship,0.551,telco,2026-01-05T09:00:00
SIG_000106,CUST_012445,shared_signal_detected,0.502,bank,2026-01-05T10:00:00
SIG_000107,CUST_013652,sim_swap_hint,0.443,wallet,2026-01-05T11:00:00
SIG_000108,CUST_016556,new_channel,0.261,marketplace,2026-01-05T12:00:00
SIG_000109,CUST_012047,identity_shift,0.467,marketplace,2026-01-05T13:00:00
SIG_000110,CUST_019397,device_reset,0.84,bank,2026-01-05T14:00:00
SIG_000111,CUST_019307,shared_signal_detected,0.668,wallet,2026-01-05T15:00:00
SIG_000112,CUST_014928,unknown_relationship,0.542,telco,2026-01-05T16:00:00
