event_id,source_id,target_id,event_type,context,amount,label,timestamp
EVT_0000000,CUST_001871,CUST_000465,p2p,commerce,866,normal,2026-01-01T00:00:00
EVT_0000001,CUST_004270,CUST_000231,payment,salary,930,normal,2026-01-01T00:01:00
EVT_0000002,CUST_000068,MULE_0009,transfer,urgent_transfer,1885,mule_pattern,2026-01-01T00:02:00
EVT_0000003,CUST_000258,MULE_0003,transfer,social_engineering,2070,social_chain,2026-01-01T00:03:00
EVT_0000004,CUST_004549,CUST_004048,p2p,bill_payment,358,normal,2026-01-01T00:04:00
EVT_0000005,CUST_004744,CUST_000417,p2p,salary,1632,normal,2026-01-01T00:05:00
EVT_0000006,CUST_001099,CUST_000288,payment,payroll,2153,normal,2026-01-01T00:06:00
EVT_0000007,CUST_002293,CUST_001787,transfer,family,2397,normal,2026-01-01T00:07:00
EVT_0000008,CUST_000034,CUST_000589,payment,salary,1511,normal,2026-01-01T00:08:00
EVT_0000009,CUST_003922,CUST_001580,p2p,commerce,2487,normal,2026-01-01T00:09:00
EVT_0000010,CUST_003820,CUST_000716,transfer,commerce,1664,normal,2026-01-01T00:10:00
EVT_0000011,CUST_004769,CUST_001431,p2p,salary,2314,normal,2026-01-01T00:11:00
EVT_0000012,CUST_001003,CUST_002708,p2p,salary,1827,normal,2026-01-01T00:12:00
EVT_0000013,CUST_000588,CUST_004167,transfer,bill_payment,1558,normal,2026-01-01T00:13:00
EVT_0000014,CUST_002630,EXT_0012,p2p,bill_payment,1435,normal,2026-01-01T00:14:00
EVT_0000015,CUST_003751,CUST_002232,transfer,commerce,1621,normal,2026-01-01T00:15:00
EVT_0000016,CUST_004086,CUST_001336,p2p,commerce,1076,normal,2026-01-01T00:16:00
EVT_0000017,CUST_000172,CUST_004196,payment,salary,400,normal,2026-01-01T00:17:00
EVT_0000018,CUST_000328,CUST_003276,transfer,salary,2073,normal,2026-01-01T00:18:00
EVT_0000019,CUST_004384,CUST_000377,payment,salary,222,normal,2026-01-01T00:19:00
EVT_0000020,CUST_003350,CUST_003467,p2p,salary,2056,normal,2026-01-01T00:20:00
EVT_0000021,CUST_002498,CUST_000344,payment,payroll,79,normal,2026-01-01T00:21:00
EVT_0000022,CUST_001570,CUST_004907,transfer,bill_payment,1542,normal,2026-01-01T00:22:00
EVT_0000023,CUST_002294,CUST_001822,transfer,bill_payment,1147,normal,2026-01-01T00:23:00
EVT_0000024,CUST_004760,CUST_004719,transfer,salary,933,normal,2026-01-01T00:24:00
EVT_0000025,CUST_001134,CUST_002144,payment,salary,2417,normal,2026-01-01T00:25:00
EVT_0000026,CUST_003178,CUST_000313,payment,commerce,1100,normal,2026-01-01T00:26:00
EVT_0000027,CUST_004403,CUST_004941,payment,family,29,normal,2026-01-01T00:27:00
EVT_0000028,CUST_000196,CUST_004978,p2p,salary,437,normal,2026-01-01T00:28:00
EVT_0000029,CUST_001207,CUST_000870,transfer,family,342,normal,2026-01-01T00:29:00
EVT_0000030,CUST_004297,CUST_004785,p2p,payroll,578,normal,2026-01-01T00:30:00
EVT_0000031,CUST_001587,CUST_004505,payment,commerce,132,normal,2026-01-01T00:31:00
EVT_0000032,CUST_002637,CUST_002074,p2p,commerce,1998,normal,2026-01-01T00:32:00
EVT_0000033,CUST_000148,CUST_002591,payment,bill_payment,334,normal,2026-01-01T00:33:00
EVT_0000034,CUST_004116,CUST_001341,payment,commerce,684,normal,2026-01-01T00:34:00
EVT_0000035,CUST_001549,CUST_003954,p2p,bill_payment,2179,normal,2026-01-01T00:35:00
EVT_0000036,CUST_000179,CUST_004625,transfer,family,1826,normal,2026-01-01T00:36:00
EVT_0000037,CUST_002774,CUST_003669,transfer,bill_payment,1777,normal,2026-01-01T00:37:00
EVT_0000038,CUST_002421,CUST_001252,p2p,payroll,369,normal,2026-01-01T00:38:00
EVT_0000039,CUST_001414,CUST_003883,transfer,commerce,694,normal,2026-01-01T00:39:00
EVT_0000040,CUST_003334,CUST_000021,payment,commerce,1902,normal,2026-01-01T00:40:00
EVT_0000041,CUST_000875,CUST_001803,payment,commerce,1372,normal,2026-01-01T00:41:00
EVT_0000042,CUST_000283,BAD_0007,transfer,social_engineering,2129,social_chain,2026-01-01T00:42:00
EVT_0000043,CUST_001022,CUST_003301,transfer,payroll,2418,normal,2026-01-01T00:43:00
EVT_0000044,CUST_003672,CUST_001247,p2p,bill_payment,175,normal,2026-01-01T00:44:00
EVT_0000045,CUST_002487,CUST_002792,transfer,commerce,902,normal,2026-01-01T00:45:00
EVT_0000046,CUST_004463,CUST_004994,p2p,commerce,632,normal,2026-01-01T00:46:00
EVT_0000047,CUST_003143,CUST_001228,payment,payroll,1510,normal,2026-01-01T00:47:00
EVT_0000048,CUST_003823,CUST_001040,p2p,salary,1200,normal,2026-01-01T00:48:00
EVT_0000049,CUST_002336,CUST_000739,transfer,bill_payment,1303,normal,2026-01-01T00:49:00
EVT_0000050,CUST_004513,CUST_000630,payment,salary,1178,normal,2026-01-01T00:50:00
EVT_0000051,CUST_000803,CUST_004494,payment,payroll,868,normal,2026-01-01T00:51:00
EVT_0000052,CUST_003134,CUST_002744,transfer,family,1377,normal,2026-01-01T00:52:00
EVT_0000053,CUST_001847,CUST_002879,payment,bill_payment,977,normal,2026-01-01T00:53:00
EVT_0000054,CUST_000477,CUST_001067,transfer,payroll,884,normal,2026-01-01T00:54:00
EVT_0000055,CUST_004053,CUST_004083,transfer,payroll,1283,normal,2026-01-01T00:55:00
EVT_0000056,CUST_004821,CUST_001739,p2p,salary,419,normal,2026-01-01T00:56:00
EVT_0000057,CUST_001046,CUST_000449,p2p,payroll,1114,normal,2026-01-01T00:57:00
EVT_0000058,CUST_004861,CUST_002331,transfer,payroll,1063,normal,2026-01-01T00:58:00
EVT_0000059,CUST_001678,CUST_001394,payment,bill_payment,1608,normal,2026-01-01T00:59:00
EVT_0000060,CUST_004991,CUST_000662,transfer,salary,2288,normal,2026-01-01T01:00:00
EVT_0000061,CUST_003098,CUST_001058,payment,bill_payment,201,normal,2026-01-01T01:01:00
EVT_0000062,CUST_004792,CUST_002426,transfer,payroll,624,normal,2026-01-01T01:02:00
EVT_0000063,CUST_002003,CUST_002305,payment,bill_payment,661,normal,2026-01-01T01:03:00
EVT_0000064,CUST_002116,CUST_002835,transfer,bill_payment,140,normal,2026-01-01T01:04:00
EVT_0000065,CUST_002754,CUST_003856,p2p,bill_payment,2022,normal,2026-01-01T01:05:00
EVT_0000066,CUST_000307,CUST_004510,transfer,bill_payment,1406,normal,2026-01-01T01:06:00
EVT_0000067,CUST_004818,CUST_002451,p2p,bill_payment,491,normal,2026-01-01T01:07:00
EVT_0000068,CUST_000595,CUST_003305,p2p,salary,1634,normal,2026-01-01T01:08:00
EVT_0000069,CUST_004407,CUST_000608,transfer,commerce,52,normal,2026-01-01T01:09:00
EVT_0000070,CUST_004017,CUST_002172,payment,payroll,1371,normal,2026-01-01T01:10:00
EVT_0000071,CUST_000119,CUST_004254,payment,salary,607,normal,2026-01-01T01:11:00
EVT_0000072,CUST_001818,CUST_001012,p2p,payroll,1197,normal,2026-01-01T01:12:00
EVT_0000073,CUST_002188,CUST_004521,payment,family,1793,normal,2026-01-01T01:13:00
EVT_0000074,CUST_001985,CUST_003633,payment,salary,373,normal,2026-01-01T01:14:00
EVT_0000075,CUST_000421,CUST_002196,p2p,commerce,2402,normal,2026-01-01T01:15:00
EVT_0000076,CUST_003441,CUST_001373,p2p,family,732,normal,2026-01-01T01:16:00
EVT_0000077,CUST_003744,CUST_002167,transfer,payroll,1648,normal,2026-01-01T01:17:00
EVT_0000078,CUST_004086,CUST_000279,transfer,commerce,974,normal,2026-01-01T01:18:00
EVT_0000079,CUST_002469,CUST_003580,payment,salary,815,normal,2026-01-01T01:19:00
EVT_0000080,CUST_002625,CUST_001762,transfer,payroll,2096,normal,2026-01-01T01:20:00
EVT_0000081,CUST_000511,CUST_002771,p2p,commerce,414,normal,2026-01-01T01:21:00
EVT_0000082,CUST_000222,CUST_001846,payment,salary,416,normal,2026-01-01T01:22:00
EVT_0000083,CUST_004914,CUST_000971,p2p,bill_payment,1752,normal,2026-01-01T01:23:00
EVT_0000084,CUST_004658,CUST_000646,p2p,payroll,923,normal,2026-01-01T01:24:00
EVT_0000085,CUST_000914,CUST_001345,payment,family,2390,normal,2026-01-01T01:25:00
EVT_0000086,BAD_0010,CUST_002270,message,fake_receipt,1302,scam_ring,2026-01-01T01:26:00
EVT_0000087,CUST_004554,CUST_004161,payment,salary,360,normal,2026-01-01T01:27:00
EVT_0000088,CUST_004487,CUST_002891,p2p,salary,900,normal,2026-01-01T01:28:00
EVT_0000089,CUST_001452,CUST_004164,payment,salary,302,normal,2026-01-01T01:29:00
EVT_0000090,CUST_002094,CUST_001607,payment,family,836,normal,2026-01-01T01:30:00
EVT_0000091,CUST_001715,CUST_002429,p2p,bill_payment,2115,normal,2026-01-01T01:31:00
EVT_0000092,CUST_003353,CUST_003257,transfer,family,2120,normal,2026-01-01T01:32:00
EVT_0000093,CUST_002306,CUST_004101,payment,commerce,2171,normal,2026-01-01T01:33:00
EVT_0000094,CUST_000561,CUST_004130,payment,commerce,1960,normal,2026-01-01T01:34:00
EVT_0000095,CUST_001370,CUST_001355,p2p,commerce,2480,normal,2026-01-01T01:35:00
EVT_0000096,CUST_002592,CUST_002811,transfer,salary,279,normal,2026-01-01T01:36:00
EVT_0000097,CUST_001530,CUST_004985,transfer,commerce,404,normal,2026-01-01T01:37:00
EVT_0000098,CUST_002647,EXT_0021,payment,salary,2465,normal,2026-01-01T01:38:00
EVT_0000099,CUST_000618,CUST_001695,payment,family,1777,normal,2026-01-01T01:39:00
EVT_0000100,CUST_000152,CUST_004583,payment,family,1680,normal,2026-01-01T01:40:00
EVT_0000101,CUST_000302,CUST_000316,payment,bill_payment,599,normal,2026-01-01T01:41:00
EVT_0000102,CUST_001078,CUST_002878,transfer,payroll,970,normal,2026-01-01T01:42:00
EVT_0000103,CUST_000575,CUST_002843,p2p,salary,1936,normal,2026-01-01T01:43:00
EVT_0000104,CUST_003597,CUST_003040,p2p,payroll,113,normal,2026-01-01T01:44:00
EVT_0000105,CUST_002272,CUST_003803,p2p,family,570,normal,2026-01-01T01:45:00
EVT_0000106,CUST_000074,CUST_003398,transfer,payroll,1264,normal,2026-01-01T01:46:00
EVT_0000107,CUST_000332,EXT_0057,p2p,commerce,1273,normal,2026-01-01T01:47:00
EVT_0000108,CUST_000199,MULE_0001,transfer,social_engineering,674,social_chain,2026-01-01T01:48:00
EVT_0000109,CUST_001782,CUST_003278,transfer,family,87,normal,2026-01-01T01:49:00
EVT_0000110,CUST_001237,CUST_000364,transfer,commerce,2420,normal,2026-01-01T01:50:00
EVT_0000111,CUST_003532,CUST_002891,transfer,bill_payment,2469,normal,2026-01-01T01:51:00
