device_id,customer_id,device_hash,channel,risk_hint
DEV_000000,CUST_013534,dh_643289337385,mobile_app,normal
DEV_000001,CUST_016634,dh_74665208476,web,normal
DEV_000002,CUST_011843,dh_899717651198,web,device_reset
DEV_000003,CUST_006217,dh_821614940571,api,new_channel
DEV_000004,CUST_006258,dh_213091218208,mobile_app,new_device
DEV_000005,CUST_012184,dh_312019226149,mobile_app,new_channel
DEV_000006,CUST_001720,dh_619253835739,web,new_channel
DEV_000007,CUST_005951,dh_183525373438,mobile_app,device_reset
DEV_000008,CUST_009340,dh_1086844089,api,normal
DEV_000009,CUST_008239,dh_734929568442,web,normal
DEV_000010,CUST_008102,dh_968840126672,call_center,normal
DEV_000011,CUST_003307,dh_13335678768,web,new_channel
DEV_000012,CUST_001646,dh_813413083291,api,device_reset
DEV_000013,CUST_009368,dh_807046914469,mobile_app,new_channel
DEV_000014,CUST_010427,dh_740479943418,web,device_reset
DEV_000015,CUST_019004,dh_615525376506,call_center,new_channel
DEV_000016,CUST_000916,dh_281752774342,mobile_app,new_device
DEV_000017,CUST_011662,dh_108476699483,web,new_device
DEV_000018,CUST_019313,dh_747094764561,api,new_device
DEV_000019,CUST_000231,dh_756248152158,mobile_app,new_device
DEV_000020,CUST_013891,dh_164979574397,web,new_channel
DEV_000021,CUST_011898,dh_343877960745,call_center,new_channel
DEV_000022,CUST_000115,dh_501715420847,call_center,normal
DEV_000023,CUST_018492,dh_503994340433,api,new_device
DEV_000024,CUST_000076,dh_58145214511,web,new_channel
DEV_000025,CUST_007527,dh_668626843,mobile_app,normal
DEV_000026,CUST_017861,dh_149502049146,call_center,device_reset
DEV_000027,CUST_018170,dh_617166338886,api,device_reset
DEV_000028,CUST_009205,dh_197168253133,api,device_reset
DEV_000029,CUST_015659,dh_144734395331,web,new_device
DEV_000030,CUST_009032,dh_398954540293,call_center,normal
DEV_000031,CUST_011073,dh_128521590646,api,new_device
DEV_000032,CUST_002372,dh_364268314456,web,new_device
DEV_000033,CUST_009087,dh_474786744448,mobile_app,new_device
DEV_000034,CUST_004999,dh_133917232379,api,new_channel
DEV_000035,CUST_013920,dh_134643602929,call_center,new_device
DEV_000036,CUST_012857,dh_356145652760,api,normal
DEV_000037,CUST_001980,dh_878160982274,mobile_app,normal
DEV_000038,CUST_011071,dh_724745794549,mobile_app,device_reset
DEV_000039,CUST_001235,dh_768309398298,call_center,normal
DEV_000040,CUST_014300,dh_405412447704,web,new_channel
DEV_000041,CUST_009321,dh_8872358028,web,normal
DEV_000042,CUST_003336,dh_310408846453,api,new_device
DEV_000043,CUST_009302,dh_418307377984,call_center,new_channel
DEV_000044,CUST_017816,dh_136826497525,mobile_app,new_device
DEV_000045,CUST_018465,dh_390411646851,web,new_device
DEV_000046,CUST_009083,dh_220736995469,mobile_app,normal
DEV_000047,CUST_001636,dh_683518987594,web,new_device
DEV_000048,CUST_006594,dh_831759707023,web,normal
DEV_000049,CUST_006968,dh_124759737984,call_center,device_reset
DEV_000050,CUST_005794,dh_585241231657,call_center,normal
DEV_000051,CUST_004749,dh_924839858955,mobile_app,new_device
DEV_000052,CUST_008671,dh_345873494194,call_center,new_channel
DEV_000053,CUST_007331,dh_366404036999,web,new_device
DEV_000054,CUST_012110,dh_744699498906,mobile_app,new_device
DEV_000055,CUST_007306,dh_381309953477,api,new_channel
DEV_000056,CUST_001477,dh_653044832624,web,normal
DEV_000057,CUST_016511,dh_67218792680,mobile_app,device_reset
DEV_000058,CUST_015431,dh_463587210403,call_center,new_device
DEV_000059,CUST_012511,dh_500655694112,web,normal
DEV_000060,CUST_004952,dh_174711391718,call_center,new_device
DEV_000061,CUST_003174,dh_115189532675,api,new_channel
DEV_000062,CUST_001604,dh_731554039946,call_center,device_reset
DEV_000063,CUST_002359,dh_771255758267,web,normal
DEV_000064,CUST_017652,dh_892879054386,api,normal
DEV_000065,CUST_018836,dh_898234550474,api,normal
DEV_000066,CUST_016303,dh_409960842633,call_center,new_device
DEV_000067,CUST_003325,dh_783439071336,web,normal
DEV_000068,CUST_003712,dh_294889805319,call_center,normal
DEV_000069,CUST_003503,dh_47964103147,mobile_app,new_device
DEV_000070,CUST_002508,dh_214602493445,mobile_app,device_reset
DEV_000071,CUST_018032,dh_391129832732,mobile_app,new_channel
DEV_000072,CUST_008651,dh_727159069181,call_center,new_channel
DEV_000073,CUST_015780,dh_210938646106,api,normal
DEV_000074,CUST_003292,dh_274449552994,mobile_app,device_reset
DEV_000075,CUST_001623,dh_29087150785,call_center,new_device
DEV_000076,CUST_019958,dh_205403962379,mobile_app,new_channel
DEV_000077,CUST_015353,dh_682157266110,web,device_reset
DEV_000078,CUST_011658,dh_778656714000,mobile_app,new_device
DEV_000079,CUST_002570,dh_237819773809,mobile_app,new_channel
DEV_000080,CUST_002033,dh_404777294218,api,new_device
DEV_000081,CUST_001410,dh_175402480385,mobile_app,device_reset
DEV_000082,CUST_011177,dh_889302925031,web,normal
DEV_000083,CUST_016221,dh_155823924409,api,normal
DEV_000084,CUST_008990,dh_976995237693,mobile_app,normal
DEV_000085,CUST_007089,dh_759285549199,web,normal
DEV_000086,CUST_011911,dh_723229715794,api,normal
DEV_000087,CUST_015660,dh_132908460972,api,device_reset
DEV_000088,CUST_007188,dh_35177051461,api,normal
DEV_000089,CUST_005222,dh_35765692418,api,device_reset
DEV_000090,CUST_014911,dh_364727262942,mobile_app,new_channel
DEV_000091,CUST_002045,dh_790198588346,call_center,device_reset
DEV_000092,CUST_000511,dh_229477229907,web,normal
DEV_000093,CUST_016061,dh_620299998070,web,normal
DEV_000094,CUST_011571,dh_341903116893,api,device_reset
DEV_000095,CUST_008301,dh_754923958463,call_center,new_channel
DEV_000096,CUST_015887,dh_931968670378,mobile_app,new_device
DEV_000097,CUST_015290,dh_638092856428,web,new_channel
DEV_000098,CUST_001066,dh_110745765497,api,device_reset
DEV_000099,CUST_009550,dh_756078751505,call_center,device_reset
DEV_000100,CUST_002944,dh_259589423315,mobile_app,device_reset
DEV_000101,CUST_014584,dh_770140707864,mobile_app,new_channel
DEV_000102,CUST_001080,dh_302240446952,web,new_channel
DEV_000103,CUST_008141,dh_218398603474,web,normal
DEV_000104,CUST_016643,dh_612169752817,call_center,new_device
DEV_000105,CUST_003024,dh_801920123084,mobile_app,new_device
DEV_000106,CUST_001706,dh_803531524255,mobile_app,new_device
DEV_000107,CUST_010531,dh_989686359962,mobile_app,normal
DEV_000108,CUST_005646,dh_845125211824,mobile_app,normal
DEV_000109,CUST_014690,dh_685643262245,api,normal
DEV_000110,CUST_011640,dh_633886189393,web,new_channel
DEV_000111,CUST_019675,dh_416976923378,api,device_reset
DEV_000112,CUST_005155,dh_857310518624,mobile_app,normal
DEV_000113,CUST_016154,dh_329033658704,call_center,device_reset
DEV_000114,CUST_017447,dh_275085228411,api,device_reset
DEV_000115,CUST_015519,dh_335132660819,call_center,device_reset
DEV_000116,CUST_012746,dh_21900397012,mobile_app,normal
DEV_000117,CUST_014799,dh_559620459551,api,normal
DEV_000118,CUST_010305,dh_950073930792,call_center,normal
DEV_000119,CUST_017725,dh_355796557931,api,device_reset
DEV_000120,CUST_008484,dh_90375333934,mobile_app,normal
DEV_000121,CUST_013308,dh_866605651228,web,normal
DEV_000122,CUST_001876,dh_742283843975,web,normal
DEV_000123,CUST_000950,dh_497349050396,call_center,device_reset
DEV_000124,CUST_011880,dh_374628746310,web,normal
DEV_000125,CUST_013207,dh_853170594607,api,device_reset
DEV_000126,CUST_015607,dh_555512592616,api,normal
DEV_000127,CUST_005696,dh_993843202892,mobile_app,normal
DEV_000128,CUST_013580,dh_510972863884,mobile_app,new_device
DEV_000129,CUST_018222,dh_71107513221,api,normal
DEV_000130,CUST_007789,dh_528747314099,web,new_device
DEV_000131,CUST_014454,dh_214879130820,mobile_app,normal
DEV_000132,CUST_015126,dh_128013381399,web,device_reset
DEV_000133,CUST_017907,dh_89052858019,api,new_device
DEV_000134,CUST_017947,dh_697704931070,call_center,normal
DEV_000135,CUST_004578,dh_14758626103,call_center,normal
DEV_000136,CUST_011598,dh_971043045454,web,normal
DEV_000137,CUST_010928,dh_113314853129,web,normal
DEV_000138,CUST_008808,dh_461575409212,web,normal
DEV_000139,CUST_018254,dh_930928063545,api,normal
DEV_000140,CUST_001149,dh_270611116500,web,new_device
DEV_000141,CUST_019400,dh_556130393924,api,device_reset
DEV_000142,CUST_011768,dh_812072991908,api,normal
DEV_000143,CUST_007903,dh_221173450783,call_center,normal
DEV_000144,CUST_013338,dh_349462167004,web,new_device
DEV_000145,CUST_015634,dh_428813871050,web,normal
DEV_000146,CUST_012465,dh_415443485336,call_center,new_channel
DEV_000147,CUST_019219,dh_860273946095,api,new_device
DEV_000148,CUST_004016,dh_241867674372,mobile_app,new_channel
DEV_000149,CUST_007363,dh_408679203608,api,new_device
DEV_000150,CUST_017426,dh_287969063771,call_center,new_channel
DEV_000151,CUST_000003,dh_432947919592,call_center,new_channel
DEV_000152,CUST_002171,dh_303552502068,mobile_app,normal
DEV_000153,CUST_010473,dh_399450782675,api,device_reset
DEV_000154,CUST_013828,dh_798415384147,api,new_channel
DEV_000155,CUST_007823,dh_718367895832,web,normal
DEV_000156,CUST_015524,dh_208505981469,call_center,new_channel
DEV_000157,CUST_006939,dh_92714453602,web,new_device
DEV_000158,CUST_011142,dh_105433590628,mobile_app,normal
DEV_000159,CUST_000897,dh_556465869105,api,new_device
DEV_000160,CUST_012537,dh_704013346140,mobile_app,new_device
DEV_000161,CUST_013544,dh_272517470814,call_center,normal
DEV_000162,CUST_001233,dh_157004456001,call_center,normal
DEV_000163,CUST_009408,dh_811259565863,web,device_reset
DEV_000164,CUST_009252,dh_645904958678,call_center,new_channel
DEV_000165,CUST_015795,dh_143235734953,web,normal
DEV_000166,CUST_014000,dh_571283292701,mobile_app,normal
DEV_000167,CUST_017436,dh_361879332844,api,new_device
DEV_000168,CUST_018880,dh_121743812499,call_center,new_device
DEV_000169,CUST_005813,dh_153470786776,web,new_channel
DEV_000170,CUST_006507,dh_576522731022,mobile_app,device_reset
DEV_000171,CUST_012326,dh_404394612492,web,normal
DEV_000172,CUST_019041,dh_585164418931,web,normal
DEV_000173,CUST_002578,dh_835267682161,mobile_app,new_channel
DEV_000174,CUST_000070,dh_887406845117,mobile_app,new_channel
DEV_000175,CUST_008008,dh_895754682338,mobile_app,normal
DEV_000176,CUST_018745,dh_534525072343,web,device_reset
DEV_000177,CUST_005343,dh_140192263531,mobile_app,new_device
DEV_000178,CUST_002166,dh_784059766649,web,new_channel
DEV_000179,CUST_011310,dh_684528899601,call_center,new_channel
DEV_000180,CUST_019175,dh_686553505731,web,new_device
DEV_000181,CUST_002539,dh_120644320158,api,normal
DEV_000182,CUST_004539,dh_460680333245,api,normal
DEV_000183,CUST_015856,dh_334098112442,api,new_device
DEV_000184,CUST_012692,dh_785252733648,mobile_app,normal
DEV_000185,CUST_016120,dh_297195419180,web,normal
DEV_000186,CUST_014786,dh_745007309602,call_center,new_device
DEV_000187,CUST_004575,dh_541702664467,api,new_device
DEV_000188,CUST_000297,dh_944419411581,call_center,normal
DEV_000189,CUST_017213,dh_116274818412,web,normal
DEV_000190,CUST_009389,dh_365447416980,web,normal
DEV_000191,CUST_015879,dh_224629041703,call_center,normal
DEV_000192,CUST_015031,dh_221035057522,mobile_app,normal
DEV_000193,CUST_002896,dh_212303478398,mobile_app,device_reset
DEV_000194,CUST_009864,dh_507887321239,web,normal
DEV_000195,CUST_008534,dh_70257835797,api,device_reset
DEV_000196,CUST_013462,dh_396529130017,web,new_device
DEV_000197,CUST_017119,dh_639733293686,call_center,new_device
DEV_000198,CUST_017285,dh_196737934424,api,new_device
DEV_000199,CUST_010273,dh_655467875382,web,normal
DEV_000200,CUST_015305,dh_358206997395,web,normal
DEV_000201,CUST_001623,dh_675375299450,api,normal
DEV_000202,CUST_003082,dh_357243792955,call_center,new_device
DEV_000203,CUST_015605,dh_65009718004,web,normal
DEV_000204,CUST_018151,dh_190363810641,mobile_app,normal
DEV_000205,CUST_015359,dh_575979543663,call_center,normal
DEV_000206,CUST_005237,dh_350833231726,call_center,normal
DEV_000207,CUST_000978,dh_176575654637,mobile_app,normal
DEV_000208,CUST_011552,dh_549461539249,api,new_channel
DEV_000209,CUST_005178,dh_712066202757,mobile_app,normal
DEV_000210,CUST_000729,dh_456750030831,web,device_reset
DEV_000211,CUST_013706,dh_220195050528,call_center,new_channel
DEV_000212,CUST_010875,dh_28526426865,call_center,normal
DEV_000213,CUST_017003,dh_730348309678,api,new_channel
DEV_000214,CUST_006032,dh_457006969236,mobile_app,new_channel
DEV_000215,CUST_016944,dh_895616336914,web,device_reset
DEV_000216,CUST_013996,dh_633011602355,api,new_channel
DEV_000217,CUST_012672,dh_550404050091,api,new_channel
DEV_000218,CUST_012489,dh_524361370940,mobile_app,new_device
DEV_000219,CUST_010180,dh_7655056109,call_center,new_channel
DEV_000220,CUST_006871,dh_631230284338,mobile_app,normal
DEV_000221,CUST_012002,dh_858341124447,mobile_app,device_reset
