event_id,source_id,target_id,event_type,context,amount,label,timestamp
EVT_0000000,CUST_001461,CUST_000115,message,new_channel,868,normal,2026-01-01T00:00:00
EVT_0000001,CUST_003172,CUST_002584,device_event,service_usage,501,normal,2026-01-01T00:01:00
EVT_0000002,CUST_001633,CUST_004750,device_event,new_channel,722,normal,2026-01-01T00:02:00
EVT_0000003,CUST_004926,CUST_001956,message,service_usage,749,normal,2026-01-01T00:03:00
EVT_0000004,CUST_002758,MULE_0014,transfer,urgent_transfer,458,mule_pattern,2026-01-01T00:04:00
EVT_0000005,CUST_004343,CUST_001984,device_event,service_usage,840,normal,2026-01-01T00:05:00
EVT_0000006,CUST_003025,CUST_001403,service_payment,bill_payment,852,normal,2026-01-01T00:06:00
EVT_0000007,CUST_004711,CUST_003184,service_payment,bill_payment,698,normal,2026-01-01T00:07:00
EVT_0000008,CUST_003289,MULE_0007,transfer,urgent_transfer,927,mule_pattern,2026-01-01T00:08:00
EVT_0000009,CUST_003369,CUST_003690,device_event,bill_payment,314,normal,2026-01-01T00:09:00
EVT_0000010,CUST_000610,CUST_000373,device_event,new_channel,576,normal,2026-01-01T00:10:00
EVT_0000011,CUST_000989,CUST_004566,device_event,topup,484,normal,2026-01-01T00:11:00
EVT_0000012,CUST_002697,CUST_003989,device_event,service_usage,760,normal,2026-01-01T00:12:00
EVT_0000013,CUST_004730,CUST_002376,device_event,device_change,252,normal,2026-01-01T00:13:00
EVT_0000014,CUST_001545,CUST_002668,device_event,device_change,899,normal,2026-01-01T00:14:00
EVT_0000015,CUST_000181,CUST_001948,service_payment,device_change,635,normal,2026-01-01T00:15:00
EVT_0000016,CUST_001056,CUST_001279,service_payment,new_channel,724,normal,2026-01-01T00:16:00
EVT_0000017,CUST_002510,CUST_004690,service_payment,new_channel,14,normal,2026-01-01T00:17:00
EVT_0000018,CUST_001475,CUST_000950,message,topup,615,normal,2026-01-01T00:18:00
EVT_0000019,CUST_000701,CUST_004373,service_payment,bill_payment,382,normal,2026-01-01T00:19:00
EVT_0000020,CUST_001197,CUST_001937,message,topup,677,normal,2026-01-01T00:20:00
EVT_0000021,CUST_002327,CUST_000430,message,bill_payment,118,normal,2026-01-01T00:21:00
EVT_0000022,CUST_002992,CUST_002755,device_event,bill_payment,387,normal,2026-01-01T00:22:00
EVT_0000023,CUST_002142,CUST_000706,service_payment,service_usage,249,normal,2026-01-01T00:23:00
EVT_0000024,CUST_000330,CUST_003913,device_event,service_usage,600,normal,2026-01-01T00:24:00
EVT_0000025,CUST_001676,CUST_001086,service_payment,topup,649,normal,2026-01-01T00:25:00
EVT_0000026,CUST_000057,CUST_004797,service_payment,service_usage,633,normal,2026-01-01T00:26:00
EVT_0000027,CUST_001115,CUST_003381,device_event,bill_payment,751,normal,2026-01-01T00:27:00
EVT_0000028,CUST_003503,CUST_004674,message,device_change,474,normal,2026-01-01T00:28:00
EVT_0000029,CUST_002587,CUST_000241,message,new_channel,414,normal,2026-01-01T00:29:00
