device_id,customer_id,device_hash,channel,risk_hint
DEV_000000,CUST_001066,dh_71690614692,mobile_app,new_channel
DEV_000001,CUST_003355,dh_921898811772,mobile_app,normal
DEV_000002,CUST_002207,dh_621082408576,mobile_app,new_channel
DEV_000003,CUST_002553,dh_961300939003,mobile_app,normal
DEV_000004,CUST_004533,dh_590789958279,mobile_app,new_device
DEV_000005,CUST_004509,dh_26957800870,web,new_device
DEV_000006,CUST_004683,dh_870429157492,mobile_app,normal
DEV_000007,CUST_003193,dh_307908642222,api,normal
DEV_000008,CUST_001143,dh_146869830125,call_center,normal
DEV_000009,CUST_002979,dh_29829756092,mobile_app,normal
DEV_000010,CUST_002430,dh_739638352574,call_center,normal
DEV_000011,CUST_003236,dh_165675473264,mobile_app,new_device
DEV_000012,CUST_001122,dh_274554811058,api,new_channel
DEV_000013,CUST_004805,dh_991174164521,web,device_reset
DEV_000014,CUST_004641,dh_738996240376,api,normal
DEV_000015,CUST_002952,dh_74154635198,call_center,normal
DEV_000016,CUST_000720,dh_412888014123,call_center,device_reset
DEV_000017,CUST_001131,dh_126101510376,call_center,device_reset
DEV_000018,CUST_003031,dh_792843263333,web,normal
DEV_000019,CUST_001894,dh_161162542813,mobile_app,new_channel
DEV_000020,CUST_004833,dh_880418064547,mobile_app,new_device
DEV_000021,CUST_001461,dh_141597820372,api,new_device
DEV_000022,CUST_003870,dh_873106770124,call_center,normal
DEV_000023,CUST_004440,dh_362283487846,web,new_device
DEV_000024,CUST_002316,dh_709258979966,api,new_device
DEV_000025,CUST_004339,dh_346700875522,mobile_app,device_reset
DEV_000026,CUST_001414,dh_731548075099,api,normal
DEV_000027,CUST_003155,dh_833641339769,call_center,normal
DEV_000028,CUST_002553,dh_651954850961,call_center,normal
DEV_000029,CUST_001719,dh_545073194339,mobile_app,normal
DEV_000030,CUST_000999,dh_852667025174,mobile_app,new_channel
DEV_000031,CUST_001832,dh_786097637697,call_center,normal
DEV_000032,CUST_004651,dh_67793561197,mobile_app,normal
DEV_000033,CUST_004623,dh_664528959877,call_center,normal
DEV_000034,CUST_002391,dh_629887483596,web,normal
DEV_000035,CUST_003251,dh_665872191089,mobile_app,new_channel
DEV_000036,CUST_001778,dh_851816190021,mobile_app,normal
DEV_000037,CUST_002486,dh_761037061126,mobile_app,device_reset
DEV_000038,CUST_004847,dh_840083647785,web,normal
DEV_000039,CUST_002766,dh_64021252875,call_center,new_device
DEV_000040,CUST_004830,dh_259059498156,web,normal
DEV_000041,CUST_001591,dh_361451589043,web,new_device
DEV_000042,CUST_000502,dh_902813261426,api,normal
DEV_000043,CUST_002774,dh_352136768697,call_center,new_channel
DEV_000044,CUST_000088,dh_514260267981,mobile_app,device_reset
DEV_000045,CUST_001227,dh_245021996119,call_center,normal
DEV_000046,CUST_003022,dh_536159327911,call_center,new_device
DEV_000047,CUST_004114,dh_961895220394,mobile_app,new_channel
DEV_000048,CUST_001017,dh_709784013461,call_center,new_device
DEV_000049,CUST_002027,dh_24171357779,web,normal
DEV_000050,CUST_004826,dh_665789590090,api,normal
DEV_000051,CUST_000137,dh_891080153886,mobile_app,normal
DEV_000052,CUST_003083,dh_337221721907,api,device_reset
DEV_000053,CUST_001188,dh_71787427634,web,normal
DEV_000054,CUST_002081,dh_647556993330,api,normal
DEV_000055,CUST_001900,dh_50247470968,web,new_device
DEV_000056,CUST_002429,dh_585369894253,mobile_app,normal
DEV_000057,CUST_000660,dh_460800901136,api,normal
DEV_000058,CUST_003212,dh_356119875327,web,new_channel
DEV_000059,CUST_000339,dh_731250605575,web,new_device
DEV_000060,CUST_003899,dh_235579262724,web,new_device
DEV_000061,CUST_002899,dh_110397725584,mobile_app,normal
DEV_000062,CUST_004843,dh_719882894276,mobile_app,normal
DEV_000063,CUST_004858,dh_864079277273,web,normal
DEV_000064,CUST_003919,dh_962986092056,api,normal
DEV_000065,CUST_003522,dh_698370066460,api,normal
DEV_000066,CUST_003828,dh_312545452255,mobile_app,device_reset
DEV_000067,CUST_000803,dh_59599151507,api,normal
DEV_000068,CUST_001579,dh_244359419219,mobile_app,normal
DEV_000069,CUST_003337,dh_277750183094,api,normal
DEV_000070,CUST_002746,dh_192133190417,mobile_app,normal
DEV_000071,CUST_002521,dh_825937858698,api,new_device
DEV_000072,CUST_000897,dh_30333659418,api,new_device
DEV_000073,CUST_004770,dh_112681164902,call_center,normal
DEV_000074,CUST_004331,dh_893899244682,mobile_app,new_channel
DEV_000075,CUST_002366,dh_948374629280,call_center,normal
DEV_000076,CUST_002187,dh_114110215885,mobile_app,new_channel
DEV_000077,CUST_002002,dh_728959406842,web,normal
DEV_000078,CUST_000214,dh_505668197498,mobile_app,normal
DEV_000079,CUST_003527,dh_918804479090,web,normal
DEV_000080,CUST_000475,dh_257584537893,call_center,new_device
DEV_000081,CUST_004848,dh_957937792957,mobile_app,new_channel
DEV_000082,CUST_000665,dh_319619830668,mobile_app,new_channel
DEV_000083,CUST_000318,dh_773661413744,mobile_app,normal
DEV_000084,CUST_001736,dh_752948620094,api,normal
