event_id,source_id,target_id,event_type,context,amount,label,timestamp
EVT_0000000,CUST_000477,CUST_000673,payment_release,marketplace_chat,86,normal,2026-01-01T00:00:00
EVT_0000001,CUST_000693,CUST_000027,payment_release,delivery_confirmed,424,normal,2026-01-01T00:01:00
EVT_0000002,CUST_000527,MULE_0007,payment_release,seller_payout,1888,mule_pattern,2026-01-01T00:02:00
EVT_0000003,CUST_000441,CUST_000434,marketplace_payment,delivery_confirmed,490,normal,2026-01-01T00:03:00
EVT_0000004,CUST_000094,CUST_000595,payment_release,marketplace_chat,745,normal,2026-01-01T00:04:00
EVT_0000005,CUST_000045,CUST_000032,marketplace_payment,marketplace_chat,480,normal,2026-01-01T00:05:00
EVT_0000006,CUST_000783,CUST_000318,message,seller_payout,1509,normal,2026-01-01T00:06:00
EVT_0000007,CUST_000110,CUST_000481,message,listing_purchase,283,normal,2026-01-01T00:07:00
EVT_0000008,CUST_000112,CUST_000151,marketplace_payment,seller_payout,531,normal,2026-01-01T00:08:00
EVT_0000009,CUST_000497,CUST_000305,marketplace_payment,marketplace_chat,1441,normal,2026-01-01T00:09:00
EVT_0000010,CUST_000499,CUST_000786,marketplace_payment,marketplace_chat,1138,normal,2026-01-01T00:10:00
EVT_0000011,CUST_000167,CUST_000566,message,marketplace_chat,1139,normal,2026-01-01T00:11:00
EVT_0000012,CUST_000134,CUST_000595,marketplace_payment,commerce,515,normal,2026-01-01T00:12:00
EVT_0000013,CUST_000442,CUST_000473,payment_release,delivery_confirmed,1633,normal,2026-01-01T00:13:00
EVT_0000014,CUST_000253,CUST_000543,message,listing_purchase,1157,normal,2026-01-01T00:14:00
EVT_0000015,BAD_0003,CUST_000359,marketplace_chat,fake_receipt,474,scam_ring,2026-01-01T00:15:00
EVT_0000016,CUST_000611,CUST_000765,payment_release,listing_purchase,726,normal,2026-01-01T00:16:00
EVT_0000017,CUST_000751,CUST_000611,payment_release,delivery_confirmed,21,normal,2026-01-01T00:17:00
EVT_0000018,CUST_000792,CUST_000024,payment_release,marketplace_chat,624,normal,2026-01-01T00:18:00
EVT_0000019,CUST_000673,CUST_000439,payment_release,commerce,1126,normal,2026-01-01T00:19:00
EVT_0000020,CUST_000747,CUST_000345,marketplace_payment,marketplace_chat,768,normal,2026-01-01T00:20:00
EVT_0000021,CUST_000231,CUST_000162,payment_release,marketplace_chat,1373,normal,2026-01-01T00:21:00
EVT_0000022,CUST_000448,CUST_000233,payment_release,seller_payout,758,normal,2026-01-01T00:22:00
EVT_0000023,CUST_000687,CUST_000744,message,marketplace_chat,584,normal,2026-01-01T00:23:00
EVT_0000024,CUST_000324,CUST_000070,payment_release,seller_payout,1235,normal,2026-01-01T00:24:00
EVT_0000025,CUST_000727,CUST_000086,payment_release,commerce,1389,normal,2026-01-01T00:25:00
EVT_0000026,CUST_000007,CUST_000769,message,delivery_confirmed,1754,normal,2026-01-01T00:26:00
EVT_0000027,CUST_000171,CUST_000276,marketplace_payment,commerce,411,normal,2026-01-01T00:27:00
EVT_0000028,CUST_000029,CUST_000030,marketplace_payment,seller_payout,153,normal,2026-01-01T00:28:00
EVT_0000029,CUST_000134,CUST_000401,marketplace_payment,seller_payout,249,normal,2026-01-01T00:29:00
EVT_0000030,CUST_000112,CUST_000288,marketplace_payment,marketplace_chat,843,normal,2026-01-01T00:30:00
EVT_0000031,CUST_000769,CUST_000770,marketplace_payment,delivery_confirmed,1300,normal,2026-01-01T00:31:00
EVT_0000032,CUST_000119,CUST_000105,message,delivery_confirmed,1125,normal,2026-01-01T00:32:00
EVT_0000033,CUST_000402,EXT_0023,message,delivery_confirmed,793,normal,2026-01-01T00:33:00
EVT_0000034,CUST_000002,CUST_000316,marketplace_payment,commerce,345,normal,2026-01-01T00:34:00
EVT_0000035,CUST_000764,CUST_000355,marketplace_payment,listing_purchase,330,normal,2026-01-01T00:35:00
EVT_0000036,CUST_000788,CUST_000456,payment_release,marketplace_chat,843,normal,2026-01-01T00:36:00
EVT_0000037,CUST_000602,MULE_0001,payment_release,seller_payout,885,mule_pattern,2026-01-01T00:37:00
EVT_0000038,CUST_000146,BAD_0000,transfer,social_engineering,300,social_chain,2026-01-01T00:38:00
EVT_0000039,CUST_000176,CUST_000084,payment_release,delivery_confirmed,602,normal,2026-01-01T00:39:00
EVT_0000040,BAD_0001,CUST_000367,marketplace_chat,fake_receipt,460,scam_ring,2026-01-01T00:40:00
EVT_0000041,CUST_000553,CUST_000106,payment_release,seller_payout,1614,normal,2026-01-01T00:41:00
EVT_0000042,CUST_000515,CUST_000072,marketplace_payment,marketplace_chat,1318,normal,2026-01-01T00:42:00
EVT_0000043,CUST_000470,CUST_000767,message,marketplace_chat,337,normal,2026-01-01T00:43:00
