event_id,source_id,target_id,event_type,context,amount,label,timestamp
POS_00000,A,I024,exposure,portfolio_position,341852162.0,normal,2026-01-01T00:00:00
POS_00001,A,I032,exposure,portfolio_position,1039501844.0,normal,2026-01-01T00:00:00
POS_00002,A,I002,exposure,portfolio_position,2341858407.0,normal,2026-01-01T00:00:00
POS_00003,A,I042,exposure,portfolio_position,898292372.0,normal,2026-01-01T00:00:00
POS_00004,A,I022,exposure,portfolio_position,917365343.0,normal,2026-01-01T00:00:00
POS_00005,A,I035,exposure,portfolio_position,1052059268.0,normal,2026-01-01T00:00:00
POS_00006,A,I066,exposure,portfolio_position,1165953084.0,normal,2026-01-01T00:00:00
POS_00007,A,I003,exposure,portfolio_position,1350338204.0,normal,2026-01-01T00:00:00
POS_00008,A,I065,exposure,portfolio_position,920157405.0,normal,2026-01-01T00:00:00
POS_00009,A,I081,exposure,portfolio_position,1174144153.0,normal,2026-01-01T00:00:00
POS_00010,A,I008,exposure,portfolio_position,408405417.0,normal,2026-01-01T00:00:00
POS_00011,A,I051,exposure,portfolio_position,1123154912.0,normal,2026-01-01T00:00:00
POS_00012,A,I018,exposure,portfolio_position,128204219.0,normal,2026-01-01T00:00:00
POS_00013,A,I085,exposure,portfolio_position,1338056861.0,normal,2026-01-01T00:00:00
POS_00014,A,I007,exposure,portfolio_position,690899702.0,normal,2026-01-01T00:00:00
POS_00015,A,I061,exposure,portfolio_position,935650184.0,normal,2026-01-01T00:00:00
POS_00016,A,I020,exposure,portfolio_position,1061391639.0,normal,2026-01-01T00:00:00
POS_00017,A,I017,exposure,portfolio_position,725480624.0,normal,2026-01-01T00:00:00
POS_00018,A,I031,exposure,portfolio_position,84448956.0,normal,2026-01-01T00:00:00
POS_00019,A,I048,exposure,portfolio_position,1421068819.0,normal,2026-01-01T00:00:00
POS_00020,A,I036,exposure,portfolio_position,1016239723.0,normal,2026-01-01T00:00:00
POS_00021,A,I060,exposure,portfolio_position,350315101.0,normal,2026-01-01T00:00:00
POS_00022,A,I088,exposure,portfolio_position,698480232.0,normal,2026-01-01T00:00:00
POS_00023,A,I059,exposure,portfolio_position,355619847.0,normal,2026-01-01T00:00:00
POS_00024,A,I023,exposure,portfolio_position,1153432659.0,normal,2026-01-01T00:00:00
POS_00025,A,I015,exposure,portfolio_position,593141457.0,normal,2026-01-01T00:00:00
POS_00026,A,I046,exposure,portfolio_position,1051476957.0,normal,2026-01-01T00:00:00
POS_00027,A,I016,exposure,portfolio_position,1554989101.0,normal,2026-01-01T00:00:00
POS_00028,A,I011,exposure,portfolio_position,1520235844.0,normal,2026-01-01T00:00:00
POS_00029,A,I041,exposure,portfolio_position,160265240.0,normal,2026-01-01T00:00:00
POS_00030,A,I039,exposure,portfolio_position,362539328.0,normal,2026-01-01T00:00:00
POS_00031,A,I049,exposure,portfolio_position,267507550.0,normal,2026-01-01T00:00:00
POS_00032,A,I082,exposure,portfolio_position,164072924.0,normal,2026-01-01T00:00:00
POS_00033,A,I005,exposure,portfolio_position,1847008977.0,normal,2026-01-01T00:00:00
POS_00034,A,I025,exposure,portfolio_position,980681483.0,normal,2026-01-01T00:00:00
POS_00035,B,I038,exposure,portfolio_position,840204268.0,normal,2026-01-01T00:00:00
POS_00036,B,I046,exposure,portfolio_position,1160243713.0,normal,2026-01-01T00:00:00
POS_00037,B,I066,exposure,portfolio_position,991452195.0,normal,2026-01-01T00:00:00
POS_00038,B,I071,exposure,portfolio_position,980736973.0,normal,2026-01-01T00:00:00
POS_00039,B,I062,exposure,portfolio_position,127644255.0,normal,2026-01-01T00:00:00
POS_00040,B,I006,exposure,portfolio_position,1720785063.0,normal,2026-01-01T00:00:00
POS_00041,B,I085,exposure,portfolio_position,1266228598.0,normal,2026-01-01T00:00:00
POS_00042,B,I009,exposure,portfolio_position,379273678.0,normal,2026-01-01T00:00:00
POS_00043,B,I088,exposure,portfolio_position,861587742.0,normal,2026-01-01T00:00:00
POS_00044,B,I043,exposure,portfolio_position,994595294.0,normal,2026-01-01T00:00:00
POS_00045,B,I025,exposure,portfolio_position,1414091687.0,normal,2026-01-01T00:00:00
POS_00046,B,I040,exposure,portfolio_position,355396305.0,normal,2026-01-01T00:00:00
POS_00047,B,I065,exposure,portfolio_position,471624590.0,normal,2026-01-01T00:00:00
POS_00048,B,I022,exposure,portfolio_position,874396508.0,normal,2026-01-01T00:00:00
POS_00049,B,I002,exposure,portfolio_position,1057905448.0,normal,2026-01-01T00:00:00
POS_00050,B,I013,exposure,portfolio_position,1509910539.0,normal,2026-01-01T00:00:00
POS_00051,B,I019,exposure,portfolio_position,335490816.0,normal,2026-01-01T00:00:00
POS_00052,B,I072,exposure,portfolio_position,1272551448.0,normal,2026-01-01T00:00:00
POS_00053,B,I035,exposure,portfolio_position,375658275.0,normal,2026-01-01T00:00:00
POS_00054,B,I008,exposure,portfolio_position,1270171931.0,normal,2026-01-01T00:00:00
POS_00055,B,I004,exposure,portfolio_position,748768534.0,normal,2026-01-01T00:00:00
POS_00056,B,I087,exposure,portfolio_position,192224114.0,normal,2026-01-01T00:00:00
POS_00057,B,I028,exposure,portfolio_position,130446867.0,normal,2026-01-01T00:00:00
POS_00058,B,I048,exposure,portfolio_position,1086514279.0,normal,2026-01-01T00:00:00
POS_00059,B,I069,exposure,portfolio_position,520501754.0,normal,2026-01-01T00:00:00
POS_00060,B,I058,exposure,portfolio_position,405631728.0,normal,2026-01-01T00:00:00
POS_00061,B,I026,exposure,portfolio_position,1109745039.0,normal,2026-01-01T00:00:00
POS_00062,B,I076,exposure,portfolio_position,1487562356.0,normal,2026-01-01T00:00:00
POS_00063,B,I052,exposure,portfolio_position,786022387.0,normal,2026-01-01T00:00:00
POS_00064,B,I078,exposure,portfolio_position,849113842.0,normal,2026-01-01T00:00:00
POS_00065,B,I030,exposure,portfolio_position,604229801.0,normal,2026-01-01T00:00:00
POS_00066,B,I023,exposure,portfolio_position,1836496646.0,normal,2026-01-01T00:00:00
POS_00067,B,I060,exposure,portfolio_position,759957806.0,normal,2026-01-01T00:00:00
POS_00068,B,I021,exposure,portfolio_position,1520200310.0,normal,2026-01-01T00:00:00
POS_00069,B,I073,exposure,portfolio_position,1483986204.0,normal,2026-01-01T00:00:00
POS_00070,C,I076,exposure,portfolio_position,761274795.0,normal,2026-01-01T00:00:00
POS_00071,C,I067,exposure,portfolio_position,570752306.0,normal,2026-01-01T00:00:00
POS_00072,C,I036,exposure,portfolio_position,1083312590.0,normal,2026-01-01T00:00:00
POS_00073,C,I077,exposure,portfolio_position,1473528988.0,normal,2026-01-01T00:00:00
POS_00074,C,I032,exposure,portfolio_position,724217527.0,normal,2026-01-01T00:00:00
POS_00075,C,I029,exposure,portfolio_position,172198346.0,normal,2026-01-01T00:00:00
POS_00076,C,I003,exposure,portfolio_position,978073098.0,normal,2026-01-01T00:00:00
POS_00077,C,I056,exposure,portfolio_position,1066133721.0,normal,2026-01-01T00:00:00
POS_00078,C,I062,exposure,portfolio_position,766799648.0,normal,2026-01-01T00:00:00
POS_00079,C,I035,exposure,portfolio_position,303889274.0,normal,2026-01-01T00:00:00
POS_00080,C,I043,exposure,portfolio_position,1094793651.0,normal,2026-01-01T00:00:00
POS_00081,C,I066,exposure,portfolio_position,1106262971.0,normal,2026-01-01T00:00:00
POS_00082,C,I039,exposure,portfolio_position,901143700.0,normal,2026-01-01T00:00:00
POS_00083,C,I064,exposure,portfolio_position,920413122.0,normal,2026-01-01T00:00:00
POS_00084,C,I052,exposure,portfolio_position,554897737.0,normal,2026-01-01T00:00:00
POS_00085,C,I007,exposure,portfolio_position,1361194943.0,normal,2026-01-01T00:00:00
POS_00086,C,I086,exposure,portfolio_position,771793492.0,normal,2026-01-01T00:00:00
POS_00087,C,I033,exposure,portfolio_position,752534024.0,normal,2026-01-01T00:00:00
POS_00088,C,I014,exposure,portfolio_position,227979958.0,normal,2026-01-01T00:00:00
POS_00089,C,I019,exposure,portfolio_position,226759920.0,normal,2026-01-01T00:00:00
POS_00090,C,I084,exposure,portfolio_position,68231844.0,normal,2026-01-01T00:00:00
POS_00091,C,I069,exposure,portfolio_position,970288270.0,normal,2026-01-01T00:00:00
POS_00092,C,I085,exposure,portfolio_position,248245047.0,normal,2026-01-01T00:00:00
POS_00093,C,I060,exposure,portfolio_position,1441504469.0,normal,2026-01-01T00:00:00
POS_00094,C,I020,exposure,portfolio_position,240062843.0,normal,2026-01-01T00:00:00
POS_00095,C,I013,exposure,portfolio_position,699902062.0,normal,2026-01-01T00:00:00
POS_00096,C,I045,exposure,portfolio_position,675826178.0,normal,2026-01-01T00:00:00
POS_00097,C,I080,exposure,portfolio_position,837626107.0,normal,2026-01-01T00:00:00
POS_00098,C,I072,exposure,portfolio_position,817189608.0,normal,2026-01-01T00:00:00
POS_00099,C,I024,exposure,portfolio_position,237948176.0,normal,2026-01-01T00:00:00
POS_00100,C,I027,exposure,portfolio_position,1452755710.0,normal,2026-01-01T00:00:00
POS_00101,C,I048,exposure,portfolio_position,133627831.0,normal,2026-01-01T00:00:00
POS_00102,C,I026,exposure,portfolio_position,226836237.0,normal,2026-01-01T00:00:00
POS_00103,C,I059,exposure,portfolio_position,1369335245.0,normal,2026-01-01T00:00:00
POS_00104,C,I037,exposure,portfolio_position,462849744.0,normal,2026-01-01T00:00:00
POS_00105,D,I051,exposure,portfolio_position,911342869.0,normal,2026-01-01T00:00:00
POS_00106,D,I063,exposure,portfolio_position,554927278.0,normal,2026-01-01T00:00:00
POS_00107,D,I014,exposure,portfolio_position,714272729.0,normal,2026-01-01T00:00:00
POS_00108,D,I035,exposure,portfolio_position,502146854.0,normal,2026-01-01T00:00:00
POS_00109,D,I076,exposure,portfolio_position,369375728.0,normal,2026-01-01T00:00:00
POS_00110,D,I038,exposure,portfolio_position,129022355.0,normal,2026-01-01T00:00:00
POS_00111,D,I079,exposure,portfolio_position,1312039839.0,normal,2026-01-01T00:00:00
POS_00112,D,I068,exposure,portfolio_position,367140322.0,normal,2026-01-01T00:00:00
POS_00113,D,I010,exposure,portfolio_position,1014048770.0,normal,2026-01-01T00:00:00
POS_00114,D,I083,exposure,portfolio_position,207715829.0,normal,2026-01-01T00:00:00
