event_id,source_id,target_id,event_type,context,amount,label,timestamp
EVT_0000000,CUST_000112,CUST_000402,transfer,payroll,36,normal,2026-01-01T00:00:00
EVT_0000001,CUST_000023,CUST_000152,transfer,family,1485,normal,2026-01-01T00:01:00
EVT_0000002,CUST_000183,CUST_000643,payment,payroll,1847,normal,2026-01-01T00:02:00
EVT_0000003,CUST_000590,CUST_000663,transfer,family,1959,normal,2026-01-01T00:03:00
EVT_0000004,CUST_000008,CUST_000100,p2p,family,535,normal,2026-01-01T00:04:00
EVT_0000005,CUST_000234,CUST_000428,p2p,salary,816,normal,2026-01-01T00:05:00
EVT_0000006,CUST_000627,CUST_000274,transfer,commerce,874,normal,2026-01-01T00:06:00
EVT_0000007,CUST_000374,CUST_000749,payment,family,80,normal,2026-01-01T00:07:00
EVT_0000008,CUST_000642,CUST_000743,transfer,payroll,430,normal,2026-01-01T00:08:00
EVT_0000009,CUST_000178,CUST_000505,transfer,commerce,1693,normal,2026-01-01T00:09:00
EVT_0000010,CUST_000113,MULE_0003,transfer,urgent_transfer,566,mule_pattern,2026-01-01T00:10:00
EVT_0000011,CUST_000545,CUST_000674,p2p,bill_payment,577,normal,2026-01-01T00:11:00
EVT_0000012,CUST_000532,CUST_000274,p2p,commerce,416,normal,2026-01-01T00:12:00
EVT_0000013,CUST_000113,CUST_000269,p2p,bill_payment,98,normal,2026-01-01T00:13:00
EVT_0000014,CUST_000341,CUST_000623,transfer,family,2151,normal,2026-01-01T00:14:00
EVT_0000015,CUST_000220,CUST_000014,p2p,bill_payment,262,normal,2026-01-01T00:15:00
EVT_0000016,BAD_0009,CUST_000162,message,fake_receipt,360,scam_ring,2026-01-01T00:16:00
EVT_0000017,CUST_000057,CUST_000452,transfer,payroll,223,normal,2026-01-01T00:17:00
EVT_0000018,CUST_000156,CUST_000128,transfer,family,1342,normal,2026-01-01T00:18:00
EVT_0000019,CUST_000104,CUST_000740,transfer,commerce,2426,normal,2026-01-01T00:19:00
EVT_0000020,CUST_000514,CUST_000570,transfer,commerce,277,normal,2026-01-01T00:20:00
EVT_0000021,CUST_000238,CUST_000028,payment,salary,1163,normal,2026-01-01T00:21:00
EVT_0000022,CUST_000139,CUST_000576,payment,bill_payment,1207,normal,2026-01-01T00:22:00
EVT_0000023,CUST_000784,CUST_000408,payment,bill_payment,186,normal,2026-01-01T00:23:00
EVT_0000024,CUST_000578,CUST_000090,payment,payroll,1195,normal,2026-01-01T00:24:00
EVT_0000025,CUST_000184,CUST_000592,transfer,payroll,516,normal,2026-01-01T00:25:00
EVT_0000026,CUST_000730,CUST_000424,payment,payroll,281,normal,2026-01-01T00:26:00
EVT_0000027,CUST_000187,CUST_000263,transfer,commerce,1778,normal,2026-01-01T00:27:00
EVT_0000028,CUST_000594,CUST_000176,payment,salary,1905,normal,2026-01-01T00:28:00
EVT_0000029,CUST_000423,CUST_000470,p2p,salary,1215,normal,2026-01-01T00:29:00
EVT_0000030,CUST_000682,EXT_0009,p2p,salary,2470,normal,2026-01-01T00:30:00
EVT_0000031,CUST_000758,CUST_000445,transfer,salary,1902,normal,2026-01-01T00:31:00
EVT_0000032,CUST_000196,CUST_000119,transfer,bill_payment,138,normal,2026-01-01T00:32:00
EVT_0000033,CUST_000022,BAD_0000,transfer,social_engineering,1602,social_chain,2026-01-01T00:33:00
EVT_0000034,CUST_000446,CUST_000206,transfer,payroll,1449,normal,2026-01-01T00:34:00
EVT_0000035,CUST_000319,CUST_000033,p2p,bill_payment,1216,normal,2026-01-01T00:35:00
EVT_0000036,BAD_0001,CUST_000383,message,fake_receipt,1921,scam_ring,2026-01-01T00:36:00
EVT_0000037,CUST_000140,CUST_000142,p2p,family,2426,normal,2026-01-01T00:37:00
