device_id,customer_id,device_hash,channel,risk_hint
DEV_000000,CUST_000607,dh_909149620845,mobile_app,new_channel
DEV_000001,CUST_000593,dh_605506267903,api,normal
DEV_000002,CUST_000747,dh_558901450349,mobile_app,new_channel
DEV_000003,CUST_000334,dh_499486998745,call_center,device_reset
DEV_000004,CUST_000101,dh_325445807243,call_center,normal
DEV_000005,CUST_000345,dh_386572345439,api,normal
DEV_000006,CUST_000493,dh_384454900420,api,normal
DEV_000007,CUST_000532,dh_465178960748,web,device_reset
DEV_000008,CUST_000782,dh_669297412698,call_center,device_reset
DEV_000009,CUST_000010,dh_584729369028,call_center,normal
DEV_000010,CUST_000203,dh_580071568412,call_center,new_device
DEV_000011,CUST_000590,dh_617758105562,call_center,device_reset
DEV_000012,CUST_000187,dh_486357958379,mobile_app,new_device
DEV_000013,CUST_000197,dh_178839424079,web,new_channel
DEV_000014,CUST_000723,dh_831753471680,web,normal
DEV_000015,CUST_000613,dh_866895656828,call_center,new_channel
DEV_000016,CUST_000203,dh_775710085904,mobile_app,normal
DEV_000017,CUST_000234,dh_585689131418,api,device_reset
DEV_000018,CUST_000398,dh_165020330381,api,device_reset
DEV_000019,CUST_000509,dh_485056484379,web,normal
DEV_000020,CUST_000275,dh_201343278704,web,normal
DEV_000021,CUST_000178,dh_605007150154,mobile_app,device_reset
DEV_000022,CUST_000554,dh_3065450684,mobile_app,normal
DEV_000023,CUST_000188,dh_564779618419,mobile_app,new_channel
DEV_000024,CUST_000764,dh_475308389653,mobile_app,new_channel
DEV_000025,CUST_000462,dh_829327555775,mobile_app,new_device
DEV_000026,CUST_000011,dh_892522295569,call_center,new_device
DEV_000027,CUST_000558,dh_286389995622,api,normal
DEV_000028,CUST_000361,dh_153121212078,mobile_app,normal
DEV_000029,CUST_000461,dh_895295457128,api,normal
DEV_000030,CUST_000774,dh_249219132467,api,normal
DEV_000031,CUST_000634,dh_881575062063,api,normal
DEV_000032,CUST_000389,dh_478945588776,web,new_device
DEV_000033,CUST_000785,dh_351456133449,web,new_channel
DEV_000034,CUST_000041,dh_514984757671,call_center,normal
DEV_000035,CUST_000195,dh_610683865863,api,device_reset
DEV_000036,CUST_000536,dh_673408230715,mobile_app,new_channel
DEV_000037,CUST_000796,dh_331596506380,api,new_channel
DEV_000038,CUST_000736,dh_829543683794,mobile_app,normal
DEV_000039,CUST_000090,dh_778337335343,mobile_app,normal
DEV_000040,CUST_000235,dh_7918739509,web,normal
DEV_000041,CUST_000624,dh_191460576649,web,new_channel
DEV_000042,CUST_000403,dh_893040342096,api,new_channel
DEV_000043,CUST_000543,dh_224395848142,call_center,device_reset
DEV_000044,CUST_000609,dh_218698790849,mobile_app,new_device
DEV_000045,CUST_000381,dh_302656186229,call_center,normal
DEV_000046,CUST_000440,dh_525904848473,api,device_reset
DEV_000047,CUST_000222,dh_183121378701,api,new_device
DEV_000048,CUST_000218,dh_999801968051,call_center,normal
DEV_000049,CUST_000441,dh_145574328714,web,normal
DEV_000050,CUST_000739,dh_535558328352,mobile_app,normal
DEV_000051,CUST_000416,dh_992171280839,api,new_channel
DEV_000052,CUST_000253,dh_659741905537,api,normal
DEV_000053,CUST_000536,dh_13584342742,web,device_reset
DEV_000054,CUST_000444,dh_289393295820,mobile_app,normal
DEV_000055,CUST_000091,dh_344190940154,api,normal
DEV_000056,CUST_000096,dh_561872035273,mobile_app,new_device
DEV_000057,CUST_000261,dh_258562827763,call_center,device_reset
DEV_000058,CUST_000007,dh_716366432829,call_center,new_channel
DEV_000059,CUST_000586,dh_823645243828,api,normal
DEV_000060,CUST_000322,dh_640350445148,web,new_channel
DEV_000061,CUST_000640,dh_463003818392,mobile_app,normal
DEV_000062,CUST_000691,dh_985442963765,call_center,new_channel
DEV_000063,CUST_000270,dh_301194848850,web,new_device
DEV_000064,CUST_000015,dh_113579571098,api,new_device
DEV_000065,CUST_000692,dh_277139303044,api,normal
DEV_000066,CUST_000271,dh_794457832895,mobile_app,new_device
DEV_000067,CUST_000410,dh_476746696958,call_center,device_reset
DEV_000068,CUST_000079,dh_386918336892,web,new_device
DEV_000069,CUST_000536,dh_689183441722,call_center,new_device
DEV_000070,CUST_000221,dh_53748572693,web,normal
DEV_000071,CUST_000069,dh_862174519474,call_center,new_device
DEV_000072,CUST_000468,dh_800537961461,mobile_app,normal
DEV_000073,CUST_000140,dh_56166954480,api,new_channel
DEV_000074,CUST_000225,dh_867082180287,web,device_reset
DEV_000075,CUST_000705,dh_66233181538,web,normal
DEV_000076,CUST_000629,dh_608213673753,mobile_app,device_reset
DEV_000077,CUST_000767,dh_60314317567,web,new_channel
DEV_000078,CUST_000358,dh_118262278699,mobile_app,new_channel
DEV_000079,CUST_000564,dh_231774586956,web,normal
DEV_000080,CUST_000005,dh_623843139902,call_center,device_reset
DEV_000081,CUST_000322,dh_303282672822,api,normal
DEV_000082,CUST_000111,dh_461056948734,mobile_app,device_reset
DEV_000083,CUST_000090,dh_754348361265,api,new_channel
DEV_000084,CUST_000778,dh_148152780673,api,device_reset
DEV_000085,CUST_000367,dh_34025330375,api,new_device
DEV_000086,CUST_000756,dh_408610977228,web,normal
DEV_000087,CUST_000156,dh_528106416423,call_center,normal
DEV_000088,CUST_000326,dh_618415428695,web,new_device
DEV_000089,CUST_000174,dh_431899000470,call_center,normal
DEV_000090,CUST_000244,dh_973138466184,web,new_device
DEV_000091,CUST_000777,dh_236868631277,call_center,device_reset
DEV_000092,CUST_000241,dh_75886645498,call_center,new_channel
DEV_000093,CUST_000723,dh_299940474748,api,normal
DEV_000094,CUST_000096,dh_601615947998,mobile_app,normal
DEV_000095,CUST_000130,dh_621412644739,web,new_device
DEV_000096,CUST_000247,dh_364296254198,mobile_app,new_channel
DEV_000097,CUST_000640,dh_400556379219,call_center,new_channel
DEV_000098,CUST_000054,dh_492425719924,call_center,normal
DEV_000099,CUST_000713,dh_94707180194,web,new_device
DEV_000100,CUST_000103,dh_984121021425,call_center,new_device
DEV_000101,CUST_000465,dh_11936153582,mobile_app,new_channel
DEV_000102,CUST_000748,dh_935070828163,mobile_app,normal
DEV_000103,CUST_000043,dh_833246428202,mobile_app,device_reset
DEV_000104,CUST_000166,dh_406864396234,web,normal
DEV_000105,CUST_000463,dh_682668858352,call_center,normal
DEV_000106,CUST_000004,dh_484809011123,mobile_app,device_reset
DEV_000107,CUST_000626,dh_244351984747,api,normal
DEV_000108,CUST_000183,dh_911516758609,call_center,new_channel
DEV_000109,CUST_000523,dh_3896845509,web,normal
DEV_000110,CUST_000477,dh_289017228207,api,device_reset
DEV_000111,CUST_000148,dh_317951828865,web,normal
DEV_000112,CUST_000295,dh_778457451934,call_center,new_channel
DEV_000113,CUST_000711,dh_489352404659,web,normal
DEV_000114,CUST_000553,dh_335893559093,call_center,device_reset
DEV_000115,CUST_000010,dh_434693319657,api,normal
DEV_000116,CUST_000551,dh_170993575699,api,new_device
DEV_000117,CUST_000265,dh_834914501453,api,new_device
