event_id,source_id,target_id,event_type,context,amount,label,timestamp
EVT_0000000,CUST_000374,CUST_000070,device_event,device_change,786,normal,2026-01-01T00:00:00
EVT_0000001,CUST_000497,CUST_000063,service_payment,topup,266,normal,2026-01-01T00:01:00
EVT_0000002,CUST_000636,CUST_000287,message,bill_payment,737,normal,2026-01-01T00:02:00
EVT_0000003,CUST_000196,CUST_000542,service_payment,bill_payment,684,normal,2026-01-01T00:03:00
EVT_0000004,CUST_000086,CUST_000383,device_event,topup,697,normal,2026-01-01T00:04:00
EVT_0000005,CUST_000633,EXT_0028,message,bill_payment,413,normal,2026-01-01T00:05:00
EVT_0000006,CUST_000356,CUST_000373,message,device_change,242,normal,2026-01-01T00:06:00
EVT_0000007,CUST_000056,CUST_000518,message,device_change,820,normal,2026-01-01T00:07:00
EVT_0000008,CUST_000286,CUST_000163,device_event,service_usage,377,normal,2026-01-01T00:08:00
EVT_0000009,CUST_000330,CUST_000632,message,bill_payment,455,normal,2026-01-01T00:09:00
EVT_0000010,CUST_000593,CUST_000594,service_payment,new_channel,26,normal,2026-01-01T00:10:00
EVT_0000011,CUST_000015,CUST_000518,service_payment,topup,643,normal,2026-01-01T00:11:00
EVT_0000012,CUST_000548,CUST_000561,service_payment,service_usage,286,normal,2026-01-01T00:12:00
EVT_0000013,CUST_000394,CUST_000538,device_event,service_usage,509,normal,2026-01-01T00:13:00
EVT_0000014,CUST_000157,CUST_000156,device_event,bill_payment,640,normal,2026-01-01T00:14:00
EVT_0000015,CUST_000125,CUST_000453,device_event,topup,856,normal,2026-01-01T00:15:00
EVT_0000016,CUST_000701,CUST_000775,service_payment,device_change,585,normal,2026-01-01T00:16:00
EVT_0000017,CUST_000425,MULE_0002,transfer,urgent_transfer,98,mule_pattern,2026-01-01T00:17:00
EVT_0000018,CUST_000451,CUST_000526,service_payment,device_change,723,normal,2026-01-01T00:18:00
EVT_0000019,CUST_000604,CUST_000308,service_payment,topup,550,normal,2026-01-01T00:19:00
EVT_0000020,CUST_000133,CUST_000581,service_payment,device_change,829,normal,2026-01-01T00:20:00
EVT_0000021,CUST_000759,CUST_000755,device_event,new_channel,888,normal,2026-01-01T00:21:00
